Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
plus	56.0	39	64.1	2.56	33.33	0.0
TimeHoodie	46.67	22	59.09	4.55	31.82	4.55
hakha3	46.51	63	80.95	11.11	7.94	0.0
kimbifille	43.92	272	62.5	3.31	30.51	3.68
Lanvin	39.22	213	51.64	0.0	47.42	0.94
micerang	38.74	154	62.99	0.0	37.01	0.0
honzas	37.5	33	96.97	0.0	3.03	0.0
asaelr	37.35	353	58.07	2.55	33.71	5.67
piper	33.33	24	41.67	29.17	25.0	4.17
sephiroth	33.33	20	50.0	0.0	50.0	0.0
Floriman	33.23	425	63.53	3.06	32.71	0.71
sin_faith	31.82	29	68.97	10.34	20.69	0.0
pianoblook	30.77	34	50.0	20.59	26.47	2.94
scharkbite	30.0	364	53.3	7.42	34.34	4.95
awe	28.0	32	53.12	0.0	46.88	0.0
Kyle	27.44	339	58.7	4.72	34.51	2.06
Livia	25.53	354	57.34	2.26	39.55	0.85
Fireheart	25.44	2737	43.55	3.73	42.82	9.9
Libster	25.3	104	73.08	3.85	23.08	0.0
Romain672	25.29	109	62.39	0.0	35.78	1.83
IAMJEFF	23.12	852	46.01	10.56	38.73	4.69
invarse	20.69	35	31.43	14.29	54.29	0.0
Jake_Stiles	20.34	142	58.45	2.82	33.1	5.63
DMoney	20.25	95	56.84	4.21	32.63	6.32
Dr_Kakashi	17.92	487	66.94	2.26	24.64	6.16
postmans	17.65	20	60.0	20.0	20.0	0.0
Sucubis	16.67	56	67.86	7.14	25.0	0.0
kopen	16.38	135	66.67	2.96	30.37	0.0
wortel	15.38	30	56.67	0.0	43.33	0.0
padi	14.29	24	54.17	0.0	33.33	12.5
sjdrodge	13.89	41	43.9	0.0	56.1	0.0
Zamiel	13.27	239	41.42	10.46	47.28	0.84
kodomazer	12.33	82	75.61	0.0	20.73	3.66
RaKXeR	11.36	98	64.29	1.02	28.57	6.12
will.i.am	11.11	20	40.0	40.0	20.0	0.0
