Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
HariKrishnan	100.0	6	100.0	0.0	0.0	0.0
Jtjg	100.0	2	100.0	0.0	0.0	0.0
skyblueexo	100.0	2	100.0	0.0	0.0	0.0
torp	100.0	2	100.0	0.0	0.0	0.0
will.i.am	100.0	2	100.0	0.0	0.0	0.0
wolfpack	100.0	4	75.0	0.0	25.0	0.0
rahsosprout	85.71	13	69.23	15.38	15.38	0.0
eljavi	66.67	5	100.0	0.0	0.0	0.0
griff77	66.67	5	100.0	0.0	0.0	0.0
sean1815	66.67	5	100.0	0.0	0.0	0.0
CptAggro	50.0	3	100.0	0.0	0.0	0.0
Livia	50.0	3	33.33	0.0	66.67	0.0
Valetta6789	44.44	13	53.85	0.0	46.15	0.0
Div	40.0	14	35.71	0.0	64.29	0.0
TheDaniMan	40.0	7	57.14	28.57	14.29	0.0
rz	38.89	25	92.0	0.0	8.0	0.0
timotree	38.46	18	94.44	0.0	5.56	0.0
mmm7	37.5	11	100.0	0.0	0.0	0.0
avanderwalde	33.33	4	100.0	0.0	0.0	0.0
bob65536	33.33	8	87.5	0.0	12.5	0.0
catula	33.33	40	65.0	0.0	32.5	2.5
focusssss	33.33	4	100.0	0.0	0.0	0.0
kimbifille	33.33	4	100.0	0.0	0.0	0.0
ricardodd	33.33	8	87.5	0.0	12.5	0.0
ihavenoidea	30.68	328	81.71	0.0	18.29	0.0
Denchulitas	30.0	78	73.08	0.0	24.36	2.56
Fey	30.0	13	84.62	0.0	15.38	0.0
antitelharsic	28.57	18	72.22	0.0	27.78	0.0
macanek	28.57	9	77.78	0.0	22.22	0.0
Syrah	27.27	14	50.0	0.0	50.0	0.0
rachyrules	25.53	59	66.1	0.0	33.9	0.0
Dr_Kakashi	25.0	5	100.0	0.0	0.0	0.0
nkkarpov	25.0	5	100.0	0.0	0.0	0.0
possum	25.0	20	60.0	0.0	40.0	0.0
swineherd	25.0	25	64.0	0.0	36.0	0.0
wortel	25.0	5	100.0	0.0	0.0	0.0
XMIL	25.0	25	88.0	0.0	12.0	0.0
eljobe	23.53	21	100.0	0.0	0.0	0.0
orucsoraihc	22.22	11	100.0	0.0	0.0	0.0
kopen	21.43	17	35.29	0.0	64.71	0.0
Carunty	21.05	23	52.17	4.35	43.48	0.0
MarkusKahlsen	20.99	98	65.31	2.04	32.65	0.0
aquarelle	20.0	6	33.33	0.0	66.67	0.0
bracz	20.0	12	100.0	0.0	0.0	0.0
doctorabi	20.0	12	66.67	0.0	25.0	8.33
Ivan12	20.0	6	100.0	0.0	0.0	0.0
methmatics	20.0	6	83.33	0.0	16.67	0.0
r7ar7a	20.0	6	100.0	0.0	0.0	0.0
4head	19.05	25	60.0	8.0	32.0	0.0
MangoPie	18.95	113	60.18	2.65	37.17	0.0
sin_faith	18.87	63	71.43	0.0	23.81	4.76
colton	18.52	32	78.12	0.0	21.88	0.0
angel-a	18.18	13	92.31	0.0	7.69	0.0
jack67889	17.86	66	68.18	3.03	27.27	1.52
Nitrate2	17.78	53	49.06	3.77	45.28	1.89
asaelr	17.39	27	66.67	0.0	33.33	0.0
knaphill	16.67	7	71.43	0.0	28.57	0.0
qqqq	16.67	14	64.29	0.0	35.71	0.0
Lanvin	16.52	522	63.6	1.15	35.25	0.0
Nitrate	16.33	57	52.63	3.51	42.11	1.75
Sucubis	16.07	65	50.77	7.69	41.54	0.0
Kyle	15.38	15	80.0	0.0	20.0	0.0
frosty104	15.0	46	56.52	6.52	36.96	0.0
wump	15.0	23	73.91	0.0	26.09	0.0
boba	14.29	8	75.0	0.0	25.0	0.0
Bot-Fiora	14.29	8	75.0	0.0	25.0	0.0
katian	14.29	24	50.0	12.5	37.5	0.0
Onen	14.29	16	62.5	0.0	37.5	0.0
nitawa	13.95	49	53.06	18.37	28.57	0.0
Pablo-	13.64	125	50.4	2.4	44.0	3.2
sephiroth	13.26	538	64.5	1.67	33.09	0.74
Lel0uch	13.16	215	53.02	2.79	43.26	0.93
HelanaAshryvr	11.9	47	74.47	6.38	19.15	0.0
Floriman	11.54	29	79.31	0.0	20.69	0.0
Aluap	11.11	10	90.0	0.0	10.0	0.0
ebin_noob	11.11	10	90.0	0.0	10.0	0.0
melwen	11.11	80	57.5	0.0	42.5	0.0
