Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Pepepe	53.85	20	75.0	0.0	25.0	0.0
StKildaFan	42.86	30	63.33	0.0	36.67	0.0
Sucubis	42.86	30	53.33	0.0	46.67	0.0
Fey	40.54	52	69.23	3.85	25.0	1.92
rachyrules	33.33	48	56.25	0.0	41.67	2.08
wump	31.58	25	72.0	8.0	20.0	0.0
zeinab001	31.25	21	33.33	0.0	61.9	4.76
4head	30.0	39	53.85	5.13	33.33	7.69
asaelr	28.57	90	54.44	7.78	36.67	1.11
doctorabi	28.26	59	40.68	0.0	55.93	3.39
Pablo-	27.27	70	57.14	0.0	38.57	4.29
pianoblook	27.27	28	67.86	0.0	32.14	0.0
robense	26.56	81	62.96	1.23	33.33	2.47
scharkbite	26.32	24	70.83	0.0	29.17	0.0
derekcheah	25.93	34	50.0	0.0	50.0	0.0
macanek	25.0	35	77.14	0.0	11.43	11.43
Nitrate	24.19	77	49.35	5.19	40.26	5.19
IsabeltheCat	23.91	57	57.89	0.0	42.11	0.0
rahsosprout	23.81	26	61.54	15.38	23.08	0.0
Nitrate2	23.08	64	45.31	6.25	42.19	6.25
rz	23.08	112	64.29	8.04	26.79	0.89
Carunty	22.22	33	90.91	0.0	9.09	0.0
knaphill	22.22	33	72.73	0.0	27.27	0.0
dobi	21.74	84	46.43	3.57	46.43	3.57
Kernel	21.74	28	75.0	0.0	25.0	0.0
kimbifille	21.05	23	60.87	0.0	39.13	0.0
jack67889	20.83	116	63.79	0.0	36.21	0.0
kevincaseytdk1	20.0	48	54.17	4.17	39.58	2.08
bjnh	19.51	49	40.82	0.0	57.14	2.04
TimeHoodie	19.39	197	59.9	3.05	37.06	0.0
Hoodie	19.08	206	58.74	2.91	37.38	0.97
kopen	19.05	25	32.0	16.0	52.0	0.0
Floriman	18.92	44	50.0	0.0	45.45	4.55
MangoPie	18.01	190	46.32	5.79	46.32	1.58
HelanaAshryvr	17.86	66	66.67	4.55	28.79	0.0
bob65536	17.65	20	85.0	0.0	15.0	0.0
frosty104	16.67	77	59.74	0.0	37.66	2.6
MarkusKahlsen	16.24	136	68.38	2.94	25.74	2.94
timotree	16.13	36	36.11	0.0	63.89	0.0
ricardodd	16.0	29	65.52	13.79	20.69	0.0
melwen	14.02	122	47.54	0.0	52.46	0.0
Kyle	13.24	77	54.55	0.0	36.36	9.09
newduke	13.11	138	59.42	3.62	36.23	0.72
sephiroth	13.08	268	57.84	2.24	33.58	6.34
qqqq	13.04	26	42.31	3.85	38.46	15.38
Zakisan	12.82	44	72.73	0.0	27.27	0.0
swineherd	12.7	71	74.65	1.41	23.94	0.0
Lel0uch	12.67	249	36.95	3.21	56.22	3.61
Denchulitas	12.5	27	59.26	0.0	40.74	0.0
Onen	12.12	37	75.68	0.0	24.32	0.0
ChristopheAF	11.19	149	62.42	4.03	26.17	7.38
plus	11.11	40	52.5	7.5	40.0	0.0
Lanvin	10.61	344	56.98	6.1	34.3	2.62
possum	10.34	32	53.12	0.0	37.5	9.38
katian	9.8	56	41.07	0.0	57.14	1.79
TheDaniMan	9.52	92	42.39	3.26	54.35	0.0
catula	9.38	35	40.0	0.0	51.43	8.57
CaitlinSmith	9.09	24	70.83	0.0	29.17	0.0
indego	8.7	250	45.2	6.4	46.0	2.4
jeff10	7.94	68	55.88	5.88	38.24	0.0
hakha3	7.81	69	40.58	0.0	49.28	10.14
VerySloppyTwo	7.81	69	62.32	2.9	31.88	2.9
sin_faith	7.5	43	55.81	4.65	34.88	4.65
DMoney	5.88	36	47.22	0.0	52.78	0.0
cockdestroyer	5.56	38	55.26	0.0	36.84	7.89
orucsoraihc	5.26	20	50.0	0.0	50.0	0.0
ebin_noob	4.55	23	100.0	0.0	0.0	0.0
colton	0.0	24	58.33	0.0	33.33	8.33
Spieler42	0.0	22	72.73	0.0	22.73	4.55
