Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
piper	54.55	51	52.94	0.0	11.76	0.0
scharkbite	53.33	23	43.48	0.0	34.78	0.0
robense	38.89	50	50.0	0.0	18.0	0.0
alphabeta	38.1	29	13.79	0.0	3.45	0.0
letical	36.36	30	30.0	0.0	10.0	0.0
TheDaniMan	34.88	116	57.76	0.0	29.31	0.0
pianoblook	33.33	60	26.67	3.33	45.0	0.0
MarkusKahlsen	31.96	128	49.22	1.56	25.0	0.0
derekcheah	31.19	143	58.74	0.0	30.77	0.0
swineherd	27.69	83	36.14	3.61	15.66	0.0
padi	27.59	37	48.65	8.11	16.22	0.0
Pablo-	27.27	42	61.9	0.0	16.67	0.0
plus	26.32	72	50.0	0.0	22.22	0.0
Bonja97	26.09	29	72.41	0.0	10.34	0.0
sin_faith	24.51	127	44.09	3.15	15.75	0.0
LaFayetteX	24.24	41	43.9	0.0	2.44	0.0
sephiroth	23.28	233	54.08	2.15	32.19	0.0
Dr_Kakashi	22.37	93	33.33	3.23	25.81	1.08
TimeHoodie	21.28	114	50.0	2.63	19.3	0.0
jack67889	20.83	29	51.72	0.0	34.48	0.0
asaelr	20.51	94	43.62	1.06	14.89	0.0
Floriman	20.0	30	40.0	0.0	30.0	0.0
kimbifille	20.0	30	60.0	0.0	20.0	3.33
Nitrate	19.47	135	44.44	0.74	21.48	0.0
Fey	18.37	58	39.66	0.0	24.14	0.0
Nitrate2	18.35	129	44.96	0.78	22.48	0.0
Kyle	17.81	86	32.56	3.49	37.21	1.16
joelwool	16.67	28	42.86	0.0	53.57	0.0
kooolant	15.79	22	72.73	0.0	27.27	0.0
melwen	15.46	112	45.54	0.89	31.25	0.0
XMIL	14.81	31	41.94	0.0	16.13	0.0
will.i.am	14.29	64	40.62	6.25	37.5	0.0
Lel0uch	13.04	26	73.08	0.0	26.92	0.0
Wittvector	13.04	52	61.54	0.0	23.08	0.0
DMoney	10.71	31	51.61	12.9	29.03	0.0
indego	9.09	24	70.83	0.0	29.17	0.0
dobi	4.55	23	56.52	0.0	39.13	0.0
