Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
red_hedgehog	111.11	57	91.23	0.0	8.77	0.0
Nitrate	94.12	33	87.88	0.0	12.12	0.0
Nitrate2	61.54	21	100.0	0.0	0.0	0.0
DoubleDown11	56.25	25	96.0	0.0	4.0	0.0
Karashka	44.0	36	100.0	0.0	0.0	0.0
QueenVic	40.0	21	100.0	0.0	0.0	0.0
soxinfox	35.29	23	100.0	0.0	0.0	0.0
cubegoldberg	32.26	41	95.12	0.0	4.88	0.0
GamerSKTrashCan	32.14	37	89.19	0.0	10.81	0.0
MasN	31.25	21	71.43	0.0	28.57	0.0
nmego	27.45	65	75.38	0.0	24.62	0.0
Maiorskills	27.27	56	55.36	0.0	44.64	0.0
TheDaniMan	26.79	71	73.24	7.04	19.72	0.0
Naive_Riolu	26.09	29	93.1	0.0	6.9	0.0
Zy	26.09	29	100.0	0.0	0.0	0.0
Sucubis	25.0	140	64.29	0.0	35.71	0.0
TimeHoodie	24.72	111	72.97	0.0	24.32	2.7
invarse	24.49	122	68.03	0.0	31.97	0.0
Hoodie	24.44	112	73.21	0.0	24.11	2.68
Tiberyus	24.24	41	92.68	0.0	7.32	0.0
cak199164	23.91	57	94.74	0.0	3.51	1.75
wortel	23.88	83	72.29	0.0	27.71	0.0
Feer	23.81	26	61.54	0.0	38.46	0.0
kodomazer	23.08	32	53.12	0.0	46.88	0.0
potatochips	22.92	59	88.14	0.0	11.86	0.0
Bob Dole	22.64	65	81.54	0.0	16.92	1.54
dobi	22.22	22	54.55	4.55	40.91	0.0
efaust	21.92	89	87.64	0.0	12.36	0.0
Will	21.43	34	50.0	0.0	50.0	0.0
wjomlex	21.43	85	77.65	0.0	22.35	0.0
postmans	21.35	108	85.19	0.0	10.19	4.63
Swifter	20.65	222	71.17	0.0	17.12	11.71
qqqq	20.52	276	77.54	0.0	14.13	8.33
BlameItOnRaz:D	20.0	72	68.06	0.0	15.28	16.67
alercah	19.35	37	59.46	0.0	10.81	29.73
Asddsa76	19.29	235	86.38	0.0	10.64	2.98
Mike	19.27	229	83.84	0.0	12.23	3.93
BlameItOnRaz	18.57	83	71.08	0.0	14.46	14.46
grayfox	18.18	39	82.05	0.0	17.95	0.0
