Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
TheDaniMan	200.0	3	66.67	0.0	33.33	0.0
Matir	133.33	7	100.0	0.0	0.0	0.0
scharkbite	133.33	7	100.0	0.0	0.0	0.0
ADrone	100.0	2	0.0	0.0	100.0	0.0
Fireheart	100.0	2	100.0	0.0	0.0	0.0
hanabornoob	100.0	4	100.0	0.0	0.0	0.0
honzas	100.0	2	100.0	0.0	0.0	0.0
kevincaseytdk1	100.0	2	100.0	0.0	0.0	0.0
Kowalski1337	100.0	4	100.0	0.0	0.0	0.0
Maiorskills	100.0	2	100.0	0.0	0.0	0.0
MajorDeLemma	100.0	4	100.0	0.0	0.0	0.0
ml1234567	100.0	2	100.0	0.0	0.0	0.0
nitawa	100.0	2	50.0	0.0	50.0	0.0
Rubix	100.0	4	100.0	0.0	0.0	0.0
schemetrical	100.0	6	66.67	0.0	33.33	0.0
Smandon	100.0	2	100.0	0.0	0.0	0.0
Wittvector	100.0	2	100.0	0.0	0.0	0.0
asaelr	87.5	15	93.33	0.0	6.67	0.0
invarse	83.33	11	81.82	0.0	18.18	0.0
melwen	75.0	7	85.71	0.0	14.29	0.0
Veexliat	75.0	7	100.0	0.0	0.0	0.0
bluewhale1024	57.35	107	88.79	0.0	11.21	0.0
Yuchan_Yang	53.57	43	97.67	0.0	2.33	0.0
califynic	50.0	3	100.0	0.0	0.0	0.0
cockdestroyer	50.0	3	100.0	0.0	0.0	0.0
Cory	50.0	3	100.0	0.0	0.0	0.0
DMoney	50.0	15	66.67	0.0	33.33	0.0
Libster	50.0	6	100.0	0.0	0.0	0.0
meql	50.0	3	100.0	0.0	0.0	0.0
pravi	50.0	3	100.0	0.0	0.0	0.0
Ptheven	50.0	3	66.67	0.0	33.33	0.0
sephiroth	50.0	6	66.67	0.0	33.33	0.0
em	45.45	16	75.0	0.0	25.0	0.0
spartacle	44.12	49	91.84	0.0	8.16	0.0
Bonja97	42.86	10	80.0	0.0	20.0	0.0
Jake_Stiles	42.86	10	50.0	0.0	50.0	0.0
jding	40.0	7	100.0	0.0	0.0	0.0
Dr_Kakashi	37.5	11	81.82	0.0	18.18	0.0
Kyle	34.62	35	57.14	0.0	42.86	0.0
evanchen	33.33	4	100.0	0.0	0.0	0.0
ggwpgg	33.33	4	100.0	0.0	0.0	0.0
IsabeltheCat	33.33	8	75.0	0.0	25.0	0.0
JerryYang	33.33	4	100.0	0.0	0.0	0.0
iks92	32.65	65	96.92	0.0	3.08	0.0
vEnhance	31.9	277	91.34	1.08	7.58	0.0
willwin4sure	27.68	346	89.02	0.87	9.25	0.87
moocow	26.36	139	87.77	0.0	12.23	0.0
snakin	26.32	24	87.5	0.0	12.5	0.0
rft50	25.0	5	60.0	0.0	40.0	0.0
shootinglucky	25.0	5	100.0	0.0	0.0	0.0
micerang	22.22	11	72.73	0.0	27.27	0.0
alexisy	21.43	17	100.0	0.0	0.0	0.0
Ahming	20.0	6	100.0	0.0	0.0	0.0
ejwu	20.0	36	94.44	0.0	5.56	0.0
NodeajMOP	20.0	6	83.33	0.0	16.67	0.0
nukelauncher	19.35	913	74.48	1.64	21.14	2.74
rachyrules	18.68	108	98.15	0.0	1.85	0.0
Pablo-	18.18	13	61.54	0.0	38.46	0.0
The_Turtle	18.18	13	84.62	0.0	15.38	0.0
sun_prime	17.24	34	91.18	0.0	8.82	0.0
orucsoraihc	16.67	7	100.0	0.0	0.0	0.0
Pimak	16.67	7	100.0	0.0	0.0	0.0
teddybb	16.67	7	100.0	0.0	0.0	0.0
awe	14.29	8	87.5	0.0	12.5	0.0
Phie11	12.5	9	100.0	0.0	0.0	0.0
avanderwalde	11.11	10	30.0	0.0	70.0	0.0
mil246	11.11	10	100.0	0.0	0.0	0.0
william65537	8.87	663	82.05	6.79	7.39	3.77
ishah	8.33	13	46.15	0.0	53.85	0.0
newduke	5.0	21	85.71	0.0	14.29	0.0
adamov1	0.0	1	100.0	0.0	0.0	0.0
alina71	0.0	7	100.0	0.0	0.0	0.0
Andrew_UK	0.0	2	100.0	0.0	0.0	0.0
Animex52	0.0	3	100.0	0.0	0.0	0.0
asdfew	0.0	2	100.0	0.0	0.0	0.0
AshleyBridge	0	1	100.0	0.0	0.0	0.0
BalloonHail	0.0	1	100.0	0.0	0.0	0.0
belly	0.0	2	100.0	0.0	0.0	0.0
c4therinexu	0.0	2	100.0	0.0	0.0	0.0
Carunty	0.0	3	0.0	0.0	100.0	0.0
cequoy	0.0	1	100.0	0.0	0.0	0.0
Clarendon	0.0	3	100.0	0.0	0.0	0.0
colin_tang_9	0.0	1	100.0	0.0	0.0	0.0
ddddd5555	0	1	100.0	0.0	0.0	0.0
derekcheah	0.0	1	0.0	0.0	100.0	0.0
derk540	0.0	2	100.0	0.0	0.0	0.0
Diancite	0.0	1	100.0	0.0	0.0	0.0
doctorabi	0.0	1	0.0	0.0	100.0	0.0
duckmedic	0.0	4	50.0	0.0	50.0	0.0
ebin_noob	0.0	3	100.0	0.0	0.0	0.0
egerdm	0.0	2	100.0	0.0	0.0	0.0
emilyzhao	0.0	5	20.0	0.0	80.0	0.0
ezahid1662	0.0	3	66.67	0.0	33.33	0.0
Fey	0.0	2	0.0	0.0	100.0	0.0
frollo9386	0.0	1	0.0	0.0	100.0	0.0
frosty104	0.0	6	83.33	0.0	16.67	0.0
grizzy	0.0	1	100.0	0.0	0.0	0.0
honobu	0	1	100.0	0.0	0.0	0.0
impostor	0	1	100.0	0.0	0.0	0.0
InCtrl	0.0	1	100.0	0.0	0.0	0.0
J3enjamin	0.0	1	100.0	0.0	0.0	0.0
jack67889	0.0	17	23.53	0.0	76.47	0.0
jack_0f_hearts	0	1	100.0	0.0	0.0	0.0
jeff10	0.0	11	81.82	0.0	18.18	0.0
Jelfin	0.0	3	100.0	0.0	0.0	0.0
joelwool	0	1	100.0	0.0	0.0	0.0
joycan98	0.0	6	100.0	0.0	0.0	0.0
knightofmines	0	1	100.0	0.0	0.0	0.0
ksfortson	0.0	2	100.0	0.0	0.0	0.0
Lel0uch	0.0	3	33.33	0.0	66.67	0.0
Livia	0.0	6	50.0	0.0	50.0	0.0
lotem	0.0	2	100.0	0.0	0.0	0.0
lucyxxx	0.0	8	100.0	0.0	0.0	0.0
MarekU	0.0	2	100.0	0.0	0.0	0.0
MarkusKahlsen	0.0	4	50.0	0.0	50.0	0.0
mikefrenil	0.0	1	100.0	0.0	0.0	0.0
MKQ	0.0	2	100.0	0.0	0.0	0.0
newaccountname	0.0	2	100.0	0.0	0.0	0.0
Nitrate2	0.0	1	100.0	0.0	0.0	0.0
oreofriend	0	1	100.0	0.0	0.0	0.0
parrotdoxair	0.0	1	100.0	0.0	0.0	0.0
penisman	0.0	2	100.0	0.0	0.0	0.0
Pepepe	0.0	1	0.0	0.0	100.0	0.0
RaKXeR	0.0	1	100.0	0.0	0.0	0.0
RespectCaviar	0.0	1	100.0	0.0	0.0	0.0
reuzed	0	2	100.0	0.0	0.0	0.0
ricehens	0.0	3	100.0	0.0	0.0	0.0
rikkihirai	0.0	5	100.0	0.0	0.0	0.0
rkass	0.0	5	0.0	0.0	100.0	0.0
rotem	0.0	2	100.0	0.0	0.0	0.0
rz	0.0	4	100.0	0.0	0.0	0.0
saanvit	0.0	1	100.0	0.0	0.0	0.0
sflorin1	0	1	100.0	0.0	0.0	0.0
sheamol	0.0	2	100.0	0.0	0.0	0.0
sin_faith	0.0	6	16.67	0.0	83.33	0.0
snake	0.0	1	100.0	0.0	0.0	0.0
squidgetx	0.0	2	100.0	0.0	0.0	0.0
stephh_	0.0	1	100.0	0.0	0.0	0.0
StKildaFan	0.0	1	100.0	0.0	0.0	0.0
Sucubis	0.0	3	100.0	0.0	0.0	0.0
swineherd	0	2	50.0	0.0	50.0	0.0
The Turtle	0.0	12	100.0	0.0	0.0	0.0
TimeHoodie	0.0	1	0.0	0.0	100.0	0.0
timotree	0.0	11	45.45	0.0	54.55	0.0
tyrcho	0.0	2	100.0	0.0	0.0	0.0
VerySloppyTwo	0.0	1	0.0	0.0	100.0	0.0
wenderlah	0.0	3	100.0	0.0	0.0	0.0
will.i.am	0.0	7	42.86	0.0	57.14	0.0
wump	0.0	6	50.0	0.0	50.0	0.0
Zakisan	0.0	3	0.0	0.0	100.0	0.0
zxr	0.0	1	100.0	0.0	0.0	0.0
