Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
jack67889	36.21	79	45.57	26.58	27.85	0.0
sephiroth	35.29	23	86.96	0.0	13.04	0.0
derekcheah	34.48	78	87.18	0.0	12.82	0.0
catula	25.0	35	62.86	0.0	37.14	0.0
boba	24.62	81	27.16	14.81	56.79	1.23
whensepoop	23.66	115	95.65	0.0	4.35	0.0
Pablo-	21.85	145	61.38	13.79	24.83	0.0
nitawa	21.48	164	62.2	1.22	36.59	0.0
Littleinvad	20.0	132	91.67	1.52	6.82	0.0
XMIL	19.63	128	69.53	0.0	30.47	0.0
pianoblook	18.18	26	73.08	0.0	26.92	0.0
Lanvin	17.95	46	69.57	2.17	28.26	0.0
Aluap	16.47	587	81.94	6.3	11.75	0.0
wump	15.38	30	83.33	0.0	16.67	0.0
melwen	14.81	31	74.19	0.0	25.81	0.0
ejwu	14.29	24	62.5	16.67	20.83	0.0
Animex52	13.33	51	31.37	0.0	68.63	0.0
Lel0uch	13.33	34	32.35	5.88	61.76	0.0
squirrel1988	12.5	54	16.67	0.0	83.33	0.0
cockdestroyer	12.31	73	54.79	4.11	41.1	0.0
aquarelle	11.11	20	30.0	5.0	25.0	40.0
HelanaAshryvr	10.64	52	51.92	1.92	30.77	15.38
indego	9.09	24	33.33	0.0	66.67	0.0
Nitrate2	3.85	27	48.15	0.0	51.85	0.0
