Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
angel-a	200.0	3	100.0	0.0	0.0	0.0
caГ±a	100.0	2	100.0	0.0	0.0	0.0
Daryl	100.0	2	100.0	0.0	0.0	0.0
Denchulitas	100.0	2	100.0	0.0	0.0	0.0
sankala	100.0	4	100.0	0.0	0.0	0.0
timotree	100.0	2	50.0	0.0	50.0	0.0
zeinab001	100.0	4	100.0	0.0	0.0	0.0
newduke	75.0	7	85.71	0.0	14.29	0.0
ejwu	66.67	5	80.0	0.0	20.0	0.0
Etherealz	66.67	5	20.0	0.0	80.0	0.0
mario86	66.67	5	80.0	20.0	0.0	0.0
rahsosprout	66.67	5	60.0	0.0	40.0	0.0
TimeHoodie	66.67	5	40.0	0.0	60.0	0.0
dobi	55.56	14	85.71	0.0	14.29	0.0
Feer	50.0	3	100.0	0.0	0.0	0.0
flaaffy	50.0	3	100.0	0.0	0.0	0.0
jack_0f_hearts	50.0	3	100.0	0.0	0.0	0.0
kimbifille	50.0	24	70.83	0.0	29.17	0.0
mudkip	50.0	3	100.0	0.0	0.0	0.0
sheamol	50.0	3	100.0	0.0	0.0	0.0
StKildaFan	50.0	3	33.33	0.0	66.67	0.0
wolfpack	50.0	3	100.0	0.0	0.0	0.0
XMIL	50.0	3	33.33	0.0	66.67	0.0
squirrel1988	46.15	19	78.95	0.0	21.05	0.0
Onen	42.86	10	90.0	0.0	10.0	0.0
corys	40.0	7	100.0	0.0	0.0	0.0
doctorabi	40.0	7	85.71	0.0	14.29	0.0
rz	40.0	21	90.48	0.0	9.52	0.0
eljavi	37.5	11	63.64	0.0	36.36	0.0
Fey	36.36	15	100.0	0.0	0.0	0.0
Lel0uch	35.85	72	83.33	0.0	16.67	0.0
missyalyssi	33.33	4	25.0	0.0	75.0	0.0
Romain672	33.33	8	87.5	0.0	12.5	0.0
voss	33.33	4	75.0	0.0	25.0	0.0
xor	33.33	4	100.0	0.0	0.0	0.0
boba	32.48	208	82.21	0.48	17.31	0.0
kevincaseytdk1	25.0	5	80.0	0.0	20.0	0.0
MangoPie	25.0	10	90.0	0.0	10.0	0.0
ricardodd	25.0	20	95.0	0.0	5.0	0.0
4head	23.53	21	85.71	0.0	14.29	0.0
Sucubis	23.08	16	37.5	0.0	62.5	0.0
ChristopheAF	22.22	55	72.73	3.64	23.64	0.0
HelanaAshryvr	21.11	327	59.94	6.73	32.42	0.92
jack67889	20.69	35	80.0	0.0	20.0	0.0
Bot-Fiora	20.0	6	100.0	0.0	0.0	0.0
Pablo-	20.0	6	100.0	0.0	0.0	0.0
VerySloppyTwo	20.0	6	33.33	0.0	66.67	0.0
Animex52	19.57	55	83.64	0.0	16.36	0.0
indego	18.37	58	62.07	6.9	29.31	1.72
bjnh	18.18	13	69.23	0.0	30.77	0.0
Lanvin	18.18	130	73.85	1.54	24.62	0.0
nitawa	16.67	7	85.71	0.0	14.29	0.0
torp	16.67	7	57.14	0.0	42.86	0.0
Durandal	14.29	8	100.0	0.0	0.0	0.0
methmatics	13.64	25	92.0	0.0	8.0	0.0
Nitrate	13.33	17	70.59	0.0	23.53	5.88
Pimak	12.5	9	66.67	0.0	33.33	0.0
FerKeth	9.8	56	80.36	0.0	19.64	0.0
antitelharsic	9.09	12	83.33	0.0	16.67	0.0
griff77	9.09	12	66.67	0.0	33.33	0.0
melwen	9.09	12	50.0	0.0	50.0	0.0
colton	8.33	13	69.23	0.0	30.77	0.0
ada.yukie	0.0	1	100.0	0.0	0.0	0.0
ADrone	0	1	100.0	0.0	0.0	0.0
Aluap	0.0	1	100.0	0.0	0.0	0.0
arnino	0.0	1	100.0	0.0	0.0	0.0
