Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
kalisa	200.0	3	100.0	0.0	0.0	0.0
Meowie	200.0	3	100.0	0.0	0.0	0.0
skyblueexo	200.0	3	66.67	0.0	33.33	0.0
MarekU	150.0	5	100.0	0.0	0.0	0.0
notANewPlayer	150.0	5	40.0	0.0	60.0	0.0
Bubble	133.33	7	100.0	0.0	0.0	0.0
Alex_mcalishter	100.0	2	100.0	0.0	0.0	0.0
ayushlikesbooty	100.0	2	100.0	0.0	0.0	0.0
BananaBum	100.0	2	100.0	0.0	0.0	0.0
chriswck	100.0	4	100.0	0.0	0.0	0.0
claudiob	100.0	2	100.0	0.0	0.0	0.0
Darth_Calculus	100.0	4	100.0	0.0	0.0	0.0
David.Z	100.0	2	100.0	0.0	0.0	0.0
djjones	100.0	2	100.0	0.0	0.0	0.0
Elatekur	100.0	2	100.0	0.0	0.0	0.0
ezahid1662	100.0	2	100.0	0.0	0.0	0.0
FerKeth	100.0	2	100.0	0.0	0.0	0.0
jack_0f_hearts	100.0	2	100.0	0.0	0.0	0.0
Khqlessy2.0	100.0	2	100.0	0.0	0.0	0.0
kopen2	100.0	2	100.0	0.0	0.0	0.0
MarcLovesDogs	100.0	2	100.0	0.0	0.0	0.0
mГ©limГ©lo	100.0	4	100.0	0.0	0.0	0.0
Pikachu	100.0	12	83.33	0.0	16.67	0.0
Piss	100.0	2	100.0	0.0	0.0	0.0
sajizzle	100.0	2	100.0	0.0	0.0	0.0
SushiGirl	100.0	2	100.0	0.0	0.0	0.0
Syrah	100.0	8	87.5	0.0	12.5	0.0
TheCookie	100.0	2	100.0	0.0	0.0	0.0
Tolmaion	100.0	2	100.0	0.0	0.0	0.0
yeppers123	100.0	2	100.0	0.0	0.0	0.0
anser	87.5	15	93.33	0.0	6.67	0.0
arnino	80.0	9	77.78	22.22	0.0	0.0
Div	71.43	12	66.67	0.0	33.33	0.0
Kernel	66.67	5	100.0	0.0	0.0	0.0
metta	66.67	5	80.0	0.0	20.0	0.0
postmans	66.67	20	90.0	0.0	10.0	0.0
