Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
StKildaFan	81.82	20	75.0	0.0	25.0	0.0
ADrone	60.0	24	54.17	0.0	45.83	0.0
piper	60.0	32	43.75	0.0	56.25	0.0
ejwu	48.39	46	60.87	6.52	32.61	0.0
JerryYang	42.31	518	75.48	7.92	16.6	0.0
doctorabi	35.29	23	34.78	0.0	65.22	0.0
kevincaseytdk1	34.81	182	67.58	2.2	30.22	0.0
Kyle	33.71	119	42.86	9.24	47.9	0.0
rkass	30.26	1468	54.29	8.86	36.58	0.27
TimeHoodie	29.38	207	48.31	3.38	48.31	0.0
DMoney	29.17	31	35.48	0.0	64.52	0.0
telsey	28.21	50	42.0	0.0	58.0	0.0
melwen	27.45	195	52.82	8.72	38.46	0.0
squidgetx	24.44	56	64.29	0.0	35.71	0.0
jeff10	23.33	37	62.16	5.41	32.43	0.0
newduke	23.33	74	72.97	1.35	25.68	0.0
scharkbite	22.22	55	52.73	0.0	47.27	0.0
TheDaniMan	21.88	39	74.36	0.0	25.64	0.0
pianoblook	20.88	110	41.82	3.64	50.91	3.64
kimbifille	20.75	128	31.25	7.81	53.91	7.03
derekcheah	19.05	50	68.0	4.0	28.0	0.0
bazzy	17.65	20	85.0	0.0	15.0	0.0
emilyzhao	16.98	62	67.74	0.0	32.26	0.0
timotree	16.28	100	48.0	13.0	39.0	0.0
Jake_Stiles	14.29	24	75.0	0.0	25.0	0.0
will.i.am	13.79	33	48.48	0.0	51.52	0.0
rs1	13.33	34	47.06	0.0	41.18	11.76
mattnabi	12.57	394	31.73	5.58	62.69	0.0
Zamiel	11.59	77	36.36	20.78	31.17	11.69
swineherd	11.54	29	68.97	6.9	24.14	0.0
IAMJEFF	11.11	20	50.0	0.0	25.0	25.0
MarkusKahlsen	6.67	32	40.62	0.0	59.38	0.0
XMIL	5.56	38	44.74	0.0	55.26	0.0
