Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
torp	42.62	87	83.91	0.0	16.09	0.0
kevincaseytdk1	36.36	30	53.33	0.0	46.67	0.0
lolthisnotderk	34.62	35	68.57	0.0	31.43	0.0
Nitrate	30.0	26	57.69	0.0	42.31	0.0
nkkarpov	29.17	31	61.29	0.0	38.71	0.0
Lel0uch	28.95	98	42.86	0.0	57.14	0.0
Fey	27.27	28	75.0	0.0	25.0	0.0
rahsosprout	26.87	85	74.12	1.18	24.71	0.0
knaphill	25.0	25	76.0	0.0	24.0	0.0
Wittvector	23.91	57	43.86	0.0	54.39	1.75
griff77	23.53	42	61.9	0.0	38.1	0.0
derekcheah	23.33	37	18.92	0.0	81.08	0.0
melwen	22.81	70	40.0	0.0	60.0	0.0
MangoPie	22.22	44	54.55	0.0	45.45	0.0
MarkusKahlsen	22.22	22	77.27	0.0	22.73	0.0
corys	21.21	40	85.0	0.0	15.0	0.0
jack67889	21.05	23	73.91	0.0	26.09	0.0
xor	20.83	29	82.76	0.0	17.24	0.0
newduke	20.63	76	59.21	0.0	40.79	0.0
wump	20.59	41	56.1	4.88	39.02	0.0
dobi	20.0	90	57.78	0.0	42.22	0.0
IsabeltheCat	20.0	60	60.0	0.0	40.0	0.0
kinkajusrevenge	20.0	24	95.83	0.0	4.17	0.0
possum	19.05	25	72.0	0.0	28.0	0.0
4head	18.82	101	59.41	0.0	40.59	0.0
Lanvin	17.54	268	64.18	0.0	35.82	0.0
Onen	16.67	42	61.9	0.0	38.1	0.0
squirrel1988	16.67	119	57.14	0.0	42.86	0.0
eljavi	16.13	36	75.0	0.0	25.0	0.0
rz	15.91	51	64.71	0.0	35.29	0.0
TimeHoodie	15.79	22	72.73	0.0	27.27	0.0
Hoodie	15.0	23	69.57	0.0	30.43	0.0
asaelr	14.29	24	16.67	0.0	79.17	4.17
voss	14.29	24	58.33	0.0	41.67	0.0
HelanaAshryvr	13.16	129	60.47	0.0	39.53	0.0
ksfortson	13.16	43	79.07	4.65	16.28	0.0
jeff10	11.11	20	75.0	0.0	25.0	0.0
louietyj	11.11	20	65.0	10.0	25.0	0.0
ChristopheAF	10.34	64	79.69	0.0	20.31	0.0
Denchulitas	9.52	23	86.96	0.0	13.04	0.0
sephiroth	9.52	23	73.91	0.0	26.09	0.0
indego	8.11	80	57.5	0.0	42.5	0.0
VerySloppyTwo	6.25	34	76.47	0.0	23.53	0.0
