Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
aquarelle	29.86	187	82.35	0.53	17.11	0.0
ricardodd	25.0	20	75.0	25.0	0.0	0.0
antitelharsic	24.62	81	27.16	14.81	56.79	1.23
HelanaAshryvr	19.39	234	65.81	8.12	24.79	1.28
frosty104	17.39	27	48.15	0.0	33.33	18.52
Lel0uch	16.27	393	56.49	1.27	39.44	2.8
Animex52	15.18	129	58.91	6.98	34.11	0.0
ChristopheAF	13.64	25	48.0	16.0	36.0	0.0
Fey	12.5	27	70.37	0.0	29.63	0.0
squirrel1988	12.5	63	26.98	17.46	55.56	0.0
methmatics	10.0	22	68.18	0.0	27.27	4.55
catula	9.68	34	38.24	0.0	61.76	0.0
Sucubis	8.33	26	46.15	0.0	50.0	3.85
Lanvin	7.84	55	49.09	9.09	41.82	0.0
FerKeth	7.27	59	81.36	0.0	18.64	0.0
Durandal	6.47	148	18.92	0.0	72.3	8.78
indego	1.89	54	50.0	0.0	50.0	0.0
