Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
roumen.guha	300.0	4	100.0	0.0	0.0	0.0
nicoleh	225.0	13	92.31	0.0	7.69	0.0
micki	200.0	3	100.0	0.0	0.0	0.0
ADrone	100.0	2	100.0	0.0	0.0	0.0
griff77	100.0	4	75.0	0.0	25.0	0.0
JackFrost	100.0	4	100.0	0.0	0.0	0.0
knaphill	100.0	2	100.0	0.0	0.0	0.0
micerang	100.0	2	50.0	0.0	50.0	0.0
narabio	100.0	2	100.0	0.0	0.0	0.0
NicolasB	100.0	2	100.0	0.0	0.0	0.0
parrotdoxair	100.0	2	100.0	0.0	0.0	0.0
possum	100.0	2	100.0	0.0	0.0	0.0
postmans	100.0	2	100.0	0.0	0.0	0.0
wolfpack	100.0	2	100.0	0.0	0.0	0.0
eljavi	85.71	13	69.23	0.0	30.77	0.0
CaitlinSmith	75.0	7	100.0	0.0	0.0	0.0
kimbifille	66.67	5	100.0	0.0	0.0	0.0
dobi	57.14	22	59.09	0.0	40.91	0.0
macanek	56.25	25	76.0	0.0	24.0	0.0
Bot-Fiora	50.0	3	100.0	0.0	0.0	0.0
caГ±a	50.0	9	100.0	0.0	0.0	0.0
nwajfromoz	50.0	3	100.0	0.0	0.0	0.0
Spieler42	50.0	3	100.0	0.0	0.0	0.0
TheDaniMan	50.0	3	33.33	0.0	66.67	0.0
torp	50.0	3	33.33	0.0	66.67	0.0
wortel	50.0	6	100.0	0.0	0.0	0.0
wump	50.0	24	66.67	0.0	33.33	0.0
bob65536	40.0	14	92.86	0.0	7.14	0.0
ricardodd	40.0	14	71.43	21.43	7.14	0.0
voss	40.0	7	85.71	0.0	14.29	0.0
Fey	37.5	11	90.91	0.0	9.09	0.0
nkkarpov	36.36	15	73.33	0.0	26.67	0.0
Carunty	33.33	8	100.0	0.0	0.0	0.0
FerKeth	33.33	4	100.0	0.0	0.0	0.0
IAMJEFF	33.33	4	100.0	0.0	0.0	0.0
Kernel	33.33	4	100.0	0.0	0.0	0.0
sankala	33.33	8	100.0	0.0	0.0	0.0
timotree	33.33	4	75.0	0.0	25.0	0.0
hailey	32.23	320	70.0	0.0	26.25	3.75
ksfortson	30.77	17	88.24	0.0	11.76	0.0
rz	30.77	34	67.65	0.0	29.41	2.94
Plum	28.57	9	44.44	0.0	55.56	0.0
Onen	28.21	50	78.0	0.0	22.0	0.0
Feich59	27.27	14	92.86	7.14	0.0	0.0
derekcheah	25.0	5	100.0	0.0	0.0	0.0
ejwu	25.0	5	20.0	0.0	80.0	0.0
jack67889	25.0	20	75.0	0.0	25.0	0.0
scharkbite	25.0	5	100.0	0.0	0.0	0.0
StKildaFan	25.0	10	80.0	0.0	20.0	0.0
Lel0uch	20.45	53	77.36	0.0	22.64	0.0
katian	20.0	6	0.0	0.0	100.0	0.0
rahsosprout	20.0	18	72.22	0.0	27.78	0.0
Zamiel	20.0	6	66.67	0.0	33.33	0.0
VerySloppyTwo	18.52	32	78.12	0.0	21.88	0.0
jeff10	18.18	13	46.15	0.0	53.85	0.0
robense	18.18	26	26.92	0.0	73.08	0.0
sephiroth	17.86	33	66.67	0.0	33.33	0.0
HelanaAshryvr	17.74	73	79.45	0.0	20.55	0.0
bjnh	17.65	20	60.0	0.0	40.0	0.0
Lanvin	17.14	123	62.6	1.63	34.15	1.63
ChristopheAF	17.07	48	66.67	0.0	29.17	4.17
rachyrules	16.67	14	78.57	0.0	14.29	7.14
sin_faith	15.38	15	73.33	0.0	26.67	0.0
frosty104	15.0	23	60.87	0.0	39.13	0.0
hakha3	14.29	8	25.0	0.0	75.0	0.0
kinkajusrevenge	14.29	8	87.5	0.0	12.5	0.0
doctorabi	12.5	45	64.44	0.0	35.56	0.0
squirrel1988	12.5	9	77.78	0.0	22.22	0.0
asaelr	11.11	10	30.0	0.0	70.0	0.0
melwen	11.11	30	53.33	0.0	46.67	0.0
