Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Smandon	56.25	25	64.0	0.0	36.0	0.0
Lanvin	44.44	39	56.41	0.0	43.59	0.0
orucsoraihc	43.48	33	51.52	0.0	48.48	0.0
sjdrodge	42.86	20	85.0	0.0	15.0	0.0
frosty104	41.38	82	70.73	0.0	25.61	3.66
micerang	38.71	43	55.81	0.0	44.19	0.0
piper	38.46	126	69.84	3.17	25.4	1.59
antitelharsic	34.48	78	87.18	0.0	12.82	0.0
DMoney	33.33	28	32.14	0.0	67.86	0.0
katian	33.33	24	66.67	0.0	33.33	0.0
MarkusKahlsen	33.33	64	73.44	3.12	23.44	0.0
robense	32.56	57	64.91	3.51	31.58	0.0
reeleis	31.58	25	88.0	0.0	12.0	0.0
MangoPie	31.25	21	57.14	0.0	42.86	0.0
Aluap	30.56	47	91.49	2.13	6.38	0.0
Zakisan	29.29	128	65.62	0.0	34.38	0.0
drew.levitt	28.57	27	55.56	0.0	44.44	0.0
avanderwalde	28.0	32	62.5	6.25	31.25	0.0
plus	28.0	96	84.38	3.12	12.5	0.0
TimeHoodie	27.82	170	59.41	1.18	39.41	0.0
scottma	27.66	60	78.33	0.0	21.67	0.0
bjnh	27.27	42	28.57	0.0	71.43	0.0
dobi	26.4	158	51.9	0.0	46.84	1.27
sin_faith	26.09	87	40.23	2.3	52.87	4.6
TheDaniMan	25.43	291	50.86	5.5	43.64	0.0
Fey	25.32	292	44.86	0.0	54.45	0.68
catula	25.0	60	53.33	0.0	46.67	0.0
Wittvector	25.0	35	48.57	0.0	51.43	0.0
doctorabi	24.29	87	55.17	0.0	41.38	3.45
asaelr	23.73	73	75.34	4.11	20.55	0.0
Pablo-	22.0	61	50.82	1.64	47.54	0.0
joelwool	21.54	79	60.76	0.0	39.24	0.0
Kyle	20.9	81	59.26	0.0	38.27	2.47
Onen	20.83	29	55.17	0.0	44.83	0.0
kimbifille	20.41	59	67.8	0.0	32.2	0.0
hakha3	19.05	25	32.0	0.0	68.0	0.0
Lel0uch	18.39	631	30.74	0.0	69.26	0.0
Bonja97	17.89	145	48.97	0.0	51.03	0.0
XMIL	17.86	33	48.48	15.15	36.36	0.0
melwen	16.87	381	53.02	3.15	43.31	0.52
swineherd	16.78	167	61.08	5.99	32.93	0.0
Animex52	16.67	21	19.05	0.0	80.95	0.0
sephiroth	16.67	245	63.27	1.22	35.51	0.0
jeff10	15.79	22	81.82	0.0	18.18	0.0
rs1	15.79	22	86.36	9.09	4.55	0.0
pianoblook	15.42	277	63.18	9.39	26.35	1.08
indego	15.18	129	43.41	1.55	55.04	0.0
Zamiel	15.0	46	52.17	6.52	41.3	0.0
scharkbite	14.94	177	68.36	0.56	31.07	0.0
Nitrate2	13.21	60	78.33	0.0	21.67	0.0
cockdestroyer	12.73	62	54.84	0.0	45.16	0.0
Floriman	12.5	63	68.25	0.0	31.75	0.0
kooolant	11.63	48	95.83	0.0	4.17	0.0
will.i.am	11.61	298	66.78	3.02	30.2	0.0
newduke	8.16	106	50.94	0.0	49.06	0.0
Lilliana	8.0	27	51.85	40.74	0.0	7.41
Dr_Kakashi	7.41	29	89.66	0.0	10.34	0.0
qbphoenix	7.14	30	73.33	0.0	26.67	0.0
timotree	5.13	41	56.1	0.0	43.9	0.0
kopen	2.86	36	50.0	5.56	44.44	0.0
