Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
bob65536	100.0	2	100.0	0.0	0.0	0.0
Onen	100.0	2	100.0	0.0	0.0	0.0
beebeeb123	44.44	13	100.0	0.0	0.0	0.0
TwentyLightbulb	24.0	31	54.84	0.0	45.16	0.0
a_small_emu	17.38	635	59.53	1.73	37.8	0.94
InfernoSnowman	17.28	285	69.12	1.05	28.77	1.05
ATrueZen	12.86	1834	51.25	3.27	43.57	1.91
ADrone	0.0	1	0.0	0.0	100.0	0.0
angel-a	0	1	0.0	0.0	100.0	0.0
asaelr	0.0	2	0.0	0.0	100.0	0.0
cockdestroyer	0.0	2	0.0	0.0	100.0	0.0
egerdm	0.0	1	0.0	0.0	100.0	0.0
jack67889	0.0	2	0.0	0.0	100.0	0.0
jeff10	0.0	3	0.0	0.0	100.0	0.0
ksfortson	0.0	2	100.0	0.0	0.0	0.0
macanek	0.0	2	0.0	0.0	100.0	0.0
MarkusKahlsen	0	1	0.0	0.0	100.0	0.0
newduke	0.0	1	100.0	0.0	0.0	0.0
noodle	0.0	1	100.0	0.0	0.0	0.0
orucsoraihc	0.0	2	50.0	0.0	50.0	0.0
Pablo-	0.0	3	0.0	0.0	100.0	0.0
Pepepe	0.0	1	100.0	0.0	0.0	0.0
Puzzle	0	1	0.0	0.0	100.0	0.0
Rubix	0.0	1	100.0	0.0	0.0	0.0
Samonlyfamcam	0	1	100.0	0.0	0.0	0.0
sephiroth	0.0	2	0.0	0.0	100.0	0.0
superbipbip	0.0	1	0.0	0.0	100.0	0.0
will.i.am	0	1	0.0	0.0	100.0	0.0
wump	0.0	2	100.0	0.0	0.0	0.0
XMIL	0.0	5	60.0	0.0	40.0	0.0
Zakisan	0	1	0.0	0.0	100.0	0.0
