Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
darnley	100.0	4	100.0	0.0	0.0	0.0
Eugene	100.0	2	100.0	0.0	0.0	0.0
IsabeltheCat	100.0	2	100.0	0.0	0.0	0.0
willwin4sure	100.0	2	50.0	0.0	50.0	0.0
newduke	50.0	3	66.67	0.0	33.33	0.0
sin_faith	50.0	3	100.0	0.0	0.0	0.0
Kowalski	38.59	431	87.24	4.87	7.89	0.0
Kowalski1337	37.87	415	87.95	5.06	6.99	0.0
rachyrules	33.33	4	75.0	0.0	25.0	0.0
TimeHoodie	33.33	4	100.0	0.0	0.0	0.0
Feich	30.83	174	75.29	9.77	14.94	0.0
Feich59	30.23	168	74.4	10.12	15.48	0.0
DMoney	25.0	5	100.0	0.0	0.0	0.0
swineherd	20.0	6	100.0	0.0	0.0	0.0
AnalSex	0.0	1	100.0	0.0	0.0	0.0
Andrew_UK	0	2	100.0	0.0	0.0	0.0
andymiller73	0.0	1	100.0	0.0	0.0	0.0
arnino	0.0	1	100.0	0.0	0.0	0.0
avanderwalde	0.0	4	100.0	0.0	0.0	0.0
bartosh	0.0	3	100.0	0.0	0.0	0.0
CStryker	0.0	1	100.0	0.0	0.0	0.0
ebin_noob	0.0	2	100.0	0.0	0.0	0.0
gey_boris	0.0	1	100.0	0.0	0.0	0.0
Gey_Boris_	0.0	2	100.0	0.0	0.0	0.0
ivan0vmp	0.0	1	100.0	0.0	0.0	0.0
jack67889	0.0	3	100.0	0.0	0.0	0.0
kevincaseytdk1	0.0	2	100.0	0.0	0.0	0.0
kunyavskiy	0	1	100.0	0.0	0.0	0.0
nkkarpov	0.0	1	100.0	0.0	0.0	0.0
rcaseyatbat	0	1	100.0	0.0	0.0	0.0
rkass	0.0	4	100.0	0.0	0.0	0.0
shootinglucky	0	2	100.0	0.0	0.0	0.0
silvery_moon	0.0	1	100.0	0.0	0.0	0.0
Thittom	0.0	1	0.0	0.0	100.0	0.0
tilacyn	0.0	2	100.0	0.0	0.0	0.0
timotree	0.0	2	100.0	0.0	0.0	0.0
Tiramisu1th	0.0	3	33.33	0.0	66.67	0.0
Veexliat	0.0	2	50.0	0.0	50.0	0.0
will.i.am	0.0	1	100.0	0.0	0.0	0.0
wump	0	2	100.0	0.0	0.0	0.0
