Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
swineherd	66.67	25	76.0	0.0	24.0	0.0
colton	50.0	21	57.14	0.0	42.86	0.0
hakha3	43.75	23	47.83	0.0	52.17	0.0
kevincaseytdk1	42.86	30	40.0	0.0	60.0	0.0
frosty104	40.62	45	48.89	0.0	51.11	0.0
scharkbite	40.0	21	57.14	4.76	28.57	9.52
wump	37.84	51	72.55	1.96	25.49	0.0
griff77	33.33	24	45.83	8.33	45.83	0.0
MangoPie	32.81	85	50.59	2.35	47.06	0.0
orucsoraihc	31.25	21	57.14	0.0	42.86	0.0
Nitrate	29.41	22	45.45	4.55	50.0	0.0
Onen	26.47	43	55.81	0.0	44.19	0.0
derekcheah	25.0	155	50.97	0.0	47.74	1.29
rz	24.19	77	72.73	1.3	25.97	0.0
qqqq	24.0	31	12.9	0.0	87.1	0.0
TimeHoodie	23.81	104	49.04	0.96	49.04	0.96
MarkusKahlsen	23.08	64	34.38	0.0	60.94	4.69
Fey	22.89	102	58.82	0.0	38.24	2.94
Wittvector	22.54	87	47.13	3.45	45.98	3.45
jeff10	22.22	33	48.48	0.0	48.48	3.03
rahsosprout	22.22	22	22.73	0.0	77.27	0.0
Zamiel	22.22	22	54.55	4.55	40.91	0.0
Hoodie	21.98	111	47.75	0.9	50.45	0.9
Lel0uch	21.6	259	40.93	0.0	59.07	0.0
sin_faith	21.43	34	26.47	0.0	70.59	2.94
kimbifille	21.05	46	60.87	0.0	39.13	0.0
sephiroth	20.99	98	55.1	1.02	43.88	0.0
bjnh	20.0	90	57.78	0.0	42.22	0.0
Floriman	20.0	24	62.5	0.0	37.5	0.0
Lanvin	19.9	229	47.6	1.31	50.22	0.87
melwen	18.92	132	32.58	1.52	64.39	1.52
HelanaAshryvr	17.19	150	38.0	20.0	42.0	0.0
newduke	17.01	172	55.81	1.16	43.02	0.0
jack67889	15.79	22	27.27	0.0	72.73	0.0
katian	15.79	22	63.64	0.0	36.36	0.0
inde	15.15	266	41.73	2.63	55.64	0.0
timotree	15.09	61	16.39	47.54	36.07	0.0
indego	14.35	263	41.44	2.66	55.89	0.0
squirrel1988	13.64	50	38.0	0.0	62.0	0.0
Kyle	12.5	72	41.67	2.78	55.56	0.0
pianoblook	12.5	45	48.89	0.0	51.11	0.0
ChristopheAF	12.0	56	75.0	0.0	25.0	0.0
4head	10.42	53	45.28	0.0	54.72	0.0
robense	9.38	35	25.71	2.86	71.43	0.0
duckington	8.7	25	36.0	0.0	64.0	0.0
asaelr	7.41	29	55.17	0.0	44.83	0.0
Zakisan	4.76	22	59.09	0.0	40.91	0.0
VerySloppyTwo	4.17	25	44.0	0.0	56.0	0.0
IsabeltheCat	2.7	38	28.95	0.0	71.05	0.0
nkkarpov	0.0	20	40.0	10.0	50.0	0.0
