Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
sin_faith	200.0	3	66.67	0.0	0.0	33.33
ADrone	100.0	2	100.0	0.0	0.0	0.0
Damian000	100.0	2	100.0	0.0	0.0	0.0
derekcheah	100.0	4	25.0	0.0	25.0	50.0
micerang	100.0	2	0.0	0.0	100.0	0.0
Syrah	100.0	2	100.0	0.0	0.0	0.0
bjnh	50.0	3	66.67	0.0	33.33	0.0
Denchulitas	50.0	3	66.67	0.0	33.33	0.0
Dr_Kakashi	50.0	3	0.0	0.0	100.0	0.0
nwajfromoz	50.0	6	100.0	0.0	0.0	0.0
Fey	42.11	27	85.19	0.0	3.7	11.11
knaphill	40.0	7	71.43	0.0	28.57	0.0
Lel0uch	33.33	4	25.0	25.0	50.0	0.0
Wittvector	33.33	4	100.0	0.0	0.0	0.0
wolfpack	33.33	4	100.0	0.0	0.0	0.0
ChristopheAF	27.27	14	100.0	0.0	0.0	0.0
lailie.ahava	25.0	10	100.0	0.0	0.0	0.0
tolson32	25.0	10	100.0	0.0	0.0	0.0
kevincaseytdk1	22.22	11	72.73	0.0	27.27	0.0
4head	20.0	6	66.67	16.67	16.67	0.0
jack67889	20.0	6	50.0	0.0	50.0	0.0
melwen	20.0	6	50.0	16.67	33.33	0.0
Sucubis	16.67	7	85.71	0.0	14.29	0.0
timotree	16.67	7	100.0	0.0	0.0	0.0
indego	15.38	30	53.33	3.33	43.33	0.0
aanar	14.29	8	100.0	0.0	0.0	0.0
elskabette	14.29	8	100.0	0.0	0.0	0.0
frosty104	12.5	9	33.33	0.0	66.67	0.0
MangoPie	12.5	9	55.56	33.33	11.11	0.0
nkkarpov	12.5	9	88.89	0.0	11.11	0.0
Kyle	11.11	10	70.0	0.0	30.0	0.0
Lanvin	8.7	50	70.0	0.0	30.0	0.0
asaelr	7.14	15	80.0	0.0	20.0	0.0
dobi	7.14	15	53.33	0.0	33.33	13.33
rz	5.56	19	78.95	0.0	21.05	0.0
Bonja97	0.0	8	12.5	0.0	87.5	0.0
BraydonM	0.0	1	100.0	0.0	0.0	0.0
CaitlinSmith	0.0	2	0.0	100.0	0.0	0.0
catula	0.0	3	100.0	0.0	0.0	0.0
colton	0.0	1	0.0	0.0	100.0	0.0
Daryl	0.0	1	100.0	0.0	0.0	0.0
eliclax	0.0	1	0.0	0.0	100.0	0.0
griff77	0	1	100.0	0.0	0.0	0.0
hakha3	0.0	9	66.67	0.0	33.33	0.0
HelanaAshryvr	0.0	1	100.0	0.0	0.0	0.0
IsabeltheCat	0	1	100.0	0.0	0.0	0.0
jeff10	0	1	100.0	0.0	0.0	0.0
Meowie	0.0	1	100.0	0.0	0.0	0.0
newduke	0.0	5	20.0	60.0	20.0	0.0
Nitrate2	0.0	8	12.5	0.0	87.5	0.0
Onen	0.0	4	0.0	0.0	100.0	0.0
Pablo-	0.0	4	100.0	0.0	0.0	0.0
Pimak	0.0	6	100.0	0.0	0.0	0.0
possum	0.0	4	0.0	0.0	100.0	0.0
RaKXeR	0.0	1	100.0	0.0	0.0	0.0
ricardodd	0.0	6	66.67	0.0	33.33	0.0
robense	0.0	2	0.0	0.0	100.0	0.0
sephiroth	0.0	7	71.43	0.0	28.57	0.0
Spieler42	0.0	1	100.0	0.0	0.0	0.0
TimeHoodie	0.0	13	100.0	0.0	0.0	0.0
VerySloppyTwo	0.0	15	73.33	0.0	26.67	0.0
vjk	0.0	1	100.0	0.0	0.0	0.0
voss	0.0	2	0.0	0.0	100.0	0.0
wortel	0.0	6	50.0	0.0	50.0	0.0
wump	0.0	9	66.67	0.0	33.33	0.0
Zakisan	0.0	4	100.0	0.0	0.0	0.0
