Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
asaelr	26.32	24	75.0	0.0	25.0	0.0
IAMJEFF	25.0	50	72.0	0.0	28.0	0.0
RaKXeR	20.83	29	75.86	0.0	24.14	0.0
Fey	19.61	61	57.38	3.28	22.95	16.39
Dr_Kakashi	19.57	110	81.82	6.36	11.82	0.0
sin_faith	19.23	31	67.74	9.68	22.58	0.0
kooolant	17.86	33	39.39	9.09	33.33	18.18
kodomazer	17.65	20	95.0	0.0	5.0	0.0
MasN	15.15	38	73.68	0.0	26.32	0.0
kimbifille	14.58	55	43.64	12.73	38.18	5.45
Fireheart	14.29	40	62.5	0.0	37.5	0.0
scharkbite	13.64	50	76.0	0.0	24.0	0.0
padi	12.5	36	80.56	0.0	19.44	0.0
Floriman	11.11	80	68.75	0.0	31.25	0.0
DoubleDown11	10.53	21	38.1	0.0	61.9	0.0
honzas	10.0	22	90.91	0.0	9.09	0.0
Livia	7.41	29	82.76	0.0	17.24	0.0
Kyle	6.82	94	76.6	3.19	20.21	0.0
TimeHoodie	3.45	30	16.67	33.33	50.0	0.0
