Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
honzas	300.0	4	100.0	0.0	0.0	0.0
ADrone	200.0	3	100.0	0.0	0.0	0.0
timotree	120.0	11	100.0	0.0	0.0	0.0
ebin_noob	100.0	2	100.0	0.0	0.0	0.0
MarcLovesDogs	100.0	4	100.0	0.0	0.0	0.0
methmatics	100.0	2	100.0	0.0	0.0	0.0
newduke	50.0	15	100.0	0.0	0.0	0.0
XMIL	43.75	23	73.91	4.35	21.74	0.0
Kyle	40.0	7	71.43	0.0	28.57	0.0
VipersOracle	40.0	7	100.0	0.0	0.0	0.0
cockdestroyer	33.33	20	80.0	0.0	20.0	0.0
angel-a	28.57	9	88.89	11.11	0.0	0.0
catula	28.57	9	88.89	0.0	11.11	0.0
AshleyBridge	25.0	5	40.0	0.0	60.0	0.0
Jwpogue	25.0	5	100.0	0.0	0.0	0.0
Stinkydude63	22.22	11	100.0	0.0	0.0	0.0
StKildaFan	20.0	12	100.0	0.0	0.0	0.0
ksfortson	19.66	140	94.29	0.0	5.71	0.0
Carunty	19.44	43	93.02	2.33	4.65	0.0
wump	18.54	243	92.59	2.06	5.35	0.0
doctorabi	15.79	22	72.73	0.0	27.27	0.0
Jake_Stiles	15.38	30	100.0	0.0	0.0	0.0
JackFrost	14.29	144	93.06	0.69	6.25	0.0
rz	14.29	96	93.75	1.04	5.21	0.0
antitelharsic	12.5	18	100.0	0.0	0.0	0.0
nitawa	11.11	10	100.0	0.0	0.0	0.0
ejwu	9.09	12	58.33	16.67	25.0	0.0
4head	0.0	1	100.0	0.0	0.0	0.0
angie123	0.0	1	100.0	0.0	0.0	0.0
Animex52	0.0	4	100.0	0.0	0.0	0.0
anser	0.0	4	50.0	0.0	50.0	0.0
asaelr	0.0	2	100.0	0.0	0.0	0.0
bob65536	0.0	2	100.0	0.0	0.0	0.0
Bonja97	0.0	3	0.0	0.0	100.0	0.0
brendonitis	0.0	1	100.0	0.0	0.0	0.0
caГ±a	0.0	1	100.0	0.0	0.0	0.0
CDC	0.0	1	100.0	0.0	0.0	0.0
CStryker	0.0	1	100.0	0.0	0.0	0.0
cute_girl	0.0	3	100.0	0.0	0.0	0.0
DoubleJay	0.0	4	100.0	0.0	0.0	0.0
Feich59	0.0	2	100.0	0.0	0.0	0.0
frosty104	0.0	5	100.0	0.0	0.0	0.0
indego	0.0	1	100.0	0.0	0.0	0.0
jack_0f_hearts	0.0	1	100.0	0.0	0.0	0.0
Jtjg	0.0	2	100.0	0.0	0.0	0.0
lingomaniac88	0	1	100.0	0.0	0.0	0.0
macanek	0.0	1	100.0	0.0	0.0	0.0
MarkusKahlsen	0.0	3	100.0	0.0	0.0	0.0
meech	0.0	1	100.0	0.0	0.0	0.0
micerang	0.0	2	100.0	0.0	0.0	0.0
Onen	0.0	13	76.92	0.0	23.08	0.0
orucsoraihc	0.0	18	94.44	0.0	5.56	0.0
Pablo-	0.0	3	66.67	0.0	33.33	0.0
parrotdoxair	0.0	3	66.67	0.0	33.33	0.0
penisman	0.0	6	83.33	16.67	0.0	0.0
Pepepe	0	1	100.0	0.0	0.0	0.0
pianoblook	0.0	2	50.0	0.0	50.0	0.0
plus	0.0	1	100.0	0.0	0.0	0.0
pmuething	0.0	1	100.0	0.0	0.0	0.0
possum	0	1	100.0	0.0	0.0	0.0
rachyrules	0	1	100.0	0.0	0.0	0.0
rahsosprout	0.0	1	100.0	0.0	0.0	0.0
robense	0.0	1	100.0	0.0	0.0	0.0
sephiroth	0.0	2	50.0	0.0	50.0	0.0
sin_faith	0.0	2	100.0	0.0	0.0	0.0
stitch	0.0	4	100.0	0.0	0.0	0.0
TheDaniMan	0.0	1	0.0	0.0	100.0	0.0
Veexliat	0.0	3	33.33	0.0	66.67	0.0
