Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
MarkusKahlsen	77.78	32	75.0	0.0	25.0	0.0
skyscraperz	37.31	92	88.04	0.0	11.96	0.0
squidgetx	26.37	901	63.49	2.11	34.41	0.0
Animex52	25.0	85	82.35	2.35	15.29	0.0
DMoney	25.0	30	33.33	0.0	66.67	0.0
avanderwalde	22.86	43	58.14	0.0	41.86	0.0
savoryoatmeal	22.5	49	69.39	6.12	24.49	0.0
ejwu	17.86	33	48.48	27.27	24.24	0.0
TimeHoodie	12.5	27	77.78	0.0	22.22	0.0
eggplantiris	12.0	28	60.71	0.0	39.29	0.0
melwen	9.09	24	50.0	0.0	50.0	0.0
Chuan	8.2	66	56.06	0.0	43.94	0.0
Sarjwang	3.23	32	46.88	0.0	53.12	0.0
izzy	2.22	46	67.39	0.0	32.61	0.0
