Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
csq	200.0	3	100.0	0.0	0.0	0.0
eevee	200.0	3	100.0	0.0	0.0	0.0
darkenblade986	100.0	2	100.0	0.0	0.0	0.0
hanabornoob	100.0	4	100.0	0.0	0.0	0.0
honzas	100.0	2	100.0	0.0	0.0	0.0
kimbifille	100.0	4	100.0	0.0	0.0	0.0
kungfupanda1	100.0	2	100.0	0.0	0.0	0.0
piper	100.0	4	100.0	0.0	0.0	0.0
lord_farin	62.07	47	91.49	0.0	8.51	0.0
invarse	60.87	37	100.0	0.0	0.0	0.0
pianoblook	60.0	8	87.5	0.0	12.5	0.0
Nitrate	50.0	3	100.0	0.0	0.0	0.0
soxinfox	50.0	9	100.0	0.0	0.0	0.0
Yzjdriel	50.0	3	100.0	0.0	0.0	0.0
clue number	37.5	11	100.0	0.0	0.0	0.0
Hunter	36.84	52	90.38	0.0	9.62	0.0
awe	33.33	4	75.0	0.0	25.0	0.0
Bubble	33.33	4	100.0	0.0	0.0	0.0
duckmammal	33.33	4	50.0	0.0	50.0	0.0
Lilliana	33.33	4	50.0	25.0	25.0	0.0
Livia	33.33	32	31.25	28.12	40.62	0.0
Sucubis	33.33	8	75.0	0.0	25.0	0.0
swineherd	33.33	4	50.0	0.0	50.0	0.0
XMIL	33.33	4	75.0	0.0	25.0	0.0
BlameItOnRaz:D	29.27	53	39.62	0.0	47.17	13.21
grayfox	28.57	9	88.89	0.0	11.11	0.0
nmego	28.57	45	75.56	0.0	24.44	0.0
PtitMax	28.57	9	55.56	0.0	44.44	0.0
Tiberyus	28.57	18	72.22	0.0	11.11	16.67
asaelr	26.83	52	69.23	0.0	30.77	0.0
Instantiation	26.72	147	68.03	0.0	14.29	17.69
Doge	26.09	29	44.83	0.0	31.03	24.14
cubegoldberg	25.0	5	100.0	0.0	0.0	0.0
potatochips	25.0	5	100.0	0.0	0.0	0.0
Swifter	25.0	130	59.23	0.0	29.23	11.54
Zy	25.0	5	100.0	0.0	0.0	0.0
sjdrodge	22.83	269	65.43	0.74	24.16	9.67
Asddsa76	20.97	75	70.67	0.0	20.0	9.33
Mike	20.83	116	58.62	0.0	38.79	2.59
Dr_Kakashi	20.0	60	66.67	1.67	25.0	6.67
Ptheven	20.0	18	55.56	22.22	22.22	0.0
GamerSKTrashCan	19.57	55	45.45	0.0	47.27	7.27
Kakashi	18.97	69	71.01	1.45	21.74	5.8
kopen	18.52	32	46.88	6.25	46.88	0.0
wortel	18.18	13	76.92	0.0	23.08	0.0
Andrey Khesin	17.39	27	55.56	0.0	44.44	0.0
theworstplayer	17.39	27	55.56	0.0	3.7	40.74
Hyakinthus	16.85	104	50.96	0.0	34.62	14.42
bradz	16.67	7	42.86	0.0	57.14	0.0
clue color	16.67	7	57.14	0.0	0.0	42.86
Floriman	16.67	28	39.29	10.71	50.0	0.0
Himard	16.67	7	100.0	0.0	0.0	0.0
qqqq	16.39	71	50.7	0.0	30.99	18.31
DMoney	16.22	43	37.21	4.65	58.14	0.0
LordJeux	15.38	15	93.33	0.0	6.67	0.0
honeydew	14.29	8	100.0	0.0	0.0	0.0
Romain672	14.29	8	62.5	0.0	37.5	0.0
scharkbite	14.29	248	37.1	1.21	42.34	19.35
snkylittleazn	14.29	8	100.0	0.0	0.0	0.0
postmans	13.52	596	57.89	0.0	40.1	2.01
Cory	12.5	261	66.67	1.15	19.16	13.03
fpvandoorn	12.5	9	100.0	0.0	0.0	0.0
micerang	12.26	119	50.42	4.2	45.38	0.0
910dan	11.54	145	20.69	0.69	31.72	46.9
TheWildCard	11.11	10	70.0	0.0	30.0	0.0
Fireheart	10.87	102	35.29	16.67	48.04	0.0
ThirdStrike	10.21	313	68.69	0.0	31.31	0.0
forehandmMei	10.0	22	100.0	0.0	0.0	0.0
Andrew_UK	9.15	167	45.51	0.0	47.31	7.19
will.i.am	8.33	26	92.31	3.85	3.85	0.0
Yeesh	8.06	67	58.21	0.0	41.79	0.0
NotRaKXeR	7.8	1119	62.56	0.0	37.44	0.0
NotCory	6.67	48	79.17	0.0	20.83	0.0
color vs rank	6.38	50	76.0	0.0	8.0	16.0
Valetta6789	6.32	101	91.09	1.98	6.93	0.0
Zamiel	6.32	4492	56.1	0.31	40.0	3.58
doome_burner	5.88	18	94.44	0.0	5.56	0.0
jeep	5.56	19	36.84	0.0	47.37	15.79
Ahming	5.29	239	96.23	0.0	3.77	0.0
RaKXeR	5.26	5544	61.17	0.09	38.37	0.38
NoMercy	5.07	2136	53.84	0.33	43.45	2.39
The Kaito Kid	5.0	63	100.0	0.0	0.0	0.0
Kaito Kid	4.84	65	100.0	0.0	0.0	0.0
Jake_Stiles	4.76	110	47.27	2.73	50.0	0.0
sankala	4.61	2248	55.43	0.13	43.51	0.93
Libster	4.59	16550	57.48	0.06	41.61	0.85
Kyle	4.48	210	56.67	0.48	42.86	0.0
Razgovor	3.94	1398	45.28	0.0	54.43	0.29
IAMJEFF	3.75	304	63.82	1.64	33.88	0.66
padi	3.68	282	90.78	0.0	1.06	8.16
kodomazer	2.99	69	60.87	0.0	39.13	0.0
Razvogor	2.51	1712	46.9	0.06	53.04	0.0
Fourth Strike	1.96	52	100.0	0.0	0.0	0.0
sankala fan	1.85	1598	49.31	0.19	50.5	0.0
WeNeedToKnow	1.74	117	42.74	0.0	57.26	0.0
garbo late game	1.64	62	3.23	0.0	0.0	96.77
frogman	1.41	72	0.0	0.0	100.0	0.0
frog-kun	0.41	247	7.29	0.0	92.71	0.0
alercah	0.0	2	100.0	0.0	0.0	0.0
blue hedgehog	0.0	3	0.0	0.0	0.0	100.0
Bob Dole	0.0	4	100.0	0.0	0.0	0.0
Bonja97	0.0	1	100.0	0.0	0.0	0.0
cak199164	0.0	2	100.0	0.0	0.0	0.0
Danicker	0	1	100.0	0.0	0.0	0.0
efaust	0.0	7	85.71	0.0	14.29	0.0
Feer	0.0	6	100.0	0.0	0.0	0.0
foobar	0.0	1	100.0	0.0	0.0	0.0
fyermind	0	3	100.0	0.0	0.0	0.0
Gandalf	0.0	1	100.0	0.0	0.0	0.0
IAMJEFFFAN	0.0	91	100.0	0.0	0.0	0.0
JeffD	0.0	2	100.0	0.0	0.0	0.0
Joan	0.0	3	100.0	0.0	0.0	0.0
Karisa	0.0	4	100.0	0.0	0.0	0.0
Lobster	0.0	2	50.0	0.0	50.0	0.0
Lobsterosity	0.0	1	100.0	0.0	0.0	0.0
mathisje	0	2	100.0	0.0	0.0	0.0
mrguari	0.0	1	100.0	0.0	0.0	0.0
Naive_Riolu	0.0	10	70.0	0.0	30.0	0.0
Outlaw	0	2	100.0	0.0	0.0	0.0
pikachuuu	0.0	1	0.0	0.0	100.0	0.0
Pimak	0.0	1	100.0	0.0	0.0	0.0
salonka	0.0	1	100.0	0.0	0.0	0.0
SashaIr	0.0	3	66.67	0.0	33.33	0.0
SedNegi	0	1	100.0	0.0	0.0	0.0
SeldeGuГ©rande	0.0	1	100.0	0.0	0.0	0.0
smallman	0.0	1	100.0	0.0	0.0	0.0
templf	0.0	1	100.0	0.0	0.0	0.0
Tempo	0.0	3	100.0	0.0	0.0	0.0
TimeHoodie	0.0	1	0.0	0.0	100.0	0.0
Tiramisu1th	0.0	8	100.0	0.0	0.0	0.0
tonto	0.0	1	100.0	0.0	0.0	0.0
Ula	0.0	1	100.0	0.0	0.0	0.0
Will	0	1	100.0	0.0	0.0	0.0
wjomlex	0.0	14	100.0	0.0	0.0	0.0
wuthefwasthat	0.0	1	100.0	0.0	0.0	0.0
zuzwang	0.0	1	100.0	0.0	0.0	0.0
