Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
ADrone	200.0	6	100.0	0.0	0.0	0.0
Denchulitas	200.0	3	33.33	0.0	66.67	0.0
knaphill	200.0	3	66.67	0.0	33.33	0.0
torp	200.0	3	66.67	0.0	33.33	0.0
Animex52	100.0	2	50.0	0.0	50.0	0.0
Arcee	100.0	2	100.0	0.0	0.0	0.0
Bonja97	100.0	2	50.0	0.0	50.0	0.0
griff77	100.0	2	100.0	0.0	0.0	0.0
piper	100.0	2	50.0	0.0	50.0	0.0
possum	100.0	8	87.5	0.0	12.5	0.0
Tomtoz	100.0	2	100.0	0.0	0.0	0.0
will.i.am	100.0	4	100.0	0.0	0.0	0.0
zeinab001	100.0	2	100.0	0.0	0.0	0.0
bjnh	66.67	10	60.0	0.0	40.0	0.0
eliclax	66.67	10	50.0	0.0	50.0	0.0
ricardodd	60.0	24	87.5	8.33	4.17	0.0
charmander	57.14	11	18.18	0.0	81.82	0.0
boba	50.0	6	33.33	0.0	66.67	0.0
Daryl	50.0	6	100.0	0.0	0.0	0.0
Kernel	50.0	6	100.0	0.0	0.0	0.0
kevincaseytdk1	50.0	15	60.0	0.0	40.0	0.0
ksfortson	50.0	3	33.33	0.0	66.67	0.0
narabio	50.0	3	100.0	0.0	0.0	0.0
skyblueexo	50.0	3	0.0	0.0	100.0	0.0
Spieler42	50.0	6	50.0	0.0	50.0	0.0
willwin4sure	50.0	3	100.0	0.0	0.0	0.0
Valetta6789	46.51	63	80.95	11.11	7.94	0.0
timotree	44.44	13	69.23	0.0	30.77	0.0
Pablo-	43.75	23	78.26	0.0	21.74	0.0
avanderwalde	42.86	10	60.0	0.0	40.0	0.0
frosty104	41.67	34	64.71	5.88	29.41	0.0
qpenguin	41.67	17	100.0	0.0	0.0	0.0
GemmyBean	40.0	7	100.0	0.0	0.0	0.0
sin_faith	37.5	33	72.73	0.0	18.18	9.09
postmans	36.84	78	76.92	0.0	23.08	0.0
MarkusKahlsen	35.48	42	54.76	4.76	40.48	0.0
jeff10	34.38	43	58.14	4.65	37.21	0.0
kooolant	34.38	43	74.42	11.63	13.95	0.0
asaelr	33.33	32	65.62	0.0	34.38	0.0
IAMJEFF	33.33	16	75.0	0.0	25.0	0.0
kalisa	33.33	4	100.0	0.0	0.0	0.0
lolthisnotderk	33.33	4	50.0	0.0	50.0	0.0
Nitrate	33.33	12	58.33	0.0	41.67	0.0
Nitrate2	33.33	8	75.0	0.0	25.0	0.0
Onen	33.33	12	75.0	0.0	25.0	0.0
pianoblook	33.33	8	50.0	0.0	50.0	0.0
Pimak	33.33	4	25.0	0.0	75.0	0.0
qbphoenix	33.33	4	25.0	0.0	75.0	0.0
Veexliat	33.33	4	100.0	0.0	0.0	0.0
wortel	33.33	4	75.0	0.0	25.0	0.0
Zamiel	33.33	4	100.0	0.0	0.0	0.0
Fey	32.56	57	87.72	1.75	10.53	0.0
kimbifille	32.46	151	54.3	13.25	32.45	0.0
Kyle	32.14	74	51.35	9.46	39.19	0.0
Sucubis	30.77	34	52.94	0.0	47.06	0.0
sephiroth	29.09	71	70.42	0.0	28.17	1.41
ankeszu	28.57	18	27.78	0.0	72.22	0.0
beri	28.57	9	100.0	0.0	0.0	0.0
padi	28.57	9	44.44	0.0	55.56	0.0
wolfpack	28.57	9	44.44	0.0	55.56	0.0
doctorabi	28.3	68	39.71	10.29	47.06	2.94
Hoodie	27.91	110	65.45	0.91	32.73	0.91
dobi	26.92	33	54.55	0.0	45.45	0.0
TimeHoodie	26.51	105	67.62	0.95	30.48	0.95
HelanaAshryvr	26.47	43	51.16	0.0	48.84	0.0
melwen	25.86	73	39.73	5.48	54.79	0.0
4head	25.0	5	80.0	0.0	20.0	0.0
CaitlinSmith	25.0	5	60.0	0.0	40.0	0.0
DrJones	25.0	5	100.0	0.0	0.0	0.0
Livia	25.0	10	20.0	0.0	80.0	0.0
rkass	25.0	5	40.0	0.0	60.0	0.0
Lanvin	24.22	200	49.0	3.5	46.0	1.5
MangoPie	23.64	68	66.18	0.0	32.35	1.47
swineherd	23.53	21	28.57	0.0	71.43	0.0
macanek	23.28	143	97.2	0.0	2.8	0.0
Lilliana	22.22	11	45.45	0.0	54.55	0.0
orucsoraihc	22.22	11	100.0	0.0	0.0	0.0
Lel0uch	21.77	151	41.06	0.66	53.64	4.64
jack67889	20.51	47	48.94	14.89	36.17	0.0
Bot-Fiora	20.0	6	16.67	0.0	83.33	0.0
Carunty	20.0	6	100.0	0.0	0.0	0.0
duckmammal	20.0	6	33.33	0.0	66.67	0.0
voss	20.0	6	66.67	0.0	33.33	0.0
Zakisan	18.75	19	78.95	0.0	21.05	0.0
derekcheah	18.18	26	30.77	0.0	69.23	0.0
robense	17.65	20	30.0	5.0	65.0	0.0
PMP	16.67	7	57.14	0.0	42.86	0.0
rz	16.67	35	77.14	0.0	22.86	0.0
qqqq	15.38	15	20.0	0.0	80.0	0.0
colton	14.29	8	25.0	0.0	75.0	0.0
Floriman	14.29	48	70.83	4.17	25.0	0.0
katian	14.29	8	37.5	0.0	62.5	0.0
scharkbite	14.29	8	50.0	0.0	50.0	0.0
ChristopheAF	13.64	100	78.0	0.0	18.0	4.0
Dr_Kakashi	12.5	9	22.22	0.0	77.78	0.0
TheDaniMan	12.0	28	42.86	7.14	50.0	0.0
plus	11.36	49	75.51	0.0	24.49	0.0
Wittvector	10.61	73	43.84	0.0	46.58	9.59
kopen	10.0	11	0.0	0.0	100.0	0.0
Syrah	10.0	11	100.0	0.0	0.0	0.0
catula	8.33	13	69.23	0.0	30.77	0.0
Romain672	8.33	13	84.62	0.0	15.38	0.0
indego	7.46	72	44.44	4.17	51.39	0.0
VerySloppyTwo	6.12	52	65.38	0.0	34.62	0.0
newduke	3.33	31	64.52	6.45	29.03	0.0
Aluap	0.0	1	100.0	0.0	0.0	0.0
antitelharsic	0.0	2	100.0	0.0	0.0	0.0
aquarelle	0	1	100.0	0.0	0.0	0.0
arnino	0.0	2	0.0	0.0	100.0	0.0
ArualEIs	0	1	100.0	0.0	0.0	0.0
bbBgone	0.0	2	100.0	0.0	0.0	0.0
BlueNovember	0.0	1	0.0	0.0	100.0	0.0
bob65536	0.0	4	100.0	0.0	0.0	0.0
CastlesInTheAir	0.0	1	0.0	0.0	100.0	0.0
caГ±a	0.0	1	100.0	0.0	0.0	0.0
chriswck	0.0	5	100.0	0.0	0.0	0.0
cockdestroyer	0.0	6	100.0	0.0	0.0	0.0
corys	0.0	1	0.0	0.0	100.0	0.0
CptAggro	0	1	100.0	0.0	0.0	0.0
Div	0.0	2	100.0	0.0	0.0	0.0
Doge	0.0	1	100.0	0.0	0.0	0.0
Donna	0	2	100.0	0.0	0.0	0.0
duckless	0.0	9	66.67	0.0	33.33	0.0
Durandal	0.0	2	100.0	0.0	0.0	0.0
ebin_noob	0.0	1	100.0	0.0	0.0	0.0
ejwu	0	1	100.0	0.0	0.0	0.0
eljavi	0.0	1	0.0	0.0	100.0	0.0
Feich59	0.0	7	57.14	0.0	42.86	0.0
FerKeth	0.0	2	100.0	0.0	0.0	0.0
Fireheart	0.0	4	0.0	0.0	100.0	0.0
frollo9386	0.0	1	0.0	0.0	100.0	0.0
hailey	0.0	2	0.0	0.0	100.0	0.0
hanabornoob	0	1	100.0	0.0	0.0	0.0
honzas	0.0	5	60.0	0.0	40.0	0.0
indegoo	0.0	3	100.0	0.0	0.0	0.0
Jake_Stiles	0.0	2	50.0	0.0	50.0	0.0
JerryYang	0.0	2	100.0	0.0	0.0	0.0
kinkajusrevenge	0.0	1	100.0	0.0	0.0	0.0
Kowalski1337	0.0	2	0.0	0.0	100.0	0.0
Lars______42	0.0	1	100.0	0.0	0.0	0.0
Libster	0.0	3	100.0	0.0	0.0	0.0
lotem	0.0	1	100.0	0.0	0.0	0.0
magikarp	0.0	5	100.0	0.0	0.0	0.0
MarcLovesDogs	0.0	2	0.0	0.0	100.0	0.0
margmarg	0.0	1	100.0	0.0	0.0	0.0
marvolo2	0.0	1	100.0	0.0	0.0	0.0
mgce	0.0	1	100.0	0.0	0.0	0.0
micerang	0.0	7	28.57	0.0	71.43	0.0
Nils	0.0	2	100.0	0.0	0.0	0.0
nkkarpov	0	1	100.0	0.0	0.0	0.0
NotAdmitted	0.0	6	100.0	0.0	0.0	0.0
nwajfromoz	0.0	1	100.0	0.0	0.0	0.0
paips	0.0	1	0.0	0.0	100.0	0.0
Pantheia	0.0	1	0.0	0.0	100.0	0.0
Pepepe	0.0	1	100.0	0.0	0.0	0.0
Plum	0.0	4	50.0	0.0	50.0	0.0
rachyrules	0.0	5	100.0	0.0	0.0	0.0
rahsosprout	0.0	1	100.0	0.0	0.0	0.0
rake	0	1	100.0	0.0	0.0	0.0
RaKXeR	0.0	2	0.0	0.0	100.0	0.0
ruki	0.0	1	100.0	0.0	0.0	0.0
scacc8	0.0	1	0.0	100.0	0.0	0.0
sjdrodge	0	1	100.0	0.0	0.0	0.0
squirrel1988	0.0	10	50.0	0.0	50.0	0.0
StKildaFan	0.0	1	100.0	0.0	0.0	0.0
superbipbip	0.0	6	100.0	0.0	0.0	0.0
vEnhance	0.0	1	100.0	0.0	0.0	0.0
witcher	0.0	1	100.0	0.0	0.0	0.0
wump	0.0	4	75.0	0.0	25.0	0.0
xmaiton	0.0	1	100.0	0.0	0.0	0.0
XMIL	0.0	1	0.0	0.0	100.0	0.0
