Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
torp	45.0	29	75.86	0.0	24.14	0.0
scharkbite	42.86	20	65.0	0.0	35.0	0.0
rahsosprout	27.59	37	67.57	0.0	32.43	0.0
sean1815	27.27	28	96.43	0.0	3.57	0.0
griff77	25.0	25	68.0	0.0	32.0	0.0
Fey	24.49	61	55.74	3.28	40.98	0.0
louietyj	22.22	22	54.55	0.0	45.45	0.0
macanek	20.59	41	80.49	0.0	19.51	0.0
Sucubis	20.27	89	58.43	0.0	41.57	0.0
wump	20.0	54	62.96	0.0	37.04	0.0
timotree	19.23	31	45.16	0.0	54.84	0.0
Floriman	17.98	105	63.81	0.0	36.19	0.0
rachyrules	17.39	27	59.26	0.0	40.74	0.0
StKildaFan	17.02	55	89.09	0.0	5.45	5.45
kimbifille	16.67	42	50.0	0.0	50.0	0.0
knaphill	16.67	28	57.14	14.29	28.57	0.0
frosty104	15.43	202	58.91	2.97	37.62	0.5
aquarelle	15.22	53	58.49	7.55	32.08	1.89
IsabeltheCat	15.0	46	78.26	0.0	21.74	0.0
micerang	15.0	23	39.13	0.0	60.87	0.0
cockdestroyer	14.81	31	35.48	0.0	61.29	3.23
Pablo-	14.75	70	52.86	4.29	42.86	0.0
TimeHoodie	14.68	250	54.8	4.4	40.8	0.0
asaelr	14.55	63	52.38	0.0	47.62	0.0
dobi	14.54	260	40.77	2.69	56.54	0.0
swineherd	14.29	56	53.57	5.36	41.07	0.0
Hoodie	14.1	259	54.83	4.25	40.93	0.0
Kyle	14.08	81	53.09	6.17	40.74	0.0
duckless	13.79	33	45.45	3.03	51.52	0.0
4head	13.11	138	67.39	2.9	29.71	0.0
sephiroth	12.89	254	57.09	0.0	42.13	0.79
Bot-Fiora	12.82	44	43.18	2.27	54.55	0.0
Nitrate	12.66	89	20.22	0.0	74.16	5.62
kopen	12.64	98	46.94	10.2	42.86	0.0
melwen	12.63	321	37.07	2.8	59.81	0.31
kevincaseytdk1	12.61	134	37.31	0.75	52.99	8.96
CaitlinSmith	12.5	27	51.85	0.0	48.15	0.0
derekcheah	12.5	108	44.44	1.85	53.7	0.0
MangoPie	12.5	252	55.56	7.54	31.75	5.16
XMIL	12.5	45	73.33	0.0	26.67	0.0
MarkusKahlsen	12.42	181	33.7	3.31	58.01	4.97
katian	12.18	175	49.71	14.86	35.43	0.0
Spieler42	12.0	28	85.71	3.57	10.71	0.0
jack67889	11.9	94	68.09	1.06	30.85	0.0
sin_faith	11.9	141	46.81	8.51	43.97	0.71
ksfortson	11.76	38	71.05	0.0	28.95	0.0
Fireheart	10.71	31	45.16	0.0	54.84	0.0
Lanvin	10.58	627	57.42	3.19	39.23	0.16
HelanaAshryvr	10.56	157	44.59	18.47	36.94	0.0
Aluap	10.53	42	26.19	64.29	9.52	0.0
antitelharsic	10.53	21	38.1	0.0	61.9	0.0
ricardodd	10.53	21	57.14	0.0	42.86	0.0
skyblueexo	10.53	21	85.71	0.0	14.29	0.0
pianoblook	10.45	74	50.0	0.0	50.0	0.0
eliclax	10.0	33	69.7	0.0	30.3	0.0
Lel0uch	9.86	1905	30.24	1.31	57.69	10.76
TheDaniMan	9.84	815	15.83	18.04	53.37	12.76
rz	9.8	168	61.9	2.38	33.33	2.38
VerySloppyTwo	9.4	256	60.94	3.91	33.59	1.56
Onen	9.3	47	40.43	0.0	59.57	0.0
Zakisan	9.09	24	70.83	0.0	29.17	0.0
robense	8.82	74	45.95	4.05	50.0	0.0
jeff10	8.64	88	43.18	1.14	55.68	0.0
Dr_Kakashi	8.62	63	31.75	14.29	53.97	0.0
Wittvector	8.55	254	46.06	6.3	45.28	2.36
squirrel1988	8.47	64	54.69	9.38	35.94	0.0
bjnh	8.11	80	57.5	0.0	42.5	0.0
JerryYang	8.0	27	59.26	0.0	40.74	0.0
Nitrate2	7.81	69	14.49	0.0	78.26	7.25
Zamiel	7.69	42	38.1	4.76	57.14	0.0
Asddsa76	7.32	44	34.09	0.0	65.91	0.0
newduke	5.77	275	61.45	13.45	24.73	0.36
ChristopheAF	5.75	239	74.06	5.02	19.25	1.67
wortel	5.41	39	51.28	0.0	48.72	0.0
duckington	5.26	40	42.5	0.0	57.5	0.0
qqqq	5.0	63	39.68	1.59	58.73	0.0
colton	4.76	66	50.0	6.06	36.36	7.58
hakha3	4.69	67	40.3	4.48	55.22	0.0
doctorabi	4.55	23	73.91	0.0	26.09	0.0
hakha	4.41	71	38.03	4.23	57.75	0.0
catula	4.17	25	56.0	0.0	40.0	4.0
Kernel	3.7	28	78.57	0.0	21.43	0.0
boba	2.0	51	52.94	0.0	47.06	0.0
