Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
melwen	81.82	20	95.0	0.0	5.0	0.0
sephiroth	75.0	21	100.0	0.0	0.0	0.0
will.i.am	75.0	21	100.0	0.0	0.0	0.0
florrat2	60.87	37	100.0	0.0	0.0	0.0
Instantiation	55.0	31	77.42	0.0	22.58	0.0
IAMJEFF	53.85	20	70.0	0.0	30.0	0.0
awe	33.33	24	58.33	0.0	41.67	0.0
Razvogor	33.33	28	75.0	0.0	25.0	0.0
Ahming	30.3	43	53.49	0.0	46.51	0.0
Zamiel	24.49	122	68.03	0.0	31.97	0.0
Cory	23.26	53	64.15	0.0	35.85	0.0
micerang	22.92	118	66.95	3.39	29.66	0.0
RaKXeR	22.86	43	58.14	0.0	41.86	0.0
Ptheven	22.73	27	74.07	0.0	25.93	0.0
scharkbite	22.41	71	69.01	0.0	30.99	0.0
Kyle	21.43	102	74.51	1.96	23.53	0.0
Valetta6789	20.0	42	26.19	11.9	61.9	0.0
Jake_Stiles	18.75	76	61.84	0.0	38.16	0.0
asaelr	18.03	72	79.17	0.0	20.83	0.0
Livia	18.0	577	53.9	8.67	35.18	2.25
Dr_Kakashi	17.52	436	55.73	17.43	26.83	0.0
Sucubis	17.39	27	48.15	0.0	51.85	0.0
Fireheart	16.35	121	71.07	6.61	22.31	0.0
Will	15.0	23	43.48	0.0	56.52	0.0
Libster	14.63	47	57.45	0.0	42.55	0.0
DMoney	12.73	62	82.26	0.0	17.74	0.0
