Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
robense	58.82	54	81.48	0.0	18.52	0.0
asaelr	42.0	71	73.24	2.82	23.94	0.0
Pepepe	36.84	26	92.31	0.0	7.69	0.0
Pablo-	35.95	208	58.65	13.94	26.92	0.48
Carunty	35.71	57	68.42	0.0	31.58	0.0
StKildaFan	35.71	38	84.21	0.0	15.79	0.0
antitelharsic	34.0	67	53.73	31.34	14.93	0.0
Nitrate2	33.77	103	61.17	4.85	33.98	0.0
Nitrate	32.94	113	64.6	4.42	30.97	0.0
nitawa	32.8	166	56.02	3.61	40.36	0.0
TheDaniMan	30.56	47	70.21	0.0	29.79	0.0
MangoPie	30.43	30	63.33	0.0	36.67	0.0
kimbifille	29.41	22	50.0	0.0	50.0	0.0
plus	29.41	22	63.64	0.0	36.36	0.0
swineherd	27.59	37	86.49	0.0	13.51	0.0
Bonja97	27.27	28	46.43	3.57	50.0	0.0
Fey	27.27	42	61.9	0.0	35.71	2.38
wump	26.09	58	67.24	0.0	32.76	0.0
XMIL	25.45	69	34.78	0.0	65.22	0.0
doctorabi	25.4	79	41.77	16.46	41.77	0.0
Animex52	25.0	50	72.0	0.0	26.0	2.0
HelanaAshryvr	25.0	30	56.67	0.0	40.0	3.33
kevincaseytdk1	25.0	40	82.5	0.0	17.5	0.0
Lel0uch	24.3	133	45.86	9.02	43.61	1.5
methmatics	22.73	27	85.19	0.0	14.81	0.0
MarkusKahlsen	22.64	130	66.15	3.85	30.0	0.0
Sucubis	22.55	125	54.4	0.8	43.2	1.6
sephiroth	21.43	170	72.94	1.76	24.71	0.59
bjnh	21.05	23	73.91	0.0	26.09	0.0
Feich59	21.05	23	95.65	0.0	4.35	0.0
frosty104	20.69	105	42.86	12.38	44.76	0.0
Kyle	20.69	70	61.43	1.43	34.29	2.86
Wittvector	20.62	117	64.1	0.0	35.9	0.0
Floriman	20.0	54	55.56	5.56	38.89	0.0
catula	19.77	103	73.79	0.0	26.21	0.0
Lanvin	19.4	240	66.25	2.5	30.42	0.83
rachyrules	19.23	62	61.29	0.0	38.71	0.0
Zakisan	19.05	25	60.0	0.0	40.0	0.0
sin_faith	18.67	89	57.3	5.62	33.71	3.37
lotem	18.18	26	96.15	0.0	3.85	0.0
TimeHoodie	18.02	131	53.44	0.0	43.51	3.05
Hoodie	17.7	133	52.63	0.0	44.36	3.01
IsabeltheCat	17.65	20	65.0	0.0	35.0	0.0
aquarelle	17.24	34	79.41	0.0	20.59	0.0
cockdestroyer	16.44	85	61.18	2.35	36.47	0.0
timotree	16.0	29	51.72	0.0	41.38	6.9
dobi	15.79	22	27.27	0.0	72.73	0.0
hakha3	15.38	45	46.67	15.56	37.78	0.0
jeff10	15.15	38	71.05	10.53	18.42	0.0
melwen	14.61	102	67.65	0.0	29.41	2.94
newduke	13.33	51	58.82	3.92	37.25	0.0
VerySloppyTwo	12.24	55	69.09	3.64	25.45	1.82
rz	12.12	37	86.49	0.0	13.51	0.0
indego	11.76	95	67.37	1.05	30.53	1.05
Onen	10.0	22	59.09	0.0	36.36	4.55
ChristopheAF	9.46	81	80.25	1.23	18.52	0.0
Veexliat	5.0	21	47.62	4.76	47.62	0.0
ebin_noob	2.78	37	91.89	0.0	8.11	0.0
vEnhance	0.0	20	0.0	0.0	100.0	0.0
will.i.am	0.0	25	28.0	8.0	64.0	0.0
