Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Cynas	100.0	2	100.0	0.0	0.0	0.0
honobu	100.0	6	100.0	0.0	0.0	0.0
Hyphen-ated	100.0	2	100.0	0.0	0.0	0.0
Kernel	100.0	2	100.0	0.0	0.0	0.0
lolthisnotderk	100.0	2	100.0	0.0	0.0	0.0
piper	100.0	2	100.0	0.0	0.0	0.0
Slonimsky	100.0	2	100.0	0.0	0.0	0.0
susanryan45	100.0	2	100.0	0.0	0.0	0.0
Ultraling	100.0	2	100.0	0.0	0.0	0.0
frollo9386	66.67	5	100.0	0.0	0.0	0.0
JerryYang	66.67	5	80.0	0.0	20.0	0.0
sean1815	66.67	5	100.0	0.0	0.0	0.0
honzas	50.0	6	50.0	0.0	50.0	0.0
Tiramisu1th	50.0	3	100.0	0.0	0.0	0.0
kevincaseytdk1	40.91	31	41.94	16.13	41.94	0.0
Doge	40.0	7	100.0	0.0	0.0	0.0
katian	40.0	7	14.29	14.29	71.43	0.0
mattnabi	40.0	7	28.57	0.0	71.43	0.0
griff77	37.5	11	72.73	0.0	27.27	0.0
hakha3	34.38	43	58.14	4.65	37.21	0.0
Bot-Fiora	33.33	8	75.0	12.5	12.5	0.0
macanek	33.33	12	66.67	8.33	25.0	0.0
rkass	33.33	20	50.0	10.0	40.0	0.0
shootinglucky	33.33	4	75.0	0.0	25.0	0.0
Floriman	31.37	67	92.54	0.0	7.46	0.0
Nitrate2	31.25	21	90.48	0.0	9.52	0.0
robense	30.56	47	55.32	0.0	44.68	0.0
joelwool	30.0	13	92.31	0.0	7.69	0.0
kimbifille	30.0	13	76.92	0.0	23.08	0.0
Nitrate	30.0	26	84.62	0.0	15.38	0.0
swineherd	29.41	44	65.91	4.55	29.55	0.0
TheDaniMan	28.95	49	65.31	0.0	34.69	0.0
knaphill	28.57	9	77.78	0.0	22.22	0.0
nitawa	28.57	9	88.89	0.0	11.11	0.0
