Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
derekcheah	33.33	24	66.67	0.0	33.33	0.0
MangoPie	31.25	21	66.67	0.0	33.33	0.0
macanek	26.23	77	71.43	0.0	28.57	0.0
TimeHoodie	26.09	29	68.97	0.0	31.03	0.0
Sucubis	25.0	25	72.0	0.0	28.0	0.0
iamfelix	21.92	89	82.02	1.12	16.85	0.0
dobi	21.05	23	60.87	0.0	39.13	0.0
Pablo-	20.0	24	70.83	0.0	29.17	0.0
ricardodd	20.0	24	54.17	0.0	45.83	0.0
Lel0uch	19.34	253	67.98	3.95	28.06	0.0
frosty104	19.13	137	65.69	7.3	27.01	0.0
qqqq	17.65	20	50.0	0.0	50.0	0.0
Lanvin	16.98	62	59.68	0.0	40.32	0.0
Fey	16.28	50	64.0	0.0	34.0	2.0
StKildaFan	16.22	43	32.56	0.0	65.12	2.33
IAMJEFF	15.79	22	86.36	0.0	13.64	0.0
melwen	15.38	30	60.0	0.0	40.0	0.0
doctorabi	15.15	38	39.47	0.0	60.53	0.0
skyblueexo	14.98	376	80.32	2.66	17.02	0.0
VerySloppyTwo	14.29	24	50.0	12.5	37.5	0.0
indego	13.56	201	52.74	11.94	35.32	0.0
Aluap	12.0	28	10.71	89.29	0.0	0.0
Krepps57	11.59	154	91.56	0.0	8.44	0.0
sephiroth	10.42	53	52.83	0.0	47.17	0.0
boba	10.0	22	86.36	0.0	13.64	0.0
HelanaAshryvr	9.68	34	82.35	0.0	17.65	0.0
sin_faith	9.52	46	58.7	2.17	39.13	0.0
Wittvector	8.47	64	40.62	0.0	57.81	1.56
ktn_bot	0.0	35	100.0	0.0	0.0	0.0
