Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
MarcLovesDogs	150.0	5	100.0	0.0	0.0	0.0
bulbasaur	116.67	13	100.0	0.0	0.0	0.0
bob65536	100.0	2	100.0	0.0	0.0	0.0
FerKeth	100.0	4	25.0	0.0	75.0	0.0
florrat2	100.0	4	100.0	0.0	0.0	0.0
knaphill	100.0	2	100.0	0.0	0.0	0.0
Libster	100.0	6	100.0	0.0	0.0	0.0
sin_nofaith	100.0	2	100.0	0.0	0.0	0.0
voss	100.0	2	50.0	0.0	50.0	0.0
colton	66.67	5	100.0	0.0	0.0	0.0
fishcat	66.67	10	50.0	0.0	50.0	0.0
hailey	66.67	5	100.0	0.0	0.0	0.0
MangoPie	66.67	15	93.33	0.0	6.67	0.0
moeski	66.67	5	100.0	0.0	0.0	0.0
charmander	55.56	28	89.29	0.0	10.71	0.0
aquarelle	50.0	24	70.83	0.0	29.17	0.0
ejwu	50.0	3	66.67	0.0	33.33	0.0
frosty104	50.0	21	42.86	0.0	47.62	9.52
fuckthiswebsite	50.0	3	66.67	0.0	33.33	0.0
ReaverSe	50.0	3	100.0	0.0	0.0	0.0
sheamol	50.0	3	100.0	0.0	0.0	0.0
Pablo-	46.67	22	63.64	0.0	36.36	0.0
Valetta6789	43.27	245	68.98	1.22	25.71	4.08
Andrew_UK	40.0	7	100.0	0.0	0.0	0.0
ebin_noob	40.0	7	100.0	0.0	0.0	0.0
ADrone	39.81	151	59.6	7.95	32.45	0.0
sjdrodge	38.71	86	50.0	12.79	37.21	0.0
jack67889	35.29	23	52.17	0.0	47.83	0.0
piper	34.67	975	49.03	7.38	28.72	14.87
ChristopheAF	33.33	8	75.0	0.0	25.0	0.0
doctorabi	33.33	20	75.0	0.0	25.0	0.0
paulcd2000	33.33	4	75.0	0.0	25.0	0.0
qqqq	33.33	4	50.0	0.0	50.0	0.0
VerySloppyTwo	33.33	4	100.0	0.0	0.0	0.0
wortel	33.33	4	100.0	0.0	0.0	0.0
asaelr	32.79	81	50.62	0.0	46.91	2.47
hakha3	32.46	151	54.3	13.25	32.45	0.0
jeff10	30.0	13	76.92	0.0	23.08	0.0
rkass	29.63	35	34.29	0.0	65.71	0.0
Nitrate2	27.5	51	76.47	5.88	17.65	0.0
pianoblook	27.4	981	42.1	7.54	32.82	17.53
IAMJEFF	26.67	418	72.73	1.44	19.14	6.7
lotem	25.81	39	82.05	0.0	12.82	5.13
Onen	25.0	10	60.0	0.0	40.0	0.0
