Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
eagles	300.0	4	100.0	0.0	0.0	0.0
Sucubis	166.67	8	87.5	0.0	12.5	0.0
aladdin3	133.33	7	100.0	0.0	0.0	0.0
DoubleDown11	120.0	11	100.0	0.0	0.0	0.0
invarse	100.0	4	100.0	0.0	0.0	0.0
kinkajusrevenge	100.0	2	100.0	0.0	0.0	0.0
kopen2	100.0	4	100.0	0.0	0.0	0.0
padi	100.0	4	75.0	0.0	25.0	0.0
sjdrodge	76.92	23	52.17	4.35	43.48	0.0
knaphill	75.0	7	100.0	0.0	0.0	0.0
riking	75.0	7	100.0	0.0	0.0	0.0
torp	60.0	8	100.0	0.0	0.0	0.0
BraydonM	50.0	3	33.33	0.0	66.67	0.0
DarthGandalf	50.0	3	100.0	0.0	0.0	0.0
Daryl	50.0	3	100.0	0.0	0.0	0.0
dobi	50.0	12	66.67	16.67	16.67	0.0
methmatics	50.0	3	100.0	0.0	0.0	0.0
xor	50.0	3	100.0	0.0	0.0	0.0
NoMercy	46.67	22	81.82	0.0	18.18	0.0
Feer	45.16	45	55.56	0.0	44.44	0.0
OrangeMagma	40.0	7	100.0	0.0	0.0	0.0
Romain672	37.93	80	72.5	0.0	27.5	0.0
micerang	37.43	246	60.57	0.81	38.62	0.0
TimeHoodie	36.36	15	53.33	0.0	46.67	0.0
Gazrovor	33.33	4	75.0	0.0	25.0	0.0
iforgotmypass	33.33	12	100.0	0.0	0.0	0.0
nmego	33.33	4	0.0	0.0	100.0	0.0
otterful	33.33	4	100.0	0.0	0.0	0.0
Syrah	33.33	4	75.0	0.0	25.0	0.0
wump	33.33	12	33.33	0.0	66.67	0.0
Livia	32.26	82	69.51	0.0	30.49	0.0
nkkarpov	30.0	13	76.92	0.0	23.08	0.0
schroedz	28.0	32	100.0	0.0	0.0	0.0
4head	25.0	10	30.0	0.0	70.0	0.0
griff77	25.0	20	50.0	10.0	40.0	0.0
honzas	25.0	15	93.33	0.0	6.67	0.0
Hyakinthus	25.0	10	80.0	0.0	20.0	0.0
JeffD	25.0	5	80.0	0.0	20.0	0.0
Onen	25.0	5	40.0	0.0	60.0	0.0
possum	25.0	5	100.0	0.0	0.0	0.0
smatoff	23.91	57	100.0	0.0	0.0	0.0
Lanvin	23.53	42	45.24	0.0	54.76	0.0
messinator	23.53	21	100.0	0.0	0.0	0.0
bjnh	23.08	16	31.25	0.0	68.75	0.0
efaust	22.22	11	27.27	0.0	72.73	0.0
jeep	22.22	33	78.79	0.0	21.21	0.0
VerySloppyTwo	21.43	17	35.29	0.0	64.71	0.0
scharkbite	21.09	178	51.69	1.69	46.63	0.0
duckmammal	20.0	6	33.33	0.0	66.67	0.0
eliclax	20.0	12	91.67	0.0	8.33	0.0
ksfortson	20.0	12	83.33	0.0	16.67	0.0
MarkusKahlsen	20.0	12	41.67	16.67	41.67	0.0
rz	20.0	24	37.5	0.0	62.5	0.0
Spieler42	20.0	12	50.0	0.0	50.0	0.0
swineherd	20.0	12	50.0	0.0	50.0	0.0
Wittvector	19.05	25	32.0	16.0	52.0	0.0
Fireheart	18.87	315	51.43	8.25	39.05	1.27
Libster	18.75	38	65.79	0.0	34.21	0.0
florrat2	18.52	32	46.88	6.25	46.88	0.0
asaelr	17.86	99	44.44	6.06	49.49	0.0
Zamiel	17.62	247	62.75	8.5	28.74	0.0
Kyle	17.42	155	67.74	0.0	32.26	0.0
Dr_Kakashi	17.27	292	72.26	6.16	20.21	1.37
kodomazer	17.19	75	90.67	0.0	9.33	0.0
DMoney	17.14	82	58.54	8.54	32.93	0.0
corys	16.67	7	100.0	0.0	0.0	0.0
Valetta6789	16.67	154	70.78	2.6	26.62	0.0
vEnhance	16.67	7	0.0	0.0	100.0	0.0
IAMJEFF	16.46	191	55.5	8.9	35.6	0.0
Razvogor	16.36	64	90.62	0.0	9.38	0.0
Jake_Stiles	15.62	37	35.14	13.51	51.35	0.0
Lel0uch	14.49	79	35.44	0.0	64.56	0.0
hanabornoob	14.29	8	62.5	0.0	37.5	0.0
Instantiation	14.29	8	100.0	0.0	0.0	0.0
MangoPie	14.29	24	50.0	0.0	50.0	0.0
Floriman	13.39	127	70.87	0.0	27.56	1.57
StKildaFan	13.04	26	88.46	0.0	11.54	0.0
indego	12.5	108	50.93	9.26	39.81	0.0
