Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
GoodMorningJay	100.0	20	100.0	0.0	0.0	0.0
MarcLovesDogs	50.0	117	90.6	0.0	9.4	0.0
ejwu	47.06	25	88.0	0.0	12.0	0.0
kevincaseytdk1	42.86	20	65.0	0.0	35.0	0.0
orucsoraihc	37.84	51	94.12	0.0	5.88	0.0
possum	34.15	55	69.09	3.64	27.27	0.0
timotree	33.77	103	89.32	1.94	8.74	0.0
frosty104	32.43	49	63.27	0.0	36.73	0.0
StKildaFan	26.67	57	84.21	0.0	15.79	0.0
torp	26.21	130	81.54	0.0	18.46	0.0
wump	23.93	435	85.98	0.69	13.33	0.0
Jtjg	23.81	26	100.0	0.0	0.0	0.0
jack_0f_hearts	23.53	21	90.48	0.0	9.52	0.0
nkkarpov	23.29	90	70.0	0.0	28.89	1.11
Lel0uch	22.73	27	66.67	0.0	33.33	0.0
XMIL	21.21	40	100.0	0.0	0.0	0.0
Jake_Stiles	20.0	30	80.0	0.0	20.0	0.0
duckmedic	19.66	140	94.29	0.0	5.71	0.0
doctorabi	19.61	61	73.77	0.0	26.23	0.0
Lanvin	19.05	50	72.0	0.0	28.0	0.0
Bot-Fiora	18.97	69	53.62	24.64	20.29	1.45
otterful	18.75	38	86.84	0.0	13.16	0.0
JackFrost	18.18	182	92.31	0.0	7.69	0.0
louietyj	17.78	53	60.38	13.21	26.42	0.0
rz	17.71	113	91.15	0.0	8.85	0.0
Onen	17.54	67	74.63	0.0	25.37	0.0
bjnh	16.67	56	73.21	3.57	23.21	0.0
lolthisnotderk	16.22	43	81.4	0.0	18.6	0.0
griff77	15.65	133	60.9	9.77	28.57	0.75
eljavi	15.12	99	74.75	0.0	25.25	0.0
Denchulitas	15.0	23	82.61	0.0	17.39	0.0
Carunty	13.33	136	88.24	0.0	11.76	0.0
4head	12.5	63	63.49	0.0	36.51	0.0
kinkajusrevenge	11.11	20	90.0	10.0	0.0	0.0
IsabeltheCat	9.43	58	62.07	0.0	37.93	0.0
indego	8.77	62	79.03	0.0	20.97	0.0
rahsosprout	6.9	62	61.29	4.84	33.87	0.0
newduke	6.25	51	68.63	1.96	29.41	0.0
