Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
rkass	45.45	64	57.81	0.0	42.19	0.0
Fey	42.86	90	66.67	0.0	33.33	0.0
Smandon	34.48	39	69.23	0.0	30.77	0.0
MarkusKahlsen	33.57	187	50.27	17.65	32.09	0.0
postmans	32.14	37	64.86	10.81	24.32	0.0
kevincaseytdk1	29.73	48	33.33	2.08	64.58	0.0
Pablo-	28.06	178	78.09	0.0	21.91	0.0
avanderwalde	26.85	189	51.32	8.99	39.68	0.0
padi	26.09	87	80.46	2.3	17.24	0.0
lotem	25.93	34	88.24	8.82	2.94	0.0
ChristopheAF	25.77	122	84.43	0.0	15.57	0.0
micerang	25.58	54	77.78	1.85	20.37	0.0
asaelr	25.49	128	53.91	0.0	45.31	0.78
qqqq	25.0	20	40.0	0.0	60.0	0.0
Nitrate	24.62	405	72.59	1.48	25.68	0.25
hakha3	24.56	71	40.85	5.63	53.52	0.0
Ntalakas	24.55	1101	48.59	0.54	43.42	7.45
Nitrate2	24.36	388	73.71	1.55	24.48	0.26
Takis	24.28	1085	48.94	0.55	42.95	7.56
ntinta	24.07	964	46.06	0.62	44.81	8.51
Puzzle	24.0	31	77.42	0.0	22.58	0.0
Fireheart	23.81	26	76.92	11.54	11.54	0.0
robense	23.64	68	66.18	2.94	30.88	0.0
doctorabi	23.53	63	44.44	0.0	55.56	0.0
Floriman	23.08	80	45.0	7.5	45.0	2.5
frosty104	22.73	81	51.85	0.0	46.91	1.23
Animex52	22.22	33	63.64	9.09	27.27	0.0
antitelharsic	22.22	22	63.64	0.0	36.36	0.0
rachyrules	21.43	34	58.82	0.0	41.18	0.0
bjnh	20.83	58	34.48	0.0	65.52	0.0
TheDaniMan	20.69	280	66.07	3.21	30.0	0.71
Bonja97	20.49	147	59.86	1.36	38.78	0.0
Onen	20.0	42	54.76	0.0	45.24	0.0
joelwool	19.84	151	81.46	0.0	18.54	0.0
dobi	19.81	127	33.07	1.57	63.78	1.57
Lel0uch	19.81	774	39.53	5.04	55.17	0.26
Hoodie	19.5	711	58.79	3.23	37.97	0.0
TimeHoodie	19.35	703	58.89	2.7	38.41	0.0
eliclax	19.05	25	24.0	0.0	72.0	4.0
ricardodd	19.05	25	64.0	0.0	36.0	0.0
ADrone	18.75	38	55.26	0.0	44.74	0.0
DMoney	18.62	223	54.26	2.69	43.05	0.0
Carunty	17.95	46	60.87	0.0	39.13	0.0
nkkarpov	17.65	20	55.0	0.0	45.0	0.0
Sucubis	17.54	67	59.7	0.0	40.3	0.0
StKildaFan	17.39	27	70.37	0.0	29.63	0.0
jeff10	17.24	136	62.5	0.74	36.76	0.0
MangoPie	16.51	127	55.12	3.15	41.73	0.0
piper	16.39	71	57.75	0.0	42.25	0.0
scharkbite	16.21	925	66.16	1.73	31.89	0.22
pianoblook	16.08	231	61.47	4.76	32.9	0.87
rz	16.0	116	53.45	5.17	41.38	0.0
plus	15.82	227	73.13	3.96	22.91	0.0
derekcheah	15.81	359	54.87	3.34	41.23	0.56
Kyle	15.76	404	54.46	5.94	38.61	0.99
kimbifille	15.5	149	48.99	8.72	42.28	0.0
swineherd	15.43	217	65.9	7.83	26.27	0.0
katian	15.38	30	60.0	0.0	40.0	0.0
HelanaAshryvr	14.93	231	45.02	2.6	51.95	0.43
jack67889	14.61	102	67.65	0.0	29.41	2.94
Dr_Kakashi	14.55	63	57.14	3.17	36.51	3.17
Wittvector	14.02	122	47.54	0.0	52.46	0.0
sin_faith	13.75	91	56.04	6.59	37.36	0.0
sephiroth	13.71	539	72.17	3.71	23.93	0.19
Fedorov	12.84	167	82.63	0.0	17.37	0.0
timotree	12.66	178	60.11	7.87	31.46	0.56
honzas	12.5	27	44.44	11.11	44.44	0.0
Lanvin	12.5	504	49.4	2.18	47.62	0.79
Zamiel	12.43	199	55.28	12.56	32.16	0.0
4head	12.12	37	70.27	0.0	29.73	0.0
colton	12.0	28	53.57	0.0	46.43	0.0
indego	11.72	305	36.39	2.95	60.33	0.33
Anax	11.54	29	93.1	0.0	6.9	0.0
squirrel1988	10.53	189	36.51	0.0	63.49	0.0
VerySloppyTwo	10.14	76	55.26	0.0	44.74	0.0
IsabeltheCat	10.0	33	72.73	0.0	27.27	0.0
orucsoraihc	9.76	45	46.67	0.0	53.33	0.0
qbphoenix	9.23	71	56.34	5.63	38.03	0.0
Div	9.09	36	63.89	0.0	36.11	0.0
emilyzhao	9.09	24	50.0	0.0	50.0	0.0
Zakisan	8.75	87	58.62	1.15	40.23	0.0
Bot-Fiora	8.7	25	72.0	0.0	28.0	0.0
XMIL	8.25	105	57.14	5.71	37.14	0.0
kooolant	8.16	53	60.38	5.66	33.96	0.0
cockdestroyer	8.0	54	48.15	1.85	50.0	0.0
soulampoula	8.0	27	92.59	0.0	7.41	0.0
wump	8.0	27	14.81	3.7	81.48	0.0
will.i.am	7.85	426	65.26	6.1	27.7	0.94
3nvy	7.69	70	87.14	0.0	12.86	0.0
newduke	7.2	253	61.66	3.95	34.39	0.0
kopen	6.9	62	19.35	0.0	80.65	0.0
Lilliana	5.71	37	78.38	0.0	21.62	0.0
geor1983	5.56	57	78.95	0.0	21.05	0.0
Tiramisu1th	5.26	20	80.0	0.0	20.0	0.0
catula	3.57	29	72.41	0.0	27.59	0.0
vEnhance	0.0	33	54.55	0.0	45.45	0.0
