Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
ChristopheAF	300.0	4	100.0	0.0	0.0	0.0
ebin_noob	200.0	3	100.0	0.0	0.0	0.0
blin00	100.0	2	100.0	0.0	0.0	0.0
duckmedic	100.0	2	100.0	0.0	0.0	0.0
griff77	100.0	2	100.0	0.0	0.0	0.0
HorribleMoose	100.0	2	100.0	0.0	0.0	0.0
macanek	100.0	2	100.0	0.0	0.0	0.0
possum	100.0	2	100.0	0.0	0.0	0.0
wump	100.0	2	100.0	0.0	0.0	0.0
frosty104	87.5	15	100.0	0.0	0.0	0.0
sin_faith	60.0	8	87.5	0.0	12.5	0.0
StKildaFan	54.55	17	100.0	0.0	0.0	0.0
8223monocles	50.0	3	100.0	0.0	0.0	0.0
barnheartowl	50.0	3	100.0	0.0	0.0	0.0
BraydonM	50.0	3	100.0	0.0	0.0	0.0
Carunty	50.0	15	80.0	6.67	13.33	0.0
crazycoder64	50.0	3	100.0	0.0	0.0	0.0
Div	50.0	3	100.0	0.0	0.0	0.0
frank57	50.0	3	100.0	0.0	0.0	0.0
honobu	50.0	3	100.0	0.0	0.0	0.0
kinkajusrevenge	50.0	3	100.0	0.0	0.0	0.0
kopen	50.0	3	100.0	0.0	0.0	0.0
MangoPie	50.0	3	100.0	0.0	0.0	0.0
meclifton	50.0	6	100.0	0.0	0.0	0.0
mlshea	50.0	3	100.0	0.0	0.0	0.0
my_new_fakeNAME	50.0	3	100.0	0.0	0.0	0.0
nimarezaeian	42.86	10	100.0	0.0	0.0	0.0
Wittvector	42.86	10	40.0	0.0	60.0	0.0
asdfjeffrey	38.46	18	88.89	0.0	11.11	0.0
katian	38.46	18	72.22	0.0	27.78	0.0
spbsuitmo	35.48	84	92.86	0.0	7.14	0.0
cockdestroyer	35.0	54	62.96	0.0	33.33	3.7
BarneyRubble	33.33	4	100.0	0.0	0.0	0.0
Chethaaan	33.33	4	100.0	0.0	0.0	0.0
derekcheah	33.33	4	75.0	0.0	25.0	0.0
orucsoraihc	33.33	20	90.0	0.0	10.0	0.0
rachyrules	33.33	4	100.0	0.0	0.0	0.0
robense	33.33	8	87.5	0.0	12.5	0.0
swineherd	33.33	4	50.0	0.0	50.0	0.0
torp	33.33	4	100.0	0.0	0.0	0.0
penisman	30.0	26	84.62	0.0	15.38	0.0
Lel0uch	29.41	44	75.0	0.0	22.73	2.27
jack67889	29.17	31	87.1	0.0	12.9	0.0
kristylee	29.17	31	90.32	0.0	9.68	0.0
Morganlgd	27.03	47	87.23	6.38	6.38	0.0
DiscardiB	25.0	5	100.0	0.0	0.0	0.0
DrJones	25.0	5	100.0	0.0	0.0	0.0
kodomazer	25.0	5	60.0	0.0	40.0	0.0
reuzed	25.0	45	80.0	11.11	8.89	0.0
ricardodd	25.0	5	100.0	0.0	0.0	0.0
srip	25.0	5	80.0	0.0	20.0	0.0
Animex52	24.56	71	80.28	2.82	14.08	2.82
imkSushi	23.81	26	92.31	7.69	0.0	0.0
Pablo-	23.81	26	80.77	0.0	15.38	3.85
Smith	23.08	16	93.75	6.25	0.0	0.0
HelanaAshryvr	22.22	11	100.0	0.0	0.0	0.0
Nitrate	20.83	29	48.28	0.0	51.72	0.0
nitawa	20.45	53	64.15	3.77	32.08	0.0
exfret	20.0	6	100.0	0.0	0.0	0.0
indego	20.0	12	83.33	0.0	16.67	0.0
VerySloppyTwo	20.0	6	83.33	0.0	16.67	0.0
jamesleng	19.61	61	95.08	0.0	4.92	0.0
Dwu123	18.85	145	99.31	0.0	0.69	0.0
jeffreyasdf	18.18	13	100.0	0.0	0.0	0.0
sephiroth	17.86	33	78.79	3.03	15.15	3.03
Draconica_	17.65	20	65.0	0.0	35.0	0.0
jamesleng100	17.14	41	92.68	0.0	7.32	0.0
4head	16.67	7	100.0	0.0	0.0	0.0
eljavi	16.67	7	71.43	0.0	28.57	0.0
Fey	16.67	7	85.71	0.0	14.29	0.0
louietyj	16.67	7	100.0	0.0	0.0	0.0
newduke	16.67	7	100.0	0.0	0.0	0.0
IsabeltheCat	16.0	116	94.83	0.0	5.17	0.0
xxchipxx	15.15	38	81.58	0.0	18.42	0.0
emmaparsnip	14.29	8	100.0	0.0	0.0	0.0
room456	14.14	226	96.46	0.0	3.54	0.0
dwu	14.06	73	95.89	0.0	4.11	0.0
aquarelle	13.64	25	92.0	0.0	8.0	0.0
XMIL	13.51	42	78.57	0.0	21.43	0.0
dwu3	12.96	61	98.36	0.0	1.64	0.0
aagarwal_601	12.5	27	100.0	0.0	0.0	0.0
boba	12.5	27	70.37	0.0	25.93	3.7
Nitrate2	12.5	27	44.44	0.0	55.56	0.0
st1ngr3y	12.5	18	72.22	5.56	22.22	0.0
catula	11.76	57	73.68	0.0	26.32	0.0
Stinkydude63	11.43	39	89.74	5.13	5.13	0.0
JYOKOTA	11.36	147	95.92	0.0	4.08	0.0
doctorabi	11.11	10	80.0	0.0	20.0	0.0
antitelharsic	10.81	41	92.68	0.0	7.32	0.0
annoyingpi	8.33	91	94.51	0.0	5.49	0.0
asaelr	7.69	14	64.29	0.0	35.71	0.0
BMTSOCIAL	7.69	14	100.0	0.0	0.0	0.0
Lanvin	7.69	14	100.0	0.0	0.0	0.0
Sucubis	6.38	50	54.0	0.0	44.0	2.0
whalesgomoo	5.88	18	100.0	0.0	0.0	0.0
ejwu	5.0	21	95.24	0.0	4.76	0.0
lidfeel	3.23	32	100.0	0.0	0.0	0.0
Abigail	0.0	1	100.0	0.0	0.0	0.0
acorns	0.0	1	100.0	0.0	0.0	0.0
acorso	0.0	1	100.0	0.0	0.0	0.0
ada.yukie	0.0	2	100.0	0.0	0.0	0.0
adeli	0.0	2	100.0	0.0	0.0	0.0
Ahming	0.0	2	100.0	0.0	0.0	0.0
Alex319	0.0	2	100.0	0.0	0.0	0.0
almonds	0.0	1	100.0	0.0	0.0	0.0
andre_smaira	0.0	1	100.0	0.0	0.0	0.0
andrew314	0.0	2	100.0	0.0	0.0	0.0
AshleyBridge	0	1	100.0	0.0	0.0	0.0
atmchallenge	0.0	3	100.0	0.0	0.0	0.0
avanderwalde	0.0	3	33.33	0.0	66.67	0.0
belly	0.0	1	100.0	0.0	0.0	0.0
bmt2	0.0	2	100.0	0.0	0.0	0.0
Bonja97	0.0	2	100.0	0.0	0.0	0.0
bowtiebirdo	0.0	3	100.0	0.0	0.0	0.0
cab16021	0.0	4	100.0	0.0	0.0	0.0
cam	0.0	1	100.0	0.0	0.0	0.0
cdmcfarland	0.0	1	0.0	0.0	100.0	0.0
cgw	0.0	1	100.0	0.0	0.0	0.0
charitycheng	0.0	1	100.0	0.0	0.0	0.0
charmander	0	2	100.0	0.0	0.0	0.0
Cold	0.0	1	0.0	0.0	100.0	0.0
colton	0.0	1	100.0	0.0	0.0	0.0
cute_girl	0.0	4	100.0	0.0	0.0	0.0
Daryl	0.0	1	100.0	0.0	0.0	0.0
Denchulitas	0.0	1	100.0	0.0	0.0	0.0
dobi	0.0	1	0.0	0.0	100.0	0.0
eevee	0	1	100.0	0.0	0.0	0.0
EKMGaem	0.0	1	100.0	0.0	0.0	0.0
emilyzhao	0.0	1	100.0	0.0	0.0	0.0
emmafifi	0.0	1	100.0	0.0	0.0	0.0
erialC	0.0	2	100.0	0.0	0.0	0.0
Etherealz	0.0	3	66.67	0.0	33.33	0.0
eunicesukarto	0.0	2	100.0	0.0	0.0	0.0
evatseng	0.0	1	100.0	0.0	0.0	0.0
Feich59	0.0	1	100.0	0.0	0.0	0.0
FerKeth	0.0	4	100.0	0.0	0.0	0.0
filthycovid	0.0	6	100.0	0.0	0.0	0.0
Gamma_nife	0.0	7	100.0	0.0	0.0	0.0
GemmyBean	0.0	1	100.0	0.0	0.0	0.0
iloveappi	0.0	9	11.11	0.0	88.89	0.0
imu_96	0.0	1	100.0	0.0	0.0	0.0
indegoo	0.0	1	100.0	0.0	0.0	0.0
jack_0f_hearts	0	1	100.0	0.0	0.0	0.0
JamesG555	0.0	6	100.0	0.0	0.0	0.0
Jar-Of-Smegma	0	1	100.0	0.0	0.0	0.0
jb2221	0.0	2	100.0	0.0	0.0	0.0
jeff10	0.0	4	100.0	0.0	0.0	0.0
JerryYang	0.0	1	0.0	0.0	100.0	0.0
joelwool	0.0	1	100.0	0.0	0.0	0.0
joycheng	0.0	2	100.0	0.0	0.0	0.0
Jtjg	0	2	100.0	0.0	0.0	0.0
kalinrooney11	0.0	2	100.0	0.0	0.0	0.0
keeganhess	0.0	1	100.0	0.0	0.0	0.0
KelsJo	0.0	2	100.0	0.0	0.0	0.0
Kernel	0.0	1	100.0	0.0	0.0	0.0
ksfortson	0.0	1	100.0	0.0	0.0	0.0
Kyle	0.0	4	50.0	0.0	50.0	0.0
LamboXD	0.0	2	100.0	0.0	0.0	0.0
lanxeny	0.0	2	100.0	0.0	0.0	0.0
level_0	0	1	100.0	0.0	0.0	0.0
level_17	0	2	100.0	0.0	0.0	0.0
lil_baootey	0.0	1	100.0	0.0	0.0	0.0
Littleinvad	0.0	4	100.0	0.0	0.0	0.0
macadamia	0.0	1	100.0	0.0	0.0	0.0
MarkusKahlsen	0	3	100.0	0.0	0.0	0.0
masonery123	0.0	2	100.0	0.0	0.0	0.0
mathlobster	0.0	5	100.0	0.0	0.0	0.0
mees	0.0	4	100.0	0.0	0.0	0.0
mehdi_safi	0.0	1	100.0	0.0	0.0	0.0
melwen	0.0	19	47.37	0.0	52.63	0.0
mestrepoke	0.0	2	100.0	0.0	0.0	0.0
missyalyssi	0.0	1	0.0	0.0	100.0	0.0
moeski	0.0	2	0.0	0.0	100.0	0.0
MrPenutbutter	0.0	1	0.0	0.0	100.0	0.0
narabio	0.0	1	100.0	0.0	0.0	0.0
nukelauncher	0.0	1	100.0	0.0	0.0	0.0
omfret	0.0	1	100.0	0.0	0.0	0.0
padi	0.0	3	100.0	0.0	0.0	0.0
Pandaryn	0.0	1	100.0	0.0	0.0	0.0
papol	0.0	1	100.0	0.0	0.0	0.0
parrotdoxair	0.0	4	75.0	0.0	25.0	0.0
peanut	0.0	1	100.0	0.0	0.0	0.0
pianoblook	0.0	4	75.0	0.0	25.0	0.0
Plum	0.0	5	80.0	0.0	20.0	0.0
ramya09	0.0	2	100.0	0.0	0.0	0.0
ratnam	0.0	1	100.0	0.0	0.0	0.0
reyna	0.0	1	100.0	0.0	0.0	0.0
rkass	0.0	1	100.0	0.0	0.0	0.0
RockmanEX3	0.0	3	100.0	0.0	0.0	0.0
Rubix	0.0	2	100.0	0.0	0.0	0.0
sandwichman	0.0	1	100.0	0.0	0.0	0.0
sbane	0.0	1	100.0	0.0	0.0	0.0
serene	0.0	2	100.0	0.0	0.0	0.0
shh	0.0	6	33.33	0.0	66.67	0.0
shilpishah	0.0	5	100.0	0.0	0.0	0.0
shreyakannan	0.0	8	100.0	0.0	0.0	0.0
skyblueexo	0.0	3	100.0	0.0	0.0	0.0
smeg_sock	0.0	6	100.0	0.0	0.0	0.0
snehasridhar	0.0	3	100.0	0.0	0.0	0.0
sohum	0.0	8	100.0	0.0	0.0	0.0
Spade37	0.0	1	100.0	0.0	0.0	0.0
squashhime	0.0	1	100.0	0.0	0.0	0.0
squirtle	0	1	100.0	0.0	0.0	0.0
st3v	0.0	1	100.0	0.0	0.0	0.0
tallestben	0.0	4	100.0	0.0	0.0	0.0
TimeHoodie	0.0	5	40.0	0.0	60.0	0.0
timotree	0.0	4	75.0	0.0	25.0	0.0
Tiramisu1th	0.0	1	100.0	0.0	0.0	0.0
trickedya	0.0	3	33.33	0.0	66.67	0.0
tumblestick	0.0	9	100.0	0.0	0.0	0.0
UnableTugBoat	0.0	3	100.0	0.0	0.0	0.0
Veexliat	0	1	100.0	0.0	0.0	0.0
vEnhance	0.0	4	100.0	0.0	0.0	0.0
west_world	0.0	1	0.0	0.0	100.0	0.0
Wigglepus	0.0	1	100.0	0.0	0.0	0.0
wikkiden	0.0	1	100.0	0.0	0.0	0.0
YeetusDeletus	0.0	6	100.0	0.0	0.0	0.0
zeinab001	0.0	1	100.0	0.0	0.0	0.0
