Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Darth_Calculus	116.67	26	11.54	0.0	11.54	0.0
jmrtz	63.2	204	40.2	5.39	18.63	7.35
eevee	53.33	23	69.57	0.0	0.0	0.0
CptAggro	52.17	35	17.14	0.0	0.0	0.0
Fey	50.0	27	66.67	0.0	22.22	0.0
paulcd2000	46.92	191	61.26	0.0	4.71	0.0
Shos	44.44	26	61.54	0.0	3.85	0.0
Yuga Suggah	42.86	20	70.0	0.0	5.0	0.0
awe	41.03	55	36.36	0.0	14.55	0.0
Valetta6789	40.34	167	58.08	0.0	34.13	0.0
wortel	39.02	57	63.16	0.0	7.02	0.0
efaust	38.92	514	63.81	0.0	5.25	0.0
open	38.33	249	50.2	0.8	33.33	0.0
wjomlex	38.3	65	40.0	0.0	16.92	0.0
Maiorskills	37.84	51	70.59	0.0	3.92	0.0
derekcheah	37.5	44	52.27	0.0	43.18	0.0
kopen	37.43	246	50.0	0.81	33.33	0.0
fuckthiswebsite	36.84	104	61.54	0.0	6.73	0.0
Feer	36.05	117	60.68	0.0	12.82	0.0
ADrone	35.29	23	43.48	0.0	30.43	0.0
newduke	35.0	27	70.37	0.0	25.93	0.0
sjdrodge	34.94	448	64.73	0.22	5.8	0.0
Hunter	34.29	47	53.19	0.0	4.26	0.0
MasN	33.73	111	43.24	0.0	9.91	0.0
TheDaniMan	33.33	20	40.0	0.0	50.0	0.0
kemurphy	32.73	146	60.96	0.0	4.11	0.0
Nitrate	32.35	45	40.0	4.44	22.22	0.0
asaelr	32.17	456	38.38	1.97	21.71	0.66
honzas	31.82	58	48.28	0.0	20.69	0.0
Sucubis	31.82	174	55.17	0.0	26.44	0.0
Yaike	31.71	54	38.89	0.0	16.67	27.78
Floriman	30.97	203	56.65	0.49	25.62	0.0
darkenblade986	30.0	26	46.15	0.0	0.0	0.0
GГ¶ttertГ¶ter	29.41	22	18.18	0.0	0.0	0.0
kodomazer	28.85	67	43.28	0.0	7.46	0.0
qqqq	28.81	76	39.47	5.26	30.26	1.32
kondain	28.0	64	28.12	0.0	1.56	0.0
melwen	27.91	55	76.36	1.82	20.0	0.0
scharkbite	27.61	550	47.09	5.45	25.27	0.0
Livia	27.0	127	48.82	0.79	18.9	1.57
Andrew_UK	26.92	33	15.15	0.0	3.03	0.0
Romain672	26.77	161	64.6	0.62	11.8	0.62
Dr_Kakashi	26.09	720	51.11	1.94	23.89	1.39
Kakashi	25.96	723	50.9	1.94	23.79	1.38
Jake_Stiles	25.68	367	48.23	2.18	21.25	1.91
DoubleDown11	25.0	95	37.89	0.0	26.32	0.0
lenv11	25.0	30	10.0	0.0	0.0	0.0
padi	25.0	65	44.62	0.0	24.62	0.0
IAMJEFF	24.18	303	43.89	4.62	39.93	0.33
Ptheven	24.14	72	45.83	11.11	16.67	0.0
Fireheart	23.94	554	45.49	6.86	30.32	2.53
Kyle	23.75	766	50.91	2.35	22.19	0.78
invarse	22.92	118	52.54	3.39	26.27	0.0
Libster	22.9	263	44.87	4.18	14.45	0.0
Ahming	21.82	67	53.73	0.0	11.94	0.0
Cory	21.28	114	57.89	0.0	21.05	0.88
RaKXeR	20.83	87	41.38	0.0	20.69	9.2
NoMercy	20.19	125	49.6	4.8	25.6	0.0
duckmammal	20.0	24	33.33	0.0	33.33	0.0
Lel0uch	20.0	24	45.83	0.0	41.67	12.5
sin_faith	20.0	48	43.75	2.08	12.5	0.0
DMoney	18.89	214	43.46	2.34	25.23	0.47
Razvogor	18.57	166	40.36	6.63	16.27	0.0
forgotmyacct	18.46	77	88.31	0.0	1.3	0.0
will.i.am	18.18	26	46.15	0.0	53.85	0.0
Zamiel	17.91	935	42.89	9.73	25.88	1.28
kooolant	17.65	20	85.0	0.0	15.0	0.0
sankala fan	17.65	20	25.0	0.0	10.0	0.0
Razgovor	17.39	27	62.96	0.0	3.7	0.0
TimeHoodie	16.67	56	39.29	3.57	35.71	1.79
timotree	16.67	21	28.57	0.0	71.43	0.0
kimbifille	15.79	66	72.73	3.03	21.21	0.0
pianoblook	14.89	54	31.48	0.0	37.04	0.0
sankala	14.29	24	29.17	0.0	16.67	0.0
Asddsa76	13.64	50	32.0	0.0	18.0	0.0
Animex52	13.04	26	19.23	0.0	3.85	0.0
florrat2	12.26	119	28.57	4.2	14.29	0.0
indego	10.0	22	31.82	0.0	63.64	0.0
hanabornoob	9.68	34	50.0	0.0	5.88	11.76
Will	9.38	35	0.0	0.0	37.14	0.0
letical	7.41	29	48.28	0.0	13.79	0.0
aladdin3	5.26	20	50.0	0.0	5.0	0.0
