Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Denchulitas	43.75	23	69.57	0.0	30.43	0.0
micerang	34.78	31	67.74	0.0	32.26	0.0
BraydonM	33.33	24	83.33	4.17	12.5	0.0
ricardodd	33.33	20	50.0	0.0	50.0	0.0
robense	31.03	38	60.53	15.79	23.68	0.0
Fey	24.0	62	67.74	0.0	32.26	0.0
avanderwalde	23.08	64	78.12	1.56	20.31	0.0
griff77	22.58	38	65.79	2.63	31.58	0.0
Carunty	20.83	29	100.0	0.0	0.0	0.0
kevincaseytdk1	19.57	55	70.91	9.09	20.0	0.0
bjnh	19.4	80	58.75	0.0	41.25	0.0
timotree	18.81	120	68.33	5.0	26.67	0.0
dobi	18.18	182	54.95	3.85	41.21	0.0
MarcLovesDogs	17.65	20	90.0	0.0	10.0	0.0
orucsoraihc	16.33	57	56.14	5.26	38.6	0.0
plus	15.79	22	95.45	0.0	4.55	0.0
sephiroth	15.69	59	62.71	5.08	32.2	0.0
rkass	15.38	30	70.0	3.33	26.67	0.0
ejwu	15.0	46	63.04	8.7	28.26	0.0
Nitrate	14.89	54	66.67	0.0	33.33	0.0
Onen	14.63	47	70.21	4.26	25.53	0.0
Lel0uch	14.29	96	55.21	1.04	43.75	0.0
nwajfromoz	14.29	24	41.67	0.0	58.33	0.0
qqqq	14.29	32	56.25	0.0	43.75	0.0
voss	14.29	32	78.12	0.0	21.88	0.0
jeff10	14.05	138	70.29	6.52	23.19	0.0
MarkusKahlsen	13.89	41	56.1	14.63	29.27	0.0
Hoodie	13.69	191	69.63	7.33	23.04	0.0
jack67889	13.33	51	58.82	3.92	37.25	0.0
TimeHoodie	13.33	187	71.12	5.35	23.53	0.0
ChristopheAF	13.08	121	71.07	7.44	20.66	0.83
doctorabi	13.04	26	53.85	0.0	46.15	0.0
swineherd	13.04	78	74.36	2.56	23.08	0.0
Wittvector	12.98	148	56.76	3.38	39.19	0.68
rz	12.5	63	53.97	20.63	25.4	0.0
TheDaniMan	12.5	162	51.23	3.7	45.06	0.0
sin_faith	12.24	55	50.91	18.18	30.91	0.0
Floriman	12.0	28	57.14	14.29	28.57	0.0
Bot-Fiora	11.86	66	51.52	18.18	30.3	0.0
wump	11.76	57	49.12	19.3	31.58	0.0
cockdestroyer	11.32	59	54.24	8.47	37.29	0.0
padi	11.11	30	63.33	0.0	36.67	0.0
rahsosprout	11.11	30	63.33	0.0	36.67	0.0
scharkbite	11.01	121	54.55	2.48	42.98	0.0
StKildaFan	10.99	101	66.34	0.0	31.68	1.98
knaphill	10.71	31	61.29	0.0	38.71	0.0
kopen	10.64	52	44.23	11.54	44.23	0.0
squidgetx	10.34	32	53.12	3.12	43.75	0.0
4head	10.22	151	88.08	1.99	9.93	0.0
will.i.am	10.0	33	39.39	0.0	60.61	0.0
nkkarpov	9.38	35	88.57	0.0	11.43	0.0
Nitrate2	9.09	24	54.17	0.0	45.83	0.0
Div	8.82	37	81.08	5.41	13.51	0.0
Pablo-	8.7	100	63.0	9.0	28.0	0.0
Zamiel	8.57	38	60.53	2.63	36.84	0.0
Bonja97	8.47	64	54.69	6.25	39.06	0.0
pianoblook	8.33	39	43.59	2.56	53.85	0.0
derekcheah	8.16	106	50.94	0.0	49.06	0.0
kinkajusrevenge	8.0	27	74.07	0.0	25.93	0.0
Kyle	7.91	150	54.0	0.0	46.0	0.0
melwen	7.59	255	61.57	3.92	34.51	0.0
asaelr	7.27	59	33.9	11.86	54.24	0.0
HelanaAshryvr	7.14	105	78.1	7.62	14.29	0.0
indego	6.93	293	61.77	14.33	23.55	0.34
vEnhance	6.82	47	63.83	21.28	14.89	0.0
MangoPie	6.78	126	61.9	16.67	21.43	0.0
rachyrules	6.45	66	54.55	9.09	36.36	0.0
IsabeltheCat	6.38	150	83.33	0.0	16.67	0.0
DarthGandalf	5.88	36	44.44	0.0	55.56	0.0
Lanvin	5.5	211	63.98	7.11	28.44	0.47
DMoney	5.41	78	19.23	0.0	80.77	0.0
XMIL	5.0	21	42.86	0.0	57.14	0.0
Rubix	4.55	23	43.48	0.0	56.52	0.0
CaitlinSmith	4.17	25	68.0	8.0	24.0	0.0
ebin_noob	4.17	25	96.0	0.0	4.0	0.0
hakha3	4.17	25	68.0	8.0	24.0	0.0
ksfortson	2.63	39	69.23	2.56	28.21	0.0
kimbifille	0.0	27	62.96	7.41	29.63	0.0
VerySloppyTwo	0.0	37	75.68	0.0	24.32	0.0
