Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
cockdestroyer	31.65	104	44.23	3.85	30.77	0.0
jack67889	28.95	196	47.45	3.06	34.18	0.0
Nitrate	26.81	175	43.43	4.0	39.43	0.0
Nitrate2	26.28	173	43.93	4.05	39.88	0.0
Pablo-	24.64	946	42.49	6.13	37.0	0.53
Carunty	23.81	26	30.77	7.69	15.38	0.0
Bonja97	23.53	21	23.81	4.76	33.33	0.0
wump	22.09	105	43.81	0.0	28.57	0.0
rachyrules	21.74	28	28.57	0.0	14.29	0.0
catula	20.75	128	50.78	0.0	17.19	0.0
methmatics	20.45	53	56.6	3.77	28.3	0.0
antitelharsic	20.11	209	48.8	0.96	22.97	0.0
penisman	20.0	30	70.0	0.0	0.0	0.0
Sucubis	20.0	174	47.7	3.45	31.03	0.0
sin_faith	19.05	25	56.0	0.0	8.0	0.0
Yzion	17.65	20	0.0	0.0	0.0	0.0
Animex52	16.67	133	48.12	3.76	20.3	0.0
Stinkydude63	15.62	37	37.84	5.41	29.73	0.0
sephiroth	14.39	151	53.64	7.95	17.22	0.0
XMIL	14.37	398	17.34	0.5	21.36	0.5
VerySloppyTwo	13.95	49	48.98	18.37	20.41	0.0
Lanvin	9.59	80	33.75	2.5	47.5	0.0
