Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
louietyj	50.0	24	54.17	0.0	4.17	0.0
otterful	37.5	22	77.27	0.0	0.0	0.0
wump	30.0	26	46.15	0.0	23.08	0.0
alina239	28.95	49	0.0	0.0	0.0	0.0
bjnh	25.0	35	45.71	0.0	34.29	0.0
eljavi	25.0	60	41.67	0.0	11.67	0.0
Denchulitas	24.14	36	25.0	0.0	22.22	0.0
MangoPie	23.81	26	88.46	0.0	0.0	0.0
Onen	23.81	26	57.69	7.69	19.23	0.0
ksfortson	23.29	90	53.33	0.0	20.0	1.11
Lanvin	22.41	71	73.24	2.82	16.9	0.0
Nitrate	21.74	28	53.57	0.0	14.29	0.0
IsabeltheCat	21.57	62	58.06	0.0	25.81	0.0
indego	20.0	30	40.0	0.0	20.0	0.0
torp	19.39	117	68.38	0.0	17.09	0.85
griff77	19.05	75	52.0	4.0	28.0	4.0
4head	18.67	89	41.57	0.0	22.47	1.12
DarthGandalf	17.65	20	40.0	0.0	5.0	0.0
melwen	17.65	20	55.0	0.0	45.0	0.0
dobi	17.39	27	29.63	7.41	37.04	0.0
HelanaAshryvr	16.67	21	66.67	0.0	23.81	0.0
lolthisnotderk	16.28	50	60.0	0.0	14.0	2.0
knaphill	13.89	41	46.34	0.0	14.63	0.0
rahsosprout	11.63	96	52.08	0.0	19.79	1.04
SergeyMelnikov	11.11	20	30.0	0.0	0.0	0.0
kunyavskiy	10.2	54	22.22	0.0	5.56	20.37
darnley	8.0	54	24.07	0.0	5.56	20.37
newduke	7.89	41	65.85	0.0	4.88	0.0
Bot-Fiora	5.13	41	53.66	0.0	14.63	7.32
