Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
frosty104	79.17	43	48.84	0.0	16.28	0.0
Kyle	53.33	23	39.13	8.7	4.35	0.0
asaelr	52.94	26	30.77	0.0	50.0	0.0
kinkajusrevenge	50.0	21	61.9	0.0	0.0	4.76
wump	48.89	67	50.75	0.0	7.46	0.0
MarkusKahlsen	46.67	22	31.82	0.0	45.45	0.0
timotree	45.28	77	48.05	0.0	6.49	0.0
derekcheah	39.29	39	43.59	0.0	41.03	0.0
Fey	38.24	47	65.96	0.0	17.02	0.0
ksfortson	37.84	51	54.9	0.0	5.88	0.0
Carunty	33.33	68	42.65	0.0	10.29	0.0
methmatics	33.33	20	40.0	0.0	5.0	0.0
parrotdoxair	33.33	24	12.5	0.0	0.0	0.0
vEnhance	33.33	20	25.0	0.0	5.0	0.0
doctorabi	31.25	63	58.73	6.35	23.81	0.0
swineherd	31.25	21	52.38	0.0	0.0	0.0
StKildaFan	28.03	338	29.29	0.0	18.64	6.21
dobi	27.78	23	52.17	0.0	39.13	0.0
jack67889	27.78	23	43.48	0.0	4.35	0.0
sin_faith	26.32	24	58.33	0.0	25.0	0.0
ejwu	26.09	58	37.93	0.0	13.79	0.0
rz	25.0	50	64.0	0.0	14.0	2.0
rachyrules	24.59	76	6.58	0.0	10.53	0.0
Lel0uch	23.46	100	51.0	0.0	42.0	0.0
IsabeltheCat	22.73	54	68.52	0.0	16.67	1.85
Rubix	21.62	45	2.22	0.0	0.0	0.0
rs1	21.21	40	57.5	42.5	0.0	0.0
Onen	18.18	65	36.92	0.0	38.46	0.0
newduke	17.31	61	52.46	4.92	27.87	0.0
Bonja97	17.07	48	50.0	35.42	4.17	0.0
cockdestroyer	17.02	55	25.45	0.0	5.45	0.0
robense	16.0	29	34.48	10.34	34.48	0.0
Lanvin	15.79	66	65.15	0.0	28.79	1.52
Animex52	15.38	30	23.33	0.0	3.33	0.0
TimeHoodie	12.5	27	48.15	0.0	33.33	0.0
melwen	11.9	47	44.68	0.0	51.06	0.0
sephiroth	11.76	38	34.21	0.0	18.42	0.0
catula	11.54	58	20.69	0.0	3.45	0.0
griff77	9.09	24	41.67	0.0	50.0	0.0
jeff10	6.9	31	29.03	0.0	32.26	3.23
eliclax	5.26	20	15.0	0.0	75.0	0.0
Wittvector	5.26	20	50.0	0.0	50.0	0.0
