Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
kodomazer	53.85	20	20.0	10.0	5.0	0.0
Nitrate2	52.94	26	46.15	0.0	38.46	0.0
ADrone	41.67	34	32.35	0.0	23.53	0.0
Nitrate	40.54	52	28.85	0.0	23.08	0.0
Fey	37.93	40	50.0	0.0	15.0	0.0
MasN	33.33	36	38.89	0.0	8.33	0.0
Yuga Suggah	29.27	53	43.4	0.0	9.43	0.0
Zakisan	27.59	37	48.65	8.11	16.22	0.0
asaelr	27.37	121	36.36	3.31	21.49	0.0
micerang	25.0	65	44.62	0.0	24.62	0.0
kooolant	24.24	41	85.37	0.0	9.76	2.44
melwen	24.0	93	75.27	2.15	16.13	0.0
honzas	23.53	21	52.38	0.0	14.29	0.0
Fireheart	22.73	27	51.85	0.0	25.93	0.0
scharkbite	22.61	141	71.63	0.0	19.15	0.0
Livia	22.22	77	62.34	14.29	12.99	0.0
plus	21.43	34	76.47	0.0	20.59	0.0
MarkusKahlsen	21.21	40	62.5	0.0	30.0	0.0
TheDaniMan	20.75	64	56.25	0.0	17.19	4.69
Shos	18.92	44	29.55	0.0	4.55	0.0
TimeHoodie	18.87	63	58.73	0.0	26.98	3.17
DoubleDown11	18.18	52	28.85	0.0	19.23	0.0
robense	18.18	26	42.31	0.0	19.23	0.0
aladdin3	17.65	40	32.5	0.0	15.0	0.0
joaep2	17.65	20	15.0	0.0	10.0	0.0
DMoney	17.5	47	65.96	0.0	34.04	0.0
rachyrules	17.24	34	2.94	0.0	0.0	0.0
Kyle	16.59	239	41.42	5.44	23.01	0.84
Floriman	16.43	163	39.88	1.23	15.95	4.91
pianoblook	15.62	37	43.24	0.0	27.03	5.41
will.i.am	15.0	46	69.57	0.0	30.43	0.0
XMIL	15.0	23	43.48	0.0	8.7	0.0
sephiroth	14.49	79	55.7	3.8	21.52	0.0
sin_faith	14.12	97	43.3	4.12	6.19	2.06
duckmammal	12.28	64	45.31	0.0	10.94	0.0
kimbifille	11.48	68	60.29	1.47	26.47	10.29
Dr_Kakashi	11.43	195	40.0	6.67	8.72	6.15
newduke	10.34	32	59.38	0.0	34.38	0.0
sjdrodge	10.34	32	0.0	0.0	0.0	71.88
derekcheah	9.52	23	69.57	0.0	8.7	0.0
letical	8.82	37	24.32	0.0	8.11	0.0
Zamiel	7.96	122	11.48	2.46	19.67	0.0
Valetta6789	6.31	118	11.02	0.0	6.78	2.54
RaKXeR	5.5	115	0.87	0.0	0.87	0.0
Libster	4.66	202	3.47	0.0	0.5	9.9
florrat2	3.68	282	0.71	0.0	1.06	8.16
NoMercy	3.28	189	0.0	0.0	0.53	13.23
lotem	2.22	46	41.3	0.0	8.7	0.0
Jake_Stiles	0.0	22	50.0	0.0	40.91	0.0
JDepp	0.0	23	13.04	0.0	0.0	0.0
