Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
PMP	200.0	3	100.0	0.0	0.0	0.0
Syrah	200.0	3	100.0	0.0	0.0	0.0
arnino	100.0	2	50.0	0.0	50.0	0.0
CaitlinSmith	100.0	2	100.0	0.0	0.0	0.0
datschris	100.0	2	50.0	0.0	50.0	0.0
egerdm	100.0	4	100.0	0.0	0.0	0.0
esakach	100.0	2	100.0	0.0	0.0	0.0
Feich59	100.0	4	75.0	0.0	25.0	0.0
FlightForward	100.0	2	100.0	0.0	0.0	0.0
fow	100.0	4	100.0	0.0	0.0	0.0
fuckthiswebsite	100.0	2	50.0	0.0	50.0	0.0
guava	100.0	2	100.0	0.0	0.0	0.0
jerryK	100.0	2	100.0	0.0	0.0	0.0
lalchetian	100.0	2	100.0	0.0	0.0	0.0
Libster	100.0	4	75.0	0.0	0.0	25.0
Mav	100.0	2	100.0	0.0	0.0	0.0
Othnia	100.0	4	100.0	0.0	0.0	0.0
rahsosprout	100.0	4	50.0	0.0	50.0	0.0
ReaverSe	100.0	2	100.0	0.0	0.0	0.0
RocknIce	100.0	2	100.0	0.0	0.0	0.0
RonaSeason	100.0	2	50.0	0.0	50.0	0.0
Rubix	100.0	2	50.0	0.0	50.0	0.0
Wolfiee	100.0	2	100.0	0.0	0.0	0.0
eevee	85.71	13	69.23	0.0	30.77	0.0
Cold	66.67	5	100.0	0.0	0.0	0.0
corys	66.67	5	40.0	0.0	60.0	0.0
dancherp	66.67	5	100.0	0.0	0.0	0.0
HelanaAshryvr	66.67	5	100.0	0.0	0.0	0.0
possum	66.67	5	100.0	0.0	0.0	0.0
xor	66.67	5	40.0	0.0	60.0	0.0
florrat2	60.0	8	87.5	0.0	12.5	0.0
ch4daemon	50.0	3	100.0	0.0	0.0	0.0
ChristopheAF	50.0	3	33.33	0.0	66.67	0.0
DarthGandalf	50.0	3	100.0	0.0	0.0	0.0
doctorabi	50.0	45	57.78	0.0	35.56	6.67
dontmacme	50.0	3	33.33	0.0	66.67	0.0
eljavi	50.0	3	100.0	0.0	0.0	0.0
g07h4xf00	50.0	3	100.0	0.0	0.0	0.0
kinkajusrevenge	50.0	6	66.67	0.0	33.33	0.0
ksfortson	50.0	3	100.0	0.0	0.0	0.0
lailie.ahava	50.0	6	100.0	0.0	0.0	0.0
nwajfromoz	50.0	3	66.67	0.0	33.33	0.0
orucsoraihc	50.0	15	66.67	0.0	33.33	0.0
paulcd2000	50.0	3	66.67	0.0	33.33	0.0
ricardodd	50.0	3	66.67	33.33	0.0	0.0
savoryoatmeal	50.0	6	100.0	0.0	0.0	0.0
Shos	50.0	3	100.0	0.0	0.0	0.0
sjdrodge	47.37	56	50.0	16.07	33.93	0.0
frosty104	45.0	29	82.76	0.0	10.34	6.9
null	44.44	13	100.0	0.0	0.0	0.0
Smandon	42.86	20	85.0	0.0	15.0	0.0
rachyrules	41.67	17	64.71	0.0	35.29	0.0
ejwu	37.5	33	66.67	3.03	30.3	0.0
RaKXeR	37.5	11	54.55	0.0	45.45	0.0
rs1	37.5	33	84.85	6.06	9.09	0.0
Livia	35.71	19	57.89	5.26	36.84	0.0
Valetta6789	35.0	27	62.96	3.7	29.63	3.7
DrJones	33.33	4	50.0	0.0	50.0	0.0
hakha3	33.33	8	50.0	0.0	50.0	0.0
metta	33.33	12	91.67	0.0	8.33	0.0
penisman	33.33	4	25.0	0.0	75.0	0.0
poofart123	33.33	4	100.0	0.0	0.0	0.0
sheamol	33.33	4	75.0	0.0	25.0	0.0
squidgetx	33.33	4	50.0	0.0	50.0	0.0
Zakisan	33.33	60	46.67	3.33	50.0	0.0
piper	31.64	1115	50.94	8.07	27.26	13.72
alphabeta	31.58	25	64.0	0.0	36.0	0.0
fishcat	30.2	319	68.97	4.7	25.39	0.94
Carunty	30.0	13	84.62	0.0	15.38	0.0
kevincaseytdk1	30.0	39	64.1	0.0	33.33	2.56
Fey	28.85	67	64.18	0.0	35.82	0.0
kalisa	28.57	9	33.33	0.0	66.67	0.0
rz	28.57	9	66.67	0.0	33.33	0.0
ADrone	28.43	1206	65.75	11.03	22.72	0.5
fr	28.21	50	86.0	0.0	10.0	4.0
kimbifille	27.4	981	42.1	7.54	32.82	17.53
gkrackerr	26.67	19	100.0	0.0	0.0	0.0
wump	26.67	19	63.16	0.0	36.84	0.0
kooolant	25.71	44	40.91	4.55	54.55	0.0
joelwool	25.3	104	73.08	0.96	25.96	0.0
aladdin3	25.0	5	100.0	0.0	0.0	0.0
antitelharsic	25.0	30	83.33	0.0	16.67	0.0
duckington	25.0	5	100.0	0.0	0.0	0.0
emilyzhao	25.0	5	60.0	0.0	40.0	0.0
Lanvin	25.0	20	65.0	0.0	25.0	10.0
louietyj	25.0	5	60.0	0.0	40.0	0.0
MarekU	25.0	5	100.0	0.0	0.0	0.0
nkkarpov	25.0	5	40.0	0.0	60.0	0.0
postmans	25.0	20	60.0	0.0	40.0	0.0
reuzed	25.0	10	80.0	0.0	20.0	0.0
rkass	25.0	40	42.5	0.0	57.5	0.0
squirrel1988	25.0	5	100.0	0.0	0.0	0.0
voss	25.0	5	80.0	0.0	20.0	0.0
