Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
BHamp	200.0	3	100.0	0.0	0.0	0.0
charmander	200.0	3	33.33	0.0	66.67	0.0
msmith286	200.0	3	100.0	0.0	0.0	0.0
i_am_the_pizza	180.0	28	82.14	0.0	17.86	0.0
kevincaseytdk1	150.0	5	60.0	0.0	40.0	0.0
arnino	100.0	2	100.0	0.0	0.0	0.0
dontmacme	100.0	4	100.0	0.0	0.0	0.0
Feich59	100.0	4	75.0	0.0	25.0	0.0
fishcat	100.0	8	50.0	0.0	50.0	0.0
florrat2	100.0	4	100.0	0.0	0.0	0.0
guava	100.0	2	100.0	0.0	0.0	0.0
hakha3	100.0	2	50.0	0.0	50.0	0.0
honobu	100.0	2	100.0	0.0	0.0	0.0
jeff10	100.0	2	100.0	0.0	0.0	0.0
lalchetian	100.0	2	100.0	0.0	0.0	0.0
Lanvin	100.0	2	100.0	0.0	0.0	0.0
Maverick	100.0	2	100.0	0.0	0.0	0.0
RaKXeR	100.0	2	100.0	0.0	0.0	0.0
ThirdStrike	100.0	2	100.0	0.0	0.0	0.0
zipzap	100.0	2	100.0	0.0	0.0	0.0
doctorabi	66.67	10	70.0	0.0	30.0	0.0
Yeesh	66.67	5	100.0	0.0	0.0	0.0
Lel0uch	63.64	18	55.56	0.0	44.44	0.0
rs1	63.64	18	77.78	0.0	22.22	0.0
Animex52	62.5	13	84.62	0.0	15.38	0.0
sjdrodge	62.5	39	46.15	15.38	38.46	0.0
avanderwalde	60.0	32	43.75	0.0	56.25	0.0
ejwu	60.0	8	75.0	0.0	25.0	0.0
rkass	58.33	19	36.84	0.0	63.16	0.0
Zakisan	54.55	51	84.31	0.0	15.69	0.0
Andrew_UK	50.0	3	0.0	0.0	66.67	33.33
Hyakinthus	50.0	3	100.0	0.0	0.0	0.0
Onen	50.0	3	33.33	0.0	66.67	0.0
ReaverSe	50.0	3	100.0	0.0	0.0	0.0
savoryoatmeal	50.0	3	100.0	0.0	0.0	0.0
TimeHoodie	45.28	77	63.64	0.0	36.36	0.0
Kyle	43.18	63	49.21	1.59	49.21	0.0
MasN	41.67	17	76.47	0.0	23.53	0.0
maddogmarv	40.48	177	92.09	0.0	7.91	0.0
DoubleDown11	40.0	28	96.43	0.0	3.57	0.0
eevee	40.0	21	80.95	0.0	19.05	0.0
MarkusKahlsen	40.0	42	83.33	0.0	16.67	0.0
Wittvector	40.0	7	57.14	0.0	42.86	0.0
ADrone	37.29	162	59.88	6.17	33.95	0.0
Pablo-	37.04	37	56.76	0.0	43.24	0.0
JerryYang	36.36	15	60.0	0.0	40.0	0.0
derekcheah	35.0	135	66.67	2.96	28.89	1.48
kimbifille	34.67	975	49.03	7.38	28.72	14.87
Fey	34.62	35	60.0	0.0	40.0	0.0
bcannon	34.19	416	80.29	7.93	11.78	0.0
asaelr	33.33	48	70.83	6.25	18.75	4.17
frosty104	33.33	4	50.0	0.0	50.0	0.0
girl_macaroni	33.33	4	100.0	0.0	0.0	0.0
Littleinvad	33.33	4	100.0	0.0	0.0	0.0
MarcLovesDogs	33.33	4	75.0	0.0	25.0	0.0
sheamol	33.33	8	100.0	0.0	0.0	0.0
Smandon	33.33	4	75.0	0.0	25.0	0.0
pianoblook	31.64	1115	50.94	8.07	27.26	13.72
joelwool	30.77	68	73.53	0.0	26.47	0.0
antitelharsic	30.0	13	84.62	0.0	15.38	0.0
bulbasaur	29.41	22	40.91	0.0	59.09	0.0
Ahming	28.57	9	77.78	0.0	22.22	0.0
Bonja97	28.57	72	52.78	0.0	47.22	0.0
QueenVic	28.57	9	100.0	0.0	0.0	0.0
Floriman	28.38	95	57.89	5.26	36.84	0.0
mclmosx	26.67	19	100.0	0.0	0.0	0.0
scharkbite	25.4	79	48.1	0.0	50.63	1.27
IAMJEFF	25.3	104	52.88	2.88	44.23	0.0
blueberry	25.0	5	100.0	0.0	0.0	0.0
dobi	25.0	10	80.0	0.0	20.0	0.0
emilyzhao	25.0	5	60.0	0.0	40.0	0.0
lotem	25.0	20	95.0	0.0	5.0	0.0
Nocturn	25.0	5	60.0	0.0	40.0	0.0
TheDaniMan	25.0	15	86.67	0.0	13.33	0.0
will.i.am	25.0	95	63.16	0.0	36.84	0.0
Nitrate2	23.81	26	88.46	0.0	11.54	0.0
plus	20.51	94	77.66	1.06	19.15	2.13
indego	20.0	12	58.33	0.0	41.67	0.0
joaep2	20.0	6	100.0	0.0	0.0	0.0
Livia	20.0	12	16.67	0.0	83.33	0.0
skellie81	20.0	6	100.0	0.0	0.0	0.0
Sucubis	20.0	6	50.0	0.0	50.0	0.0
Valetta6789	20.0	24	41.67	12.5	41.67	4.17
Dr_Kakashi	19.32	247	34.82	1.21	57.49	6.48
letical	18.18	26	88.46	0.0	11.54	0.0
padi	18.18	13	92.31	0.0	7.69	0.0
melwen	17.46	74	59.46	0.0	40.54	0.0
claudiob	16.67	14	92.86	0.0	7.14	0.0
Othnia	16.67	14	85.71	0.0	14.29	0.0
micerang	15.38	15	66.67	0.0	33.33	0.0
theandrewni	14.29	8	75.0	0.0	25.0	0.0
sin_faith	13.79	33	100.0	0.0	0.0	0.0
Artificial	13.7	83	12.05	51.81	36.14	0.0
qbphoenix	13.64	25	52.0	0.0	48.0	0.0
DMoney	12.96	61	59.02	0.0	39.34	1.64
XMIL	12.9	35	71.43	0.0	28.57	0.0
Fireheart	12.5	9	44.44	0.0	55.56	0.0
LaFayetteX	12.5	9	100.0	0.0	0.0	0.0
ThorsKraken	12.5	9	77.78	0.0	22.22	0.0
Zamiel	12.5	45	55.56	0.0	33.33	11.11
sephiroth	12.07	65	66.15	0.0	33.85	0.0
robense	11.76	19	73.68	0.0	26.32	0.0
Yuga Suggah	11.76	19	100.0	0.0	0.0	0.0
swineherd	10.34	32	68.75	0.0	31.25	0.0
NoMercy	10.0	11	72.73	0.0	27.27	0.0
Nils	9.09	12	100.0	0.0	0.0	0.0
alphabeta	6.9	31	87.1	0.0	12.9	0.0
duckmammal	5.56	19	84.21	0.0	15.79	0.0
Aluap	0.0	1	100.0	0.0	0.0	0.0
alv1nn	0.0	3	100.0	0.0	0.0	0.0
atomickilo	0.0	2	100.0	0.0	0.0	0.0
callistooooo	0.0	2	100.0	0.0	0.0	0.0
Carunty	0.0	1	100.0	0.0	0.0	0.0
CastlesInTheAir	0.0	2	100.0	0.0	0.0	0.0
ch4daemon	0.0	1	100.0	0.0	0.0	0.0
classico	0.0	2	100.0	0.0	0.0	0.0
Cold	0	1	100.0	0.0	0.0	0.0
Cory	0.0	2	0.0	0.0	100.0	0.0
CptAggro	0	1	100.0	0.0	0.0	0.0
crossproduct	0.0	2	100.0	0.0	0.0	0.0
derposaur	0.0	2	0.0	0.0	100.0	0.0
Div	0.0	1	100.0	0.0	0.0	0.0
DrJones	0.0	2	100.0	0.0	0.0	0.0
egerdm	0.0	1	100.0	0.0	0.0	0.0
eljobe	0.0	1	100.0	0.0	0.0	0.0
elperzon	0.0	3	100.0	0.0	0.0	0.0
frollo9386	0.0	3	0.0	0.0	100.0	0.0
g07h4xf00	0.0	1	100.0	0.0	0.0	0.0
honzas	0.0	11	90.91	0.0	9.09	0.0
imel	0.0	2	100.0	0.0	0.0	0.0
Instantiation	0.0	1	100.0	0.0	0.0	0.0
IrГ¶n_MabГ«l	0.0	2	100.0	0.0	0.0	0.0
IsabeltheCat	0.0	7	85.71	0.0	14.29	0.0
jack67889	0	1	100.0	0.0	0.0	0.0
jack_0f_hearts	0.0	4	50.0	0.0	50.0	0.0
JDepp	0.0	9	100.0	0.0	0.0	0.0
kodomazer	0.0	11	45.45	0.0	54.55	0.0
kooolant	0.0	2	0.0	50.0	50.0	0.0
kopen	0.0	1	0.0	0.0	100.0	0.0
ksfortson	0.0	4	50.0	0.0	50.0	0.0
lani	0.0	1	100.0	0.0	0.0	0.0
Libster	0	1	100.0	0.0	0.0	0.0
Lilliana	0.0	4	50.0	0.0	0.0	50.0
maxnorris13	0.0	8	50.0	0.0	50.0	0.0
Mesch	0.0	1	100.0	0.0	0.0	0.0
newduke	0.0	7	85.71	0.0	14.29	0.0
NoAnni	0.0	1	100.0	0.0	0.0	0.0
nukelauncher	0.0	1	100.0	0.0	0.0	0.0
Oh-No.	0.0	1	100.0	0.0	0.0	0.0
orucsoraihc	0	2	0.0	0.0	100.0	0.0
Puzzle	0.0	5	100.0	0.0	0.0	0.0
