Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
wolfpack	55.56	28	46.43	0.0	14.29	0.0
swineherd	46.67	22	90.91	0.0	9.09	0.0
DarthGandalf	45.71	51	37.25	0.0	9.8	0.0
MangoPie	41.18	24	70.83	0.0	16.67	0.0
banjoleb	39.13	32	21.88	0.0	0.0	0.0
qqqq	38.89	50	50.0	0.0	44.0	0.0
ksfortson	34.15	55	54.55	3.64	20.0	0.0
lolthisnotderk	31.58	25	64.0	0.0	8.0	0.0
robense	31.25	21	57.14	0.0	19.05	0.0
wump	30.3	43	39.53	0.0	25.58	0.0
louietyj	30.0	39	38.46	0.0	17.95	0.0
skyblueexo	28.57	45	26.67	0.0	20.0	0.0
rz	28.0	32	71.88	0.0	15.62	0.0
Bot-Fiora	26.67	38	63.16	7.89	21.05	0.0
IsabeltheCat	26.67	38	60.53	0.0	21.05	0.0
4head	26.32	24	54.17	0.0	8.33	12.5
asaelr	26.32	24	20.83	0.0	37.5	0.0
griff77	25.0	85	58.82	3.53	21.18	0.0
VerySloppyTwo	25.0	20	50.0	0.0	35.0	0.0
bjnh	23.08	32	56.25	0.0	21.88	0.0
sephiroth	21.62	45	46.67	0.0	48.89	0.0
eliclax	21.43	68	30.88	0.0	36.76	0.0
rahsosprout	21.43	34	44.12	0.0	23.53	0.0
knaphill	20.59	82	39.02	0.0	39.02	0.0
kinkajusrevenge	20.0	24	79.17	0.0	0.0	0.0
Denchulitas	18.75	95	37.89	0.0	30.53	1.05
Spieler42	18.69	127	34.65	0.0	24.41	0.0
BraydonM	18.42	45	33.33	0.0	31.11	0.0
koala	17.65	40	25.0	0.0	0.0	0.0
eljavi	15.22	53	28.3	0.0	20.75	0.0
indego	15.0	23	30.43	0.0	47.83	0.0
Fey	14.29	32	56.25	0.0	31.25	0.0
Wittvector	11.43	39	43.59	0.0	30.77	7.69
Aluap	11.11	50	56.0	0.0	26.0	0.0
Lanvin	9.62	57	64.91	0.0	24.56	0.0
StKildaFan	9.38	35	57.14	0.0	42.86	0.0
ontak	9.09	48	29.17	0.0	31.25	0.0
The_Chaser	8.57	38	13.16	0.0	0.0	0.0
Lel0uch	6.06	35	31.43	0.0	42.86	0.0
