Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
password	48.57	52	100.0	0.0	0.0	0.0
910dan	43.75	23	69.57	0.0	0.0	30.43
Hyakinthus	40.91	31	67.74	0.0	9.68	22.58
NoMercy	40.26	108	73.15	0.0	18.52	8.33
possum	38.89	50	52.0	0.0	48.0	0.0
jeep	37.74	73	80.82	0.0	16.44	2.74
Jake_Stiles	36.36	30	56.67	0.0	43.33	0.0
Fey	33.33	20	70.0	0.0	30.0	0.0
frosty104	33.33	20	60.0	0.0	40.0	0.0
RaKXeR	32.79	81	67.9	0.0	29.63	2.47
scharkbite	30.65	243	76.13	0.0	19.34	4.53
griff77	29.41	22	40.91	0.0	59.09	0.0
micerang	28.81	76	55.26	5.26	38.16	1.32
Dr_Kakashi	28.36	86	54.65	8.14	37.21	0.0
IAMJEFF	28.05	105	58.1	0.0	41.9	0.0
awake	26.67	38	100.0	0.0	0.0	0.0
Instantiation	26.0	63	65.08	0.0	9.52	25.4
efaust	25.0	20	65.0	0.0	35.0	0.0
melwen	25.0	20	40.0	0.0	60.0	0.0
Cory	24.17	149	65.1	0.0	18.79	16.11
dobi	24.0	31	12.9	0.0	87.1	0.0
MangoPie	22.22	22	63.64	4.55	31.82	0.0
Zamiel	20.52	276	77.54	0.0	14.13	8.33
Andrew_UK	20.0	72	81.94	0.0	16.67	1.39
Fireheart	20.0	30	46.67	23.33	30.0	0.0
asaelr	19.75	97	41.24	0.0	45.36	13.4
Lel0uch	19.4	80	37.5	0.0	50.0	12.5
bradz	19.35	37	59.46	0.0	32.43	8.11
Libster	18.9	151	50.99	0.0	25.17	23.84
Andrey Khesin	18.75	57	68.42	0.0	14.04	17.54
Hunter	18.75	38	86.84	0.0	13.16	0.0
sin_faith	18.52	32	56.25	0.0	43.75	0.0
Swifter	17.86	33	39.39	0.0	24.24	36.36
katian	17.65	20	50.0	0.0	50.0	0.0
Sucubis	17.57	87	62.07	0.0	36.78	1.15
sankala	17.24	34	82.35	0.0	11.76	5.88
florrat2	16.39	71	50.7	0.0	30.99	18.31
newduke	14.81	31	54.84	0.0	45.16	0.0
Lanvin	13.46	59	42.37	1.69	55.93	0.0
Wittvector	13.04	26	42.31	3.85	38.46	15.38
wortel	12.5	36	58.33	5.56	36.11	0.0
potatochips	11.11	20	70.0	0.0	30.0	0.0
GГ¶ttertГ¶ter	10.34	32	81.25	0.0	18.75	0.0
Asddsa76	9.8	56	57.14	0.0	25.0	17.86
IsabeltheCat	9.52	23	47.83	0.0	52.17	0.0
sephiroth	8.57	38	44.74	0.0	55.26	0.0
indego	4.84	65	38.46	1.54	60.0	0.0
NotRaKXeR	0.0	20	85.0	0.0	15.0	0.0
SeldeGuГ©rande	0.0	20	20.0	0.0	5.0	75.0
