Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
emilyzhao	200.0	9	100.0	0.0	0.0	0.0
squidgetx	175.0	11	100.0	0.0	0.0	0.0
Denchulitas	133.33	7	85.71	0.0	14.29	0.0
beri	100.0	4	100.0	0.0	0.0	0.0
eevee	100.0	2	100.0	0.0	0.0	0.0
egerdm	100.0	2	100.0	0.0	0.0	0.0
Livia	100.0	2	50.0	0.0	50.0	0.0
Maiorskills	100.0	2	100.0	0.0	0.0	0.0
reuzed	100.0	6	100.0	0.0	0.0	0.0
Feich59	83.33	22	90.91	0.0	9.09	0.0
Dr_Kakashi	75.0	7	100.0	0.0	0.0	0.0
joelwool	66.67	10	80.0	0.0	20.0	0.0
macanek	62.5	13	61.54	0.0	38.46	0.0
derekcheah	57.14	11	81.82	0.0	18.18	0.0
BraydonM	50.0	3	100.0	0.0	0.0	0.0
ezahid1662	50.0	9	88.89	0.0	11.11	0.0
Kowalski1337	50.0	6	100.0	0.0	0.0	0.0
MASEL	50.0	3	100.0	0.0	0.0	0.0
narabio	50.0	3	100.0	0.0	0.0	0.0
rcaseyatbat	50.0	3	100.0	0.0	0.0	0.0
Takis	50.0	3	66.67	0.0	33.33	0.0
Tiramisu1th	50.0	6	83.33	0.0	16.67	0.0
tyrcho	50.0	6	83.33	0.0	16.67	0.0
zeinab001	50.0	9	100.0	0.0	0.0	0.0
MangoPie	44.44	26	53.85	0.0	46.15	0.0
Fey	43.75	23	60.87	0.0	39.13	0.0
Div	42.86	10	80.0	10.0	10.0	0.0
pianoblook	41.67	17	64.71	0.0	35.29	0.0
rz	40.91	31	67.74	0.0	29.03	3.23
MarkusKahlsen	40.62	180	62.22	0.0	37.78	0.0
HelanaAshryvr	40.0	7	71.43	0.0	28.57	0.0
micerang	40.0	7	57.14	0.0	42.86	0.0
swineherd	39.13	32	68.75	0.0	31.25	0.0
TheDaniMan	38.24	47	76.6	0.0	23.4	0.0
Nitrate2	36.84	26	84.62	0.0	15.38	0.0
Lel0uch	35.85	72	59.72	0.0	40.28	0.0
Wittvector	34.21	51	54.9	0.0	43.14	1.96
StKildaFan	33.96	71	85.92	0.0	12.68	1.41
Andrew_UK	33.33	8	100.0	0.0	0.0	0.0
bob65536	33.33	8	87.5	0.0	12.5	0.0
Bot-Fiora	33.33	4	50.0	0.0	50.0	0.0
dmigor3	33.33	4	75.0	0.0	25.0	0.0
eran	33.33	8	62.5	0.0	37.5	0.0
lotem	33.33	8	87.5	12.5	0.0	0.0
methmatics	33.33	4	100.0	0.0	0.0	0.0
MKQ	33.33	4	100.0	0.0	0.0	0.0
parrotdoxair	33.33	4	50.0	0.0	50.0	0.0
Bonja97	32.35	45	62.22	8.89	28.89	0.0
frosty104	32.0	33	48.48	6.06	45.45	0.0
Nitrate	31.82	29	79.31	0.0	20.69	0.0
honobu	30.77	17	82.35	0.0	17.65	0.0
postmans	30.0	13	92.31	0.0	7.69	0.0
voss	30.0	13	76.92	0.0	23.08	0.0
willwin4sure	30.0	26	100.0	0.0	0.0	0.0
robense	29.69	83	59.04	0.0	40.96	0.0
jack67889	29.51	79	62.03	0.0	37.97	0.0
Pablo-	29.13	133	77.44	5.26	17.29	0.0
vEnhance	28.0	32	84.38	0.0	15.62	0.0
doctorabi	27.78	46	47.83	4.35	47.83	0.0
scharkbite	26.79	71	98.59	0.0	1.41	0.0
sephiroth	26.47	129	64.34	0.78	34.88	0.0
antitelharsic	26.32	24	91.67	0.0	8.33	0.0
asaelr	25.74	127	92.13	0.0	7.87	0.0
VerySloppyTwo	25.53	59	66.1	0.0	33.9	0.0
