Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
mattys	61.22	79	6.33	68.35	0.0	0.0
Kyle	52.78	55	3.64	0.0	45.45	0.0
alyvan	52.54	180	2.78	83.33	0.0	0.0
JerryYang	47.42	457	52.52	8.97	11.16	0.0
melwen	45.65	67	55.22	0.0	40.3	0.0
TimeHoodie	43.08	93	54.84	3.23	34.41	0.0
kevincaseytdk1	36.7	149	8.05	2.68	22.82	0.0
jeff10	33.33	20	40.0	10.0	35.0	0.0
avanderwalde	30.26	1468	36.04	8.86	32.02	0.27
kimbifille	29.63	35	28.57	0.0	65.71	0.0
telsey	28.95	49	6.12	0.0	30.61	0.0
squidgetx	28.0	32	31.25	0.0	34.38	0.0
ejwu	26.67	38	47.37	7.89	26.32	0.0
pianoblook	25.0	40	32.5	0.0	55.0	0.0
rs1	22.73	27	51.85	0.0	33.33	14.81
newduke	17.86	33	63.64	3.03	24.24	0.0
bazzy	17.65	20	85.0	0.0	15.0	0.0
scharkbite	17.65	20	60.0	0.0	35.0	0.0
timotree	16.13	36	36.11	8.33	36.11	0.0
XMIL	14.29	24	33.33	0.0	62.5	0.0
emilyzhao	13.79	33	27.27	0.0	30.3	0.0
mattnabi	12.11	398	20.85	5.53	57.54	0.0
