Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
XMIL	38.89	25	64.0	0.0	12.0	0.0
pianoblook	37.5	33	63.64	6.06	6.06	0.0
Bonja97	26.0	63	61.9	26.98	3.17	0.0
Bonja	25.49	64	62.5	26.56	3.12	0.0
rkass	22.73	27	51.85	0.0	33.33	14.81
orucsoraihc	21.21	40	57.5	42.5	0.0	0.0
joelwool	18.75	38	65.79	0.0	5.26	0.0
TheDaniMan	17.65	20	45.0	10.0	35.0	0.0
derekcheah	16.67	28	67.86	7.14	3.57	0.0
avanderwalde	13.33	34	44.12	0.0	41.18	11.76
krampster2	11.54	87	33.33	0.0	0.0	0.0
bazzy	11.36	49	34.69	0.0	0.0	0.0
nk	10.71	62	19.35	0.0	3.23	0.0
Double E	8.89	49	2.04	0.0	0.0	0.0
molly	8.89	49	6.12	0.0	4.08	0.0
