Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Jan	100.0	4	100.0	0.0	0.0	0.0
lolthisnotderk	100.0	4	100.0	0.0	0.0	0.0
padi	100.0	6	16.67	33.33	50.0	0.0
poofart123	100.0	2	100.0	0.0	0.0	0.0
ricardodd	100.0	2	50.0	0.0	50.0	0.0
wolfpack	100.0	4	100.0	0.0	0.0	0.0
Zakisan	100.0	2	100.0	0.0	0.0	0.0
zeinab001	100.0	8	100.0	0.0	0.0	0.0
jack_0f_hearts	71.43	12	83.33	0.0	16.67	0.0
Doge	66.67	5	80.0	0.0	20.0	0.0
eevee	66.67	5	100.0	0.0	0.0	0.0
TheDaniMan	66.67	5	80.0	0.0	20.0	0.0
ADrone	62.5	13	100.0	0.0	0.0	0.0
angel-a	60.0	8	100.0	0.0	0.0	0.0
postmans	60.0	8	75.0	0.0	25.0	0.0
torp	60.0	8	75.0	0.0	25.0	0.0
rahsosprout	57.14	11	81.82	0.0	18.18	0.0
Sucubis	51.85	41	65.85	0.0	34.15	0.0
Damian000	50.0	3	100.0	0.0	0.0	0.0
diael	50.0	3	100.0	0.0	0.0	0.0
HariKrishnan	50.0	3	100.0	0.0	0.0	0.0
MalachiteMoa	50.0	3	33.33	0.0	66.67	0.0
naturesbf	50.0	6	0.0	0.0	100.0	0.0
nkkarpov	50.0	15	53.33	0.0	46.67	0.0
Puzzle	50.0	3	100.0	0.0	0.0	0.0
Rolfe	50.0	6	0.0	0.0	100.0	0.0
Smandon	50.0	3	100.0	0.0	0.0	0.0
Thore	50.0	3	0.0	0.0	100.0	0.0
voss	50.0	12	50.0	0.0	50.0	0.0
will.i.am	50.0	6	100.0	0.0	0.0	0.0
MarkusKahlsen	48.48	49	75.51	0.0	24.49	0.0
Kyle	45.65	67	83.58	0.0	16.42	0.0
PMP	42.86	10	90.0	0.0	10.0	0.0
Pablo-	41.03	55	83.64	0.0	16.36	0.0
rachyrules	40.91	31	67.74	0.0	29.03	3.23
aquarelle	40.0	21	90.48	0.0	9.52	0.0
VerySloppyTwo	38.89	25	92.0	0.0	8.0	0.0
StKildaFan	38.46	36	75.0	0.0	25.0	0.0
Floriman	38.1	29	79.31	0.0	20.69	0.0
BlueNovember	37.5	11	81.82	0.0	18.18	0.0
Fey	37.5	55	70.91	1.82	27.27	0.0
XMIL	37.04	37	86.49	0.0	13.51	0.0
AshleyBridge	33.33	4	50.0	0.0	50.0	0.0
Daryl	33.33	4	100.0	0.0	0.0	0.0
Kernel	33.33	12	100.0	0.0	0.0	0.0
Veexliat	33.33	12	75.0	0.0	25.0	0.0
colton	30.77	34	67.65	0.0	29.41	2.94
Div	30.77	17	82.35	0.0	17.65	0.0
IsabeltheCat	30.0	13	76.92	0.0	23.08	0.0
swineherd	29.27	53	75.47	3.77	20.75	0.0
HelanaAshryvr	28.89	58	82.76	0.0	17.24	0.0
timotree	28.77	94	77.66	0.0	22.34	0.0
pianoblook	28.57	9	66.67	0.0	33.33	0.0
Syrah	28.57	9	88.89	0.0	11.11	0.0
possum	28.0	32	84.38	0.0	15.62	0.0
macanek	27.78	23	86.96	0.0	13.04	0.0
Pepepe	27.27	14	50.0	0.0	50.0	0.0
Lel0uch	27.16	103	65.05	2.91	32.04	0.0
qqqq	26.67	19	31.58	0.0	68.42	0.0
dobi	26.23	77	72.73	1.3	25.97	0.0
wump	25.82	463	72.35	3.02	24.62	0.0
Nitrate	25.71	44	65.91	9.09	25.0	0.0
Jake_Stiles	25.64	98	97.96	0.0	2.04	0.0
CaitlinSmith	25.0	15	60.0	0.0	40.0	0.0
MarcLovesDogs	25.0	20	100.0	0.0	0.0	0.0
orucsoraihc	25.0	50	84.0	0.0	14.0	2.0
Ringabel	25.0	5	0.0	0.0	100.0	0.0
sheamol	25.0	5	100.0	0.0	0.0	0.0
Wittvector	24.47	117	65.81	7.69	25.64	0.85
asaelr	24.0	31	67.74	0.0	32.26	0.0
griff77	23.91	57	56.14	0.0	43.86	0.0
MangoPie	23.29	90	61.11	1.11	32.22	5.56
ejwu	23.08	32	81.25	0.0	18.75	0.0
Pimak	23.08	16	93.75	0.0	6.25	0.0
ChristopheAF	22.64	130	83.08	1.54	11.54	3.85
kevincaseytdk1	21.88	39	64.1	5.13	30.77	0.0
Carunty	21.59	107	79.44	0.0	20.56	0.0
nitawa	21.43	17	70.59	0.0	29.41	0.0
robense	21.43	34	67.65	0.0	32.35	0.0
TimeHoodie	21.25	97	57.73	1.03	41.24	0.0
Spieler42	20.83	29	55.17	0.0	44.83	0.0
Hoodie	20.24	101	55.45	0.99	43.56	0.0
JackFrost	20.0	36	77.78	0.0	22.22	0.0
kopen	20.0	24	37.5	0.0	62.5	0.0
Onen	18.97	69	44.93	1.45	53.62	0.0
squirrel1988	18.52	32	75.0	0.0	25.0	0.0
ksfortson	17.71	113	91.15	0.0	8.85	0.0
cockdestroyer	17.65	20	85.0	0.0	15.0	0.0
frosty104	17.24	68	72.06	0.0	27.94	0.0
newduke	16.95	69	55.07	18.84	26.09	0.0
4head	16.67	21	76.19	0.0	23.81	0.0
Arcee	16.67	7	57.14	0.0	42.86	0.0
hakha3	16.67	35	77.14	0.0	22.86	0.0
Jtjg	16.67	7	100.0	0.0	0.0	0.0
micerang	16.67	14	85.71	0.0	14.29	0.0
vEnhance	16.67	7	85.71	0.0	14.29	0.0
Lanvin	16.13	252	67.86	1.59	29.76	0.79
jack67889	16.0	58	74.14	0.0	25.86	0.0
melwen	15.69	118	54.24	5.08	40.68	0.0
bob65536	15.38	15	73.33	0.0	26.67	0.0
Aluap	14.29	16	68.75	0.0	31.25	0.0
Bot-Fiora	14.29	8	37.5	0.0	62.5	0.0
duckmedic	14.29	96	93.75	1.04	5.21	0.0
eljavi	14.29	16	93.75	0.0	6.25	0.0
Feich59	14.29	8	100.0	0.0	0.0	0.0
RaKXeR	14.29	8	75.0	0.0	25.0	0.0
superbipbip	14.29	8	50.0	0.0	50.0	0.0
knaphill	13.64	25	76.0	0.0	24.0	0.0
katian	13.33	17	70.59	0.0	29.41	0.0
catula	12.5	9	100.0	0.0	0.0	0.0
Denchulitas	12.5	9	77.78	0.0	22.22	0.0
eliclax	12.5	9	66.67	0.0	33.33	0.0
jeff10	12.5	54	46.3	11.11	40.74	1.85
