Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Lel0uch	53.85	20	65.0	0.0	5.0	0.0
Mike	42.11	27	11.11	0.0	0.0	0.0
Andrey Khesin	33.33	28	7.14	0.0	0.0	7.14
Andrew_UK	28.57	63	1.59	0.0	0.0	9.52
910dan	22.86	43	11.63	0.0	0.0	27.91
qqqq	17.24	34	2.94	0.0	0.0	5.88
Yeesh	16.0	29	13.79	0.0	0.0	0.0
Instantiation	15.6	126	0.79	0.0	0.0	11.9
scharkbite	14.75	70	5.71	0.0	0.0	21.43
Libster	13.57	678	4.13	0.0	0.0	2.65
Cory	12.84	123	6.5	0.0	0.0	13.01
florrat2	12.07	650	1.23	0.0	0.0	3.23
postmans	11.26	168	0.6	0.0	0.0	1.79
Hyakinthus	10.0	33	6.06	0.0	0.0	0.0
RaKXeR	8.55	533	0.0	0.0	0.0	0.56
NoMercy	8.05	94	3.19	0.0	0.0	21.28
Zamiel	6.75	664	3.01	0.0	0.75	5.12
NotRaKXeR	6.16	431	0.0	0.0	0.0	0.0
Ahming	5.71	37	2.7	0.0	0.0	0.0
GamerSKTrashCan	0.0	22	0.0	0.0	0.0	0.0
NotCory	0.0	30	0.0	0.0	0.0	0.0
