Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Feer	62.5	52	76.92	5.77	17.31	0.0
smallman	53.85	20	100.0	0.0	0.0	0.0
Zakisan	53.33	23	60.87	0.0	39.13	0.0
indego	42.86	20	65.0	0.0	35.0	0.0
hanabornoob	42.31	37	67.57	0.0	32.43	0.0
DoubleDown11	41.46	58	75.86	0.0	24.14	0.0
Darth_Calculus	40.0	21	80.95	0.0	19.05	0.0
Maiorskills	37.21	59	77.97	0.0	22.03	0.0
Hunter	33.98	138	77.54	0.0	22.46	0.0
SedNegi	33.33	36	72.22	0.0	27.78	0.0
MarkusKahlsen	31.11	59	62.71	0.0	37.29	0.0
asaelr	30.75	540	60.56	3.52	35.93	0.0
qqqq	30.65	243	76.13	0.0	19.34	4.53
Smandon	30.0	39	76.92	0.0	23.08	0.0
wjomlex	29.73	48	91.67	0.0	8.33	0.0
910dan	28.92	107	44.86	0.0	12.15	42.99
Valetta6789	28.78	443	60.5	6.09	29.35	4.06
Wittvector	28.57	27	62.96	0.0	37.04	0.0
micerang	27.61	550	63.45	5.45	31.09	0.0
bradz	27.5	51	66.67	0.0	33.33	0.0
doome_burner	27.27	28	92.86	0.0	7.14	0.0
sjdrodge	27.19	290	84.14	0.0	14.48	1.38
rachyrules	26.79	71	98.59	0.0	1.41	0.0
Floriman	26.67	646	57.89	4.95	35.76	1.39
piper	25.4	79	48.1	0.0	50.63	1.27
Nitrate	25.22	144	73.61	0.0	26.39	0.0
IAMJEFF	25.11	593	64.92	5.56	28.67	0.84
Sucubis	25.0	120	66.67	3.33	30.0	0.0
Hyakinthus	24.66	91	52.75	0.0	30.77	16.48
Razgovor	24.22	159	91.82	0.0	7.55	0.63
Lel0uch	24.14	72	43.06	0.0	56.94	0.0
Ptheven	24.14	36	55.56	8.33	36.11	0.0
TheDaniMan	24.02	222	54.95	7.66	37.39	0.0
alercah	23.81	26	76.92	0.0	11.54	11.54
wortel	23.73	73	84.93	0.0	15.07	0.0
Asddsa76	23.64	272	72.06	0.0	22.06	5.88
Nitrate2	23.47	121	74.38	0.0	25.62	0.0
