Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
wolfpack	150.0	5	80.0	0.0	20.0	0.0
block1312	100.0	2	100.0	0.0	0.0	0.0
bomberman	100.0	2	0.0	0.0	100.0	0.0
DarthGandalf	100.0	2	100.0	0.0	0.0	0.0
ezahid1662	100.0	2	100.0	0.0	0.0	0.0
hanabornoob	100.0	2	50.0	0.0	50.0	0.0
Jake_Stiles	100.0	2	0.0	0.0	100.0	0.0
jian01	100.0	2	100.0	0.0	0.0	0.0
Jtjg	100.0	2	100.0	0.0	0.0	0.0
lolthisnotderk	100.0	2	100.0	0.0	0.0	0.0
MalachiteMoa	100.0	2	0.0	0.0	100.0	0.0
micerang	100.0	6	83.33	0.0	16.67	0.0
RaKXeR	100.0	4	75.0	0.0	25.0	0.0
RocknIce	100.0	10	100.0	0.0	0.0	0.0
Smiley532	100.0	2	100.0	0.0	0.0	0.0
squirtle	100.0	2	100.0	0.0	0.0	0.0
invarse	75.0	21	100.0	0.0	0.0	0.0
louietyj	75.0	7	71.43	0.0	28.57	0.0
mycarpe	75.0	7	100.0	0.0	0.0	0.0
Libster	66.67	5	40.0	0.0	60.0	0.0
RespectCaviar	66.67	5	100.0	0.0	0.0	0.0
avanderwalde	63.64	18	77.78	0.0	22.22	0.0
MasN	60.0	8	87.5	0.0	12.5	0.0
angel-a	50.0	6	83.33	0.0	16.67	0.0
anser	50.0	6	66.67	0.0	33.33	0.0
blueberry	50.0	6	50.0	0.0	50.0	0.0
caГ±a	50.0	3	100.0	0.0	0.0	0.0
Cory	50.0	9	77.78	0.0	22.22	0.0
dealiah	50.0	3	100.0	0.0	0.0	0.0
Kowalski1337	50.0	3	100.0	0.0	0.0	0.0
nwajfromoz	50.0	3	66.67	0.0	33.33	0.0
rkass	50.0	9	66.67	0.0	33.33	0.0
tyrtel	50.0	6	100.0	0.0	0.0	0.0
Feich59	45.45	16	81.25	6.25	12.5	0.0
jerryK	37.5	11	100.0	0.0	0.0	0.0
honzas	36.36	15	53.33	20.0	26.67	0.0
lotem	35.56	61	83.61	6.56	9.84	0.0
Puzzle	35.0	27	96.3	0.0	3.7	0.0
Valetta6789	35.0	27	62.96	0.0	37.04	0.0
Fey	34.83	120	66.67	0.0	33.33	0.0
bob65536	33.33	16	68.75	0.0	31.25	0.0
claudiob	33.33	4	25.0	0.0	75.0	0.0
CptAggro	33.33	4	100.0	0.0	0.0	0.0
crossproduct	33.33	8	100.0	0.0	0.0	0.0
Pepepe	33.33	24	79.17	0.0	20.83	0.0
poofart123	33.33	8	87.5	0.0	12.5	0.0
sean1815	33.33	4	100.0	0.0	0.0	0.0
metta	31.82	29	100.0	0.0	0.0	0.0
Pablo-	30.96	313	77.32	1.28	19.81	1.6
qbphoenix	30.43	30	63.33	6.67	30.0	0.0
Pe	30.0	26	80.77	0.0	19.23	0.0
hakha3	29.09	71	70.42	0.0	28.17	1.41
Bot-Fiora	28.57	9	33.33	0.0	66.67	0.0
Damian000	28.57	9	100.0	0.0	0.0	0.0
ricardodd	28.57	36	83.33	0.0	16.67	0.0
Syrah	28.57	9	44.44	0.0	55.56	0.0
Daryl	27.27	14	85.71	0.0	14.29	0.0
hakha	27.12	75	66.67	0.0	32.0	1.33
postmans	27.03	47	85.11	0.0	14.89	0.0
kodomazer	26.67	19	84.21	0.0	15.79	0.0
rs1	26.67	19	57.89	0.0	42.11	0.0
rachyrules	26.47	129	64.34	0.78	34.88	0.0
Veexliat	26.32	24	83.33	0.0	16.67	0.0
Pimak	26.09	29	72.41	0.0	27.59	0.0
doctorabi	25.97	97	50.52	2.06	44.33	3.09
timotree	25.64	49	67.35	6.12	26.53	0.0
Nitrate2	25.6	314	74.84	1.91	23.25	0.0
Carunty	25.58	54	68.52	1.85	29.63	0.0
Floriman	25.26	238	68.07	2.52	27.31	2.1
Aroma1997	25.0	5	80.0	0.0	20.0	0.0
Elatekur	25.0	10	100.0	0.0	0.0	0.0
hughjanus	25.0	5	60.0	0.0	40.0	0.0
level_17	25.0	5	100.0	0.0	0.0	0.0
Livia	25.0	35	60.0	0.0	40.0	0.0
notANewPlayer	25.0	5	80.0	0.0	20.0	0.0
PMP	25.0	5	40.0	0.0	60.0	0.0
vmplays	25.0	5	100.0	0.0	0.0	0.0
jack67889	24.85	211	71.09	1.42	27.01	0.47
frosty104	24.72	111	58.56	0.0	39.64	1.8
Nitrate	24.62	324	74.07	1.85	24.07	0.0
Kyle	24.14	216	59.72	2.78	34.26	3.24
IsabeltheCat	24.0	31	67.74	0.0	32.26	0.0
Denchulitas	23.98	212	64.15	0.0	32.55	3.3
ejwu	23.53	21	47.62	4.76	47.62	0.0
antitelharsic	23.33	37	75.68	0.0	24.32	0.0
MangoPie	23.29	90	58.89	0.0	41.11	0.0
Zakisan	23.28	233	63.52	2.15	34.33	0.0
eljavi	22.22	11	81.82	0.0	18.18	0.0
narabio	22.22	11	81.82	0.0	18.18	0.0
reuzed	22.22	11	90.91	0.0	9.09	0.0
sheamol	22.22	11	81.82	0.0	18.18	0.0
kevincaseytdk1	21.88	39	69.23	0.0	30.77	0.0
TheDaniMan	21.86	340	57.65	3.53	37.65	1.18
Fireheart	21.74	28	78.57	3.57	17.86	0.0
fr	21.67	146	61.64	0.0	36.99	1.37
possum	21.62	45	46.67	0.0	53.33	0.0
Dr_Kakashi	21.5	130	60.77	0.0	39.23	0.0
wortel	21.43	17	76.47	0.0	23.53	0.0
robense	21.11	109	65.14	0.0	33.94	0.92
vEnhance	21.05	23	78.26	0.0	21.74	0.0
dobi	20.48	100	56.0	1.0	43.0	0.0
Sucubis	20.48	200	54.5	2.5	39.0	4.0
jeff10	20.37	65	64.62	1.54	33.85	0.0
ArualEIs	20.0	6	100.0	0.0	0.0	0.0
chriswck	20.0	6	100.0	0.0	0.0	0.0
kinkajusrevenge	20.0	6	66.67	0.0	33.33	0.0
TimeHoodie	19.92	283	62.54	1.06	35.69	0.71
Bonja97	19.82	133	72.93	0.0	25.56	1.5
Animex52	19.74	91	67.03	2.2	30.77	0.0
MarkusKahlsen	19.43	375	69.33	1.6	28.8	0.27
Hoodie	19.26	291	62.2	1.03	36.08	0.69
DMoney	18.57	83	69.88	0.0	30.12	0.0
catula	18.35	187	69.52	0.0	28.88	1.6
asaelr	18.32	239	62.76	2.09	35.15	0.0
BananaBum	18.18	13	92.31	0.0	7.69	0.0
frollo9386	18.18	13	92.31	0.0	7.69	0.0
knaphill	18.18	39	48.72	0.0	51.28	0.0
sjdrodge	18.18	13	61.54	0.0	38.46	0.0
voss	18.18	13	61.54	0.0	30.77	7.69
colton	17.86	33	66.67	0.0	33.33	0.0
methmatics	17.86	33	78.79	3.03	15.15	3.03
ADrone	17.65	20	75.0	0.0	25.0	0.0
derekcheah	17.33	264	63.26	1.14	35.61	0.0
cockdestroyer	17.09	185	72.97	1.08	23.78	2.16
melwen	16.92	615	73.82	3.25	22.76	0.16
Smandon	16.67	7	28.57	0.0	71.43	0.0
XMIL	16.67	42	80.95	0.0	19.05	0.0
zeinab001	16.67	7	71.43	0.0	28.57	0.0
sin_faith	16.28	150	67.33	2.0	26.67	4.0
Lilliana	16.22	43	65.12	6.98	27.91	0.0
scharkbite	16.03	152	65.79	1.97	32.24	0.0
