Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
binomial0	200.0	3	100.0	0.0	0.0	0.0
butterywombat	200.0	3	100.0	0.0	0.0	0.0
duckless	200.0	3	66.67	0.0	0.0	33.33
Plum	200.0	3	66.67	0.0	33.33	0.0
possum	133.33	7	71.43	0.0	28.57	0.0
awe	100.0	2	100.0	0.0	0.0	0.0
Cration	100.0	2	100.0	0.0	0.0	0.0
djjones	100.0	2	100.0	0.0	0.0	0.0
Elatekur	100.0	2	100.0	0.0	0.0	0.0
jack_0f_hearts	100.0	4	100.0	0.0	0.0	0.0
Maverick	100.0	2	100.0	0.0	0.0	0.0
Meowie	100.0	2	100.0	0.0	0.0	0.0
PMP	100.0	6	66.67	0.0	33.33	0.0
rahsosprout	100.0	6	100.0	0.0	0.0	0.0
savoryoatmeal	100.0	2	100.0	0.0	0.0	0.0
Smiley532	100.0	2	100.0	0.0	0.0	0.0
Turkish	100.0	2	100.0	0.0	0.0	0.0
Spieler42	83.33	11	100.0	0.0	0.0	0.0
zeinab001	75.0	7	100.0	0.0	0.0	0.0
Iullo	66.67	5	100.0	0.0	0.0	0.0
AshleyBridge	60.0	8	75.0	0.0	25.0	0.0
methmatics	60.0	8	87.5	0.0	12.5	0.0
bustadimes	50.0	3	100.0	0.0	0.0	0.0
CastlesInTheAir	50.0	6	50.0	0.0	50.0	0.0
dmigor3	50.0	3	100.0	0.0	0.0	0.0
Dwu123	50.0	3	66.67	0.0	33.33	0.0
fakebustadimes	50.0	3	100.0	0.0	0.0	0.0
kinkajusrevenge	50.0	3	66.67	0.0	33.33	0.0
MKQ	50.0	3	100.0	0.0	0.0	0.0
sheriff	50.0	3	100.0	0.0	0.0	0.0
squidgetx	50.0	3	100.0	0.0	0.0	0.0
vjk	50.0	3	100.0	0.0	0.0	0.0
voss	50.0	6	83.33	0.0	16.67	0.0
bulbasaur	42.86	10	80.0	20.0	0.0	0.0
Feich59	41.67	17	94.12	5.88	0.0	0.0
qbphoenix	40.0	7	100.0	0.0	0.0	0.0
squirtle	40.0	7	100.0	0.0	0.0	0.0
wolfpack	40.0	7	57.14	0.0	42.86	0.0
hakha3	37.5	33	72.73	0.0	18.18	9.09
antitelharsic	33.33	36	86.11	5.56	8.33	0.0
Bot-Fiora	33.33	8	100.0	0.0	0.0	0.0
CaitlinSmith	33.33	4	75.0	0.0	25.0	0.0
CoxZuckrMachine	33.33	4	100.0	0.0	0.0	0.0
ejwu	33.33	4	100.0	0.0	0.0	0.0
eliclax	33.33	4	75.0	0.0	25.0	0.0
fow	33.33	4	75.0	0.0	25.0	0.0
IsabeltheCat	33.33	16	100.0	0.0	0.0	0.0
narabio	33.33	8	100.0	0.0	0.0	0.0
nkkarpov	33.33	4	100.0	0.0	0.0	0.0
QueenVic	33.33	4	50.0	0.0	50.0	0.0
sckuzzle	33.33	4	100.0	0.0	0.0	0.0
Syrah	33.33	4	50.0	0.0	50.0	0.0
asaelr	32.0	132	65.15	6.06	20.45	8.33
Fey	31.55	246	81.3	0.81	16.26	1.63
vEnhance	30.77	17	88.24	0.0	11.76	0.0
boba	30.0	26	76.92	7.69	11.54	3.85
Valetta6789	29.63	35	74.29	8.57	17.14	0.0
StKildaFan	28.85	67	64.18	0.0	34.33	1.49
TheWaisel	28.57	9	100.0	0.0	0.0	0.0
ThorsKraken	28.57	9	88.89	0.0	11.11	0.0
macanek	27.45	65	64.62	13.85	20.0	1.54
orucsoraihc	26.32	24	75.0	0.0	25.0	0.0
IAMJEFF	26.09	58	70.69	0.0	29.31	0.0
amyy	25.0	5	60.0	0.0	40.0	0.0
Aroma1997	25.0	5	60.0	0.0	40.0	0.0
Batzi	25.0	5	100.0	0.0	0.0	0.0
blastzit	25.0	5	100.0	0.0	0.0	0.0
CompleteTrust	25.0	10	40.0	0.0	60.0	0.0
level_17	25.0	10	60.0	40.0	0.0	0.0
sankala fan	25.0	5	100.0	0.0	0.0	0.0
frosty104	24.59	76	64.47	2.63	28.95	3.95
Zakisan	24.51	127	80.31	3.15	16.54	0.0
MangoPie	24.0	31	67.74	9.68	19.35	3.23
Div	23.81	26	92.31	0.0	7.69	0.0
derekcheah	23.61	89	41.57	2.25	51.69	4.49
rachyrules	23.08	48	77.08	0.0	22.92	0.0
Veexliat	23.08	16	100.0	0.0	0.0	0.0
MarkusKahlsen	22.95	75	78.67	0.0	21.33	0.0
Bonja97	22.22	11	45.45	0.0	54.55	0.0
Carunty	21.88	39	79.49	0.0	20.51	0.0
Aluap	21.43	17	41.18	0.0	58.82	0.0
dobi	21.43	34	26.47	0.0	70.59	2.94
Pepepe	21.43	17	100.0	0.0	0.0	0.0
robense	21.18	103	91.26	0.0	7.77	0.97
MasN	21.05	23	86.96	0.0	13.04	0.0
Ahming	20.0	6	50.0	0.0	50.0	0.0
bob65536	20.0	6	100.0	0.0	0.0	0.0
Jake_Stiles	20.0	12	83.33	0.0	16.67	0.0
louietyj	20.0	6	100.0	0.0	0.0	0.0
micerang	20.0	48	85.42	2.08	12.5	0.0
sankala	20.0	6	100.0	0.0	0.0	0.0
wortel	20.0	6	83.33	0.0	16.67	0.0
Hoodie	19.61	372	65.86	3.76	25.0	5.38
swineherd	19.57	55	76.36	5.45	18.18	0.0
TimeHoodie	19.48	368	66.58	2.72	25.27	5.43
Floriman	19.23	155	67.1	7.1	22.58	3.23
ADrone	19.05	25	96.0	0.0	4.0	0.0
jack67889	19.05	100	59.0	5.0	33.0	3.0
nitawa	19.05	25	92.0	0.0	8.0	0.0
VerySloppyTwo	18.87	63	71.43	0.0	23.81	4.76
Lel0uch	18.61	325	66.46	4.62	26.46	2.46
cockdestroyer	18.6	51	84.31	3.92	11.76	0.0
timotree	18.6	51	74.51	0.0	21.57	3.92
qqqq	18.52	32	56.25	0.0	43.75	0.0
kd	18.18	52	84.62	3.85	11.54	0.0
ricardodd	18.18	13	61.54	0.0	38.46	0.0
will.i.am	18.18	39	56.41	10.26	33.33	0.0
catula	17.65	100	71.0	0.0	29.0	0.0
Tiramisu1th	17.65	20	95.0	0.0	5.0	0.0
charmander	17.24	68	92.65	0.0	7.35	0.0
LaFayetteX	17.19	75	78.67	2.67	18.67	0.0
ChristopheAF	17.14	82	76.83	0.0	23.17	0.0
Buds	16.67	14	100.0	0.0	0.0	0.0
frollo9386	16.67	7	57.14	0.0	42.86	0.0
Jtjg	16.67	7	71.43	0.0	28.57	0.0
NoAnni	16.67	7	100.0	0.0	0.0	0.0
Othnia	16.67	14	85.71	0.0	14.29	0.0
Shos	16.67	7	100.0	0.0	0.0	0.0
sjdrodge	16.67	7	100.0	0.0	0.0	0.0
superbipbip	16.67	56	94.64	0.0	5.36	0.0
Lanvin	16.36	128	71.09	1.56	25.78	1.56
sephiroth	16.28	150	67.33	2.0	26.67	4.0
doctorabi	16.05	94	54.26	0.0	34.04	11.7
Dr_Kakashi	15.74	375	66.4	14.93	14.4	4.27
Nitrate	15.53	119	78.15	1.68	20.17	0.0
chriswck	15.38	15	100.0	0.0	0.0	0.0
colton	15.38	15	73.33	0.0	26.67	0.0
Lilliana	15.38	15	60.0	26.67	13.33	0.0
melwen	15.05	107	62.62	5.61	31.78	0.0
Pimak	15.0	23	52.17	8.7	39.13	0.0
scharkbite	15.0	115	73.91	6.96	16.52	2.61
Kyle	14.94	277	69.31	1.08	28.52	1.08
plus	14.55	63	76.19	11.11	12.7	0.0
Pablo-	14.47	87	55.17	5.75	26.44	12.64
indego	14.39	151	49.01	7.95	42.38	0.66
BillaVGC	14.29	8	100.0	0.0	0.0	0.0
Doge	14.29	8	100.0	0.0	0.0	0.0
Kernel	14.29	8	100.0	0.0	0.0	0.0
magikarp	14.29	24	66.67	4.17	29.17	0.0
padi	14.12	97	87.63	4.12	6.19	2.06
TheDaniMan	13.86	115	66.09	12.17	20.87	0.87
piper	13.79	33	100.0	0.0	0.0	0.0
Nitrate2	13.54	109	78.9	1.83	19.27	0.0
Livia	13.04	52	34.62	30.77	28.85	5.77
honzas	12.96	61	78.69	0.0	21.31	0.0
BraydonM	12.5	9	77.78	0.0	22.22	0.0
knaphill	12.5	9	55.56	0.0	44.44	0.0
pianoblook	11.94	75	74.67	1.33	24.0	0.0
Nils	11.76	57	80.7	0.0	19.3	0.0
Animex52	11.63	48	72.92	0.0	27.08	0.0
XMIL	11.54	58	84.48	0.0	15.52	0.0
Sucubis	11.29	138	63.04	0.72	30.43	5.8
DMoney	11.11	10	20.0	0.0	80.0	0.0
squirrel1988	11.11	10	100.0	0.0	0.0	0.0
wump	11.11	20	80.0	0.0	20.0	0.0
alphabeta	10.71	31	87.1	0.0	12.9	0.0
