Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
piper	81.25	29	44.83	20.69	34.48	0.0
ADrone	76.19	37	35.14	40.54	24.32	0.0
CptAggro	62.69	109	99.08	0.0	0.92	0.0
kopen	53.85	20	45.0	5.0	50.0	0.0
pianoblook	48.28	43	46.51	20.93	32.56	0.0
kimbifille	46.15	76	50.0	14.47	35.53	0.0
Ptheven	43.75	46	86.96	10.87	2.17	0.0
derekcheah	42.86	20	85.0	0.0	15.0	0.0
fuckthiswebsite	42.37	373	93.3	2.68	4.02	0.0
florrat2	41.43	99	65.66	2.02	6.06	26.26
wjomlex	41.38	123	88.62	0.0	11.38	0.0
hanabilawyer01	41.07	79	100.0	0.0	0.0	0.0
snkylittleazn	36.67	41	100.0	0.0	0.0	0.0
paulcd2000	36.42	723	87.83	5.53	6.64	0.0
micerang	33.19	317	91.48	0.32	8.2	0.0
efaust	33.04	2106	82.81	2.71	14.48	0.0
joelwool	31.71	54	90.74	0.0	9.26	0.0
Feer	30.84	140	74.29	0.0	25.71	0.0
scharkbite	28.3	204	81.86	0.0	16.18	1.96
Libster	27.65	217	71.43	6.91	7.37	14.29
kemurphy	27.17	777	78.25	0.77	20.98	0.0
NoMercy	26.32	216	74.07	1.39	13.89	10.65
darkenblade986	26.09	58	98.28	0.0	1.72	0.0
Kyle	25.0	35	65.71	8.57	25.71	0.0
RaKXeR	25.0	30	93.33	0.0	6.67	0.0
Asddsa76	24.71	106	86.79	0.0	9.43	3.77
forgotmyacct	24.36	194	96.91	0.0	3.09	0.0
wortel	24.0	62	90.32	0.0	9.68	0.0
Fireheart	22.45	60	61.67	0.0	38.33	0.0
Hunter	21.82	67	95.52	0.0	4.48	0.0
Kakashi	20.17	143	85.31	0.7	13.99	0.0
Andrew_UK	19.05	150	82.0	0.0	14.67	3.33
Fellatiowned	18.42	45	66.67	0.0	26.67	6.67
IAMJEFF	18.33	71	67.61	2.82	29.58	0.0
Dr_Kakashi	18.18	91	76.92	1.1	21.98	0.0
Zamiel	17.56	241	72.2	6.22	12.86	8.71
Razgovor	16.42	78	88.46	0.0	11.54	0.0
dcu4life	13.64	25	100.0	0.0	0.0	0.0
Cory	12.12	74	79.73	0.0	18.92	1.35
Valetta6789	11.76	38	47.37	0.0	52.63	0.0
isuckatthisgame	10.0	22	100.0	0.0	0.0	0.0
padi	0.0	23	0.0	0.0	0.0	100.0
