Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
asaelr	200.0	3	66.67	0.0	33.33	0.0
Div	200.0	3	100.0	0.0	0.0	0.0
wump	200.0	6	100.0	0.0	0.0	0.0
ksfortson	150.0	5	100.0	0.0	0.0	0.0
Asddsa76	100.0	2	0.0	0.0	100.0	0.0
CaitlinSmith	100.0	2	100.0	0.0	0.0	0.0
ejwu	100.0	2	100.0	0.0	0.0	0.0
Espen	100.0	2	100.0	0.0	0.0	0.0
Fey	100.0	8	100.0	0.0	0.0	0.0
ricardodd	100.0	2	100.0	0.0	0.0	0.0
tezeteta	100.0	2	100.0	0.0	0.0	0.0
TimeHoodie	100.0	2	50.0	0.0	50.0	0.0
VerySloppyTwo	100.0	2	100.0	0.0	0.0	0.0
zeinab001	100.0	4	75.0	0.0	25.0	0.0
antitelharsic	50.0	3	100.0	0.0	0.0	0.0
ArualEIs	50.0	9	100.0	0.0	0.0	0.0
Cration	50.0	3	100.0	0.0	0.0	0.0
disco.py	50.0	3	100.0	0.0	0.0	0.0
dobi	50.0	6	83.33	0.0	16.67	0.0
hakha3	50.0	3	0.0	0.0	100.0	0.0
LamboXD	50.0	3	100.0	0.0	0.0	0.0
lolthisnotderk	50.0	9	100.0	0.0	0.0	0.0
MarkusKahlsen	50.0	3	66.67	0.0	33.33	0.0
otterful	50.0	3	100.0	0.0	0.0	0.0
qqqq	50.0	3	100.0	0.0	0.0	0.0
torp	50.0	9	88.89	0.0	11.11	0.0
Pimak	42.86	20	100.0	0.0	0.0	0.0
MangoPie	41.67	17	70.59	0.0	29.41	0.0
louietyj	37.5	11	81.82	0.0	18.18	0.0
rahsosprout	35.71	19	94.74	0.0	5.26	0.0
eliclax	35.0	27	70.37	0.0	29.63	0.0
FerKeth	33.33	4	100.0	0.0	0.0	0.0
jack67889	33.33	4	25.0	0.0	75.0	0.0
sean1815	33.33	4	100.0	0.0	0.0	0.0
possum	28.57	45	75.56	0.0	24.44	0.0
Denchulitas	27.27	14	57.14	0.0	42.86	0.0
arnino	25.0	5	40.0	0.0	60.0	0.0
ChristopheAF	25.0	5	100.0	0.0	0.0	0.0
IsabeltheCat	25.0	5	60.0	0.0	40.0	0.0
Pii	25.0	5	100.0	0.0	0.0	0.0
eljavi	23.53	21	90.48	0.0	9.52	0.0
banjoleb	22.22	11	100.0	0.0	0.0	0.0
Plum	20.0	6	100.0	0.0	0.0	0.0
4head	18.75	19	89.47	0.0	10.53	0.0
iamfelix	17.31	61	85.25	0.0	14.75	0.0
DarthGandalf	16.67	7	100.0	0.0	0.0	0.0
macanek	16.0	29	93.1	0.0	6.9	0.0
katian	14.98	376	80.32	2.66	17.02	0.0
BraydonM	14.29	8	62.5	0.0	37.5	0.0
sephiroth	14.29	8	87.5	0.0	12.5	0.0
Lanvin	13.89	41	90.24	0.0	9.76	0.0
indego	13.33	34	79.41	0.0	20.59	0.0
NN	12.5	9	100.0	0.0	0.0	0.0
PMP	12.5	9	100.0	0.0	0.0	0.0
Wittvector	12.5	18	72.22	0.0	27.78	0.0
Lel0uch	11.11	10	90.0	0.0	10.0	0.0
Krepps57	10.97	172	92.44	0.0	7.56	0.0
Spieler42	10.0	11	63.64	0.0	36.36	0.0
akamaru	0.0	2	100.0	0.0	0.0	0.0
Amelia0417	0.0	1	100.0	0.0	0.0	0.0
Apathetic	0.0	3	100.0	0.0	0.0	0.0
archieee	0.0	1	100.0	0.0	0.0	0.0
asdfew	0.0	3	100.0	0.0	0.0	0.0
BananaBum	0.0	7	100.0	0.0	0.0	0.0
Bot-Fiora	0.0	1	100.0	0.0	0.0	0.0
Carunty	0.0	3	100.0	0.0	0.0	0.0
catula	0.0	4	50.0	0.0	50.0	0.0
corys	0.0	3	100.0	0.0	0.0	0.0
desymo99	0.0	1	100.0	0.0	0.0	0.0
doctorabi	0.0	1	100.0	0.0	0.0	0.0
DrJones	0.0	3	100.0	0.0	0.0	0.0
duckington	0	1	0.0	0.0	100.0	0.0
Este	0.0	1	100.0	0.0	0.0	0.0
Feich59	0.0	1	100.0	0.0	0.0	0.0
Floriman	0.0	2	100.0	0.0	0.0	0.0
frosty104	0.0	13	84.62	0.0	15.38	0.0
gchang02	0	1	100.0	0.0	0.0	0.0
geenar	0	2	100.0	0.0	0.0	0.0
Gr8Dan	0.0	1	100.0	0.0	0.0	0.0
griff77	0.0	1	100.0	0.0	0.0	0.0
HelanaAshryvr	0.0	1	100.0	0.0	0.0	0.0
iris102525	0.0	1	100.0	0.0	0.0	0.0
Jenny101	0.0	1	100.0	0.0	0.0	0.0
joaep2	0.0	1	100.0	0.0	0.0	0.0
Kernel	0.0	1	100.0	0.0	0.0	0.0
kinkajusrevenge	0.0	2	100.0	0.0	0.0	0.0
knaphill	0.0	1	100.0	0.0	0.0	0.0
melwen	0.0	2	0.0	0.0	100.0	0.0
methmatics	0.0	3	100.0	0.0	0.0	0.0
MissedFinesse	0	3	100.0	0.0	0.0	0.0
narabio	0.0	1	100.0	0.0	0.0	0.0
Nchin012	0	1	100.0	0.0	0.0	0.0
newduke	0.0	2	100.0	0.0	0.0	0.0
Nexus	0	1	100.0	0.0	0.0	0.0
Onen	0.0	6	100.0	0.0	0.0	0.0
ontak	0.0	2	0.0	0.0	100.0	0.0
Pablo-	0.0	1	0.0	0.0	100.0	0.0
poofart123	0.0	1	100.0	0.0	0.0	0.0
radizomic	0.0	2	100.0	0.0	0.0	0.0
RaptorReleased	0.0	1	100.0	0.0	0.0	0.0
raramra	0.0	1	100.0	0.0	0.0	0.0
robense	0.0	2	50.0	0.0	50.0	0.0
rz	0.0	4	75.0	0.0	25.0	0.0
