Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
antitelharsic	17.65	20	15.0	0.0	85.0	0.0
bjnh	16.83	118	57.63	0.0	42.37	0.0
HelanaAshryvr	16.44	517	44.29	5.42	48.36	1.93
Lanvin	16.38	334	57.19	1.2	41.62	0.0
MangoPie	16.28	50	52.0	2.0	46.0	0.0
rz	14.81	31	74.19	0.0	25.81	0.0
boba	14.0	57	29.82	19.3	50.88	0.0
dobi	11.63	48	37.5	0.0	62.5	0.0
asaelr	11.11	20	30.0	0.0	70.0	0.0
FerKeth	10.53	21	76.19	0.0	23.81	0.0
melwen	10.53	189	36.51	0.0	63.49	0.0
VerySloppyTwo	9.62	57	75.44	1.75	22.81	0.0
Lel0uch	9.52	230	45.65	0.87	53.48	0.0
Durandal	9.38	385	31.69	6.23	54.29	7.79
indego	9.09	48	45.83	12.5	41.67	0.0
Nitrate	9.09	24	75.0	0.0	25.0	0.0
ChristopheAF	4.69	67	56.72	5.97	37.31	0.0
