Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
dobi	66.67	25	76.0	0.0	24.0	0.0
possum	46.67	22	90.91	0.0	9.09	0.0
rachyrules	39.13	32	68.75	0.0	31.25	0.0
StKildaFan	39.13	32	81.25	3.12	15.62	0.0
Nitrate2	37.04	111	73.87	6.31	19.82	0.0
lotem	33.33	24	95.83	0.0	4.17	0.0
ChristopheAF	32.0	33	75.76	6.06	18.18	0.0
orucsoraihc	31.25	21	95.24	0.0	4.76	0.0
Floriman	30.61	64	59.38	7.81	32.81	0.0
jeff10	29.41	44	65.91	4.55	29.55	0.0
rz	29.27	53	75.47	3.77	20.75	0.0
timotree	27.78	46	63.04	0.0	36.96	0.0
Zakisan	27.69	83	75.9	3.61	20.48	0.0
TimeHoodie	27.0	127	70.08	0.0	29.92	0.0
Hoodie	25.96	131	67.94	0.0	32.06	0.0
VerySloppyTwo	25.0	25	64.0	0.0	36.0	0.0
MarkusKahlsen	24.84	191	61.26	3.66	35.08	0.0
Fey	24.32	46	71.74	0.0	28.26	0.0
Dr_Kakashi	23.81	26	73.08	7.69	19.23	0.0
hakha3	23.53	21	28.57	0.0	71.43	0.0
Carunty	23.08	32	90.62	0.0	9.38	0.0
jack67889	22.86	43	79.07	0.0	20.93	0.0
asaelr	22.76	151	64.24	4.64	30.46	0.66
robense	22.5	49	81.63	0.0	18.37	0.0
wump	22.22	22	45.45	0.0	54.55	0.0
plus	22.08	94	56.38	11.7	31.91	0.0
Lel0uch	21.31	74	47.3	0.0	52.7	0.0
kimbifille	20.83	29	86.21	0.0	13.79	0.0
Lanvin	20.63	76	56.58	2.63	40.79	0.0
sin_faith	19.57	55	76.36	5.45	18.18	0.0
Bonja97	19.44	86	52.33	0.0	47.67	0.0
melwen	18.26	259	68.34	6.56	25.1	0.0
honzas	18.18	26	46.15	0.0	53.85	0.0
Pablo-	18.07	98	63.27	1.02	35.71	0.0
Kyle	17.82	119	76.47	1.68	21.85	0.0
metta	17.65	20	100.0	0.0	0.0	0.0
antitelharsic	17.24	34	79.41	2.94	17.65	0.0
TheDaniMan	16.74	258	46.51	5.43	48.06	0.0
postmans	16.67	21	52.38	4.76	42.86	0.0
derekcheah	16.56	183	64.48	5.46	30.05	0.0
Wittvector	16.22	86	76.74	1.16	22.09	0.0
frosty104	15.38	30	36.67	0.0	63.33	0.0
sephiroth	15.38	330	63.03	3.33	33.64	0.0
DMoney	14.29	64	79.69	6.25	14.06	0.0
doctorabi	14.06	73	54.79	0.0	45.21	0.0
cockdestroyer	13.04	26	69.23	11.54	19.23	0.0
ebin_noob	13.04	26	46.15	0.0	53.85	0.0
newduke	12.35	91	76.92	2.2	20.88	0.0
indego	12.28	64	54.69	4.69	40.62	0.0
scharkbite	12.05	93	63.44	1.08	35.48	0.0
XMIL	12.0	56	80.36	8.93	10.71	0.0
pianoblook	11.76	114	64.91	9.65	25.44	0.0
avanderwalde	11.54	29	68.97	6.9	24.14	0.0
piper	10.34	32	68.75	0.0	31.25	0.0
Pepepe	10.0	22	81.82	0.0	18.18	0.0
ejwu	9.52	23	47.83	0.0	52.17	0.0
will.i.am	8.72	187	67.38	3.74	28.88	0.0
joelwool	8.51	51	66.67	0.0	33.33	0.0
catula	8.0	27	81.48	0.0	14.81	3.7
