Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
postmans	27.59	37	83.78	0.0	16.22	0.0
sin_faith	25.0	30	43.33	13.33	43.33	0.0
Lilliana	24.0	31	70.97	22.58	6.45	0.0
MarkusKahlsen	23.93	145	42.76	6.21	51.03	0.0
piper	22.97	91	62.64	0.0	37.36	0.0
ebin_noob	20.0	36	83.33	0.0	16.67	0.0
timotree	20.0	24	54.17	0.0	45.83	0.0
micerang	18.18	26	46.15	0.0	53.85	0.0
Zakisan	17.39	54	48.15	7.41	44.44	0.0
honzas	17.24	34	32.35	8.82	58.82	0.0
avanderwalde	16.67	28	53.57	0.0	46.43	0.0
TheDaniMan	15.94	240	46.25	5.83	46.25	1.67
Nitrate2	15.79	88	82.95	2.27	14.77	0.0
padi	15.0	46	69.57	0.0	30.43	0.0
joelwool	14.29	112	52.68	0.0	47.32	0.0
XMIL	13.95	49	48.98	0.0	51.02	0.0
plus	13.04	234	62.82	0.85	34.62	1.71
pianoblook	13.0	226	61.95	3.98	31.86	2.21
DMoney	12.58	179	35.2	4.47	60.34	0.0
TimeHoodie	12.21	147	54.42	0.0	45.58	0.0
kimbifille	11.63	48	35.42	2.08	56.25	6.25
derekcheah	11.61	298	66.78	3.02	30.2	0.0
Floriman	11.54	58	46.55	12.07	37.93	3.45
lotem	11.43	39	69.23	0.0	30.77	0.0
asaelr	11.11	50	30.0	0.0	70.0	0.0
Valetta6789	11.11	20	40.0	40.0	20.0	0.0
kalisa	10.53	21	57.14	19.05	23.81	0.0
newduke	10.0	33	39.39	0.0	60.61	0.0
Bonja97	9.38	140	47.14	0.0	51.43	1.43
scharkbite	9.38	420	51.67	4.76	43.33	0.24
qbphoenix	8.7	50	36.0	2.0	62.0	0.0
Animex52	8.33	26	23.08	0.0	76.92	0.0
Fey	8.33	26	42.31	0.0	57.69	0.0
florrat2	8.33	26	92.31	3.85	3.85	0.0
Kyle	8.24	197	43.65	5.08	49.24	2.03
melwen	7.85	426	65.26	6.1	27.7	0.94
Pablo-	7.69	70	51.43	4.29	44.29	0.0
Dr_Kakashi	7.04	76	34.21	0.0	63.16	2.63
swineherd	6.76	158	64.56	4.43	31.01	0.0
sephiroth	6.61	242	69.42	6.2	23.14	1.24
kooolant	5.88	54	83.33	0.0	16.67	0.0
Zamiel	5.88	54	57.41	1.85	35.19	5.56
RaKXeR	4.76	22	90.91	0.0	9.09	0.0
robense	4.35	24	41.67	8.33	45.83	4.17
Ahming	0.0	21	52.38	4.76	38.1	4.76
Isa	0.0	25	60.0	0.0	40.0	0.0
IsabeltheCat	0.0	25	60.0	0.0	40.0	0.0
jack67889	0.0	25	28.0	8.0	64.0	0.0
jeff10	0.0	27	77.78	0.0	14.81	7.41
