Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Yuchan_Yang	200.0	3	100.0	0.0	0.0	0.0
sephiroth	150.0	5	80.0	0.0	20.0	0.0
4head	100.0	2	100.0	0.0	0.0	0.0
blindedot	100.0	2	100.0	0.0	0.0	0.0
colton	100.0	2	100.0	0.0	0.0	0.0
HariKrishnan	100.0	2	100.0	0.0	0.0	0.0
knaphill	100.0	2	50.0	0.0	50.0	0.0
poofart123	100.0	2	100.0	0.0	0.0	0.0
rinka	100.0	2	100.0	0.0	0.0	0.0
rz	100.0	4	100.0	0.0	0.0	0.0
sean1815	100.0	4	100.0	0.0	0.0	0.0
sin_nofaith	100.0	2	100.0	0.0	0.0	0.0
VerySloppyTwo	100.0	4	75.0	0.0	25.0	0.0
HelanaAshryvr	60.0	8	50.0	0.0	50.0	0.0
possum	55.56	28	71.43	0.0	28.57	0.0
aquarelle	50.0	3	100.0	0.0	0.0	0.0
BananaBum	50.0	3	100.0	0.0	0.0	0.0
catula	50.0	3	33.33	0.0	66.67	0.0
corys	50.0	3	100.0	0.0	0.0	0.0
Fey	50.0	3	100.0	0.0	0.0	0.0
indego	50.0	9	100.0	0.0	0.0	0.0
Kyle	50.0	3	66.67	0.0	33.33	0.0
Lel0uch	50.0	6	100.0	0.0	0.0	0.0
MarkusKahlsen	50.0	6	83.33	0.0	16.67	0.0
timotree	50.0	3	66.67	0.0	33.33	0.0
xor	50.0	3	100.0	0.0	0.0	0.0
MangoPie	40.0	7	100.0	0.0	0.0	0.0
sin_faith	40.0	7	57.14	0.0	42.86	0.0
Lanvin	37.5	11	54.55	0.0	45.45	0.0
griff77	36.36	15	80.0	0.0	20.0	0.0
duckless	33.33	4	100.0	0.0	0.0	0.0
MathNoob	33.33	56	94.64	0.0	5.36	0.0
rahsosprout	33.33	4	100.0	0.0	0.0	0.0
asaelr	28.57	9	66.67	0.0	33.33	0.0
hakha3	28.57	9	44.44	0.0	55.56	0.0
ADrone	25.0	5	100.0	0.0	0.0	0.0
anoob	25.0	10	100.0	0.0	0.0	0.0
Bonja97	25.0	5	60.0	0.0	40.0	0.0
ChristopheAF	25.0	5	100.0	0.0	0.0	0.0
Nitrate	25.0	5	100.0	0.0	0.0	0.0
voss	25.0	5	60.0	0.0	40.0	0.0
nachoz	24.24	41	97.56	0.0	2.44	0.0
Wittvector	23.53	21	85.71	0.0	14.29	0.0
AngryAny	21.43	17	76.47	0.0	23.53	0.0
DarthGandalf	20.0	6	66.67	0.0	33.33	0.0
MalachiteMoa	20.0	6	50.0	0.0	50.0	0.0
Syrah	20.0	6	50.0	0.0	50.0	0.0
ksfortson	16.67	7	100.0	0.0	0.0	0.0
Aluap	14.29	8	87.5	0.0	12.5	0.0
CaitlinSmith	14.29	8	87.5	0.0	12.5	0.0
Damian000	12.5	9	100.0	0.0	0.0	0.0
PotatoLatte	12.07	65	84.62	0.0	15.38	0.0
Denchulitas	10.0	11	54.55	0.0	45.45	0.0
eljavi	10.0	11	100.0	0.0	0.0	0.0
wump	10.0	11	81.82	0.0	18.18	0.0
Spieler42	9.09	12	100.0	0.0	0.0	0.0
Animex52	0.0	1	100.0	0.0	0.0	0.0
asdfew	0.0	3	100.0	0.0	0.0	0.0
banana123	0.0	1	100.0	0.0	0.0	0.0
basking	0.0	4	100.0	0.0	0.0	0.0
bjnh	0.0	1	100.0	0.0	0.0	0.0
bluewhale1024	0.0	2	100.0	0.0	0.0	0.0
bob4224	0.0	2	100.0	0.0	0.0	0.0
bobi	0.0	1	100.0	0.0	0.0	0.0
bot_31	0.0	1	100.0	0.0	0.0	0.0
bot_41	0.0	1	100.0	0.0	0.0	0.0
BraydonM	0.0	1	0.0	0.0	100.0	0.0
cockdestroyer	0.0	1	100.0	0.0	0.0	0.0
Cylence	0.0	8	100.0	0.0	0.0	0.0
digitalcard	0.0	1	100.0	0.0	0.0	0.0
Directive	0	1	100.0	0.0	0.0	0.0
dobi	0	3	100.0	0.0	0.0	0.0
eliclax	0.0	2	100.0	0.0	0.0	0.0
Espen	0.0	1	100.0	0.0	0.0	0.0
flaaffy	0.0	2	100.0	0.0	0.0	0.0
frosty104	0	1	100.0	0.0	0.0	0.0
ichaelm	0	1	100.0	0.0	0.0	0.0
IsabeltheCat	0.0	14	21.43	0.0	78.57	0.0
jack67889	0.0	2	0.0	0.0	100.0	0.0
jeff10	0.0	3	33.33	0.0	66.67	0.0
jian01	0.0	1	100.0	0.0	0.0	0.0
jucijuce	0.0	4	100.0	0.0	0.0	0.0
juyoung123	0.0	4	100.0	0.0	0.0	0.0
kevincaseytdk1	0.0	4	50.0	0.0	50.0	0.0
kinkajusrevenge	0.0	6	83.33	0.0	16.67	0.0
KM1317	0.0	1	100.0	0.0	0.0	0.0
lolthisnotderk	0.0	2	100.0	0.0	0.0	0.0
louietyj	0	4	100.0	0.0	0.0	0.0
