Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
osseworst	66.67	30	100.0	0.0	0.0	0.0
Puun	56.0	39	92.31	0.0	7.69	0.0
Livia	47.06	25	80.0	0.0	20.0	0.0
efaust	43.9	59	83.05	0.0	16.95	0.0
Libster	43.33	43	93.02	0.0	6.98	0.0
darkenblade986	42.86	20	90.0	0.0	10.0	0.0
Asddsa76	41.03	55	76.36	0.0	18.18	5.45
RaKXeR	40.0	21	80.95	0.0	19.05	0.0
micerang	39.02	57	92.98	0.0	7.02	0.0
asaelr	34.48	39	69.23	0.0	30.77	0.0
DMoney	33.33	20	45.0	0.0	55.0	0.0
Hunter	33.33	44	88.64	0.0	11.36	0.0
Andrew_UK	31.11	59	81.36	0.0	13.56	5.08
Floriman	30.19	69	78.26	0.0	20.29	1.45
sjdrodge	29.85	87	89.66	0.0	10.34	0.0
Palo	29.11	102	96.08	0.0	3.92	0.0
Kakashi	28.44	140	72.86	5.0	21.43	0.71
IAMJEFF	26.42	67	62.69	2.99	34.33	0.0
kondain	26.32	24	75.0	0.0	25.0	0.0
Zamiel	23.88	83	72.29	0.0	27.71	0.0
Dr_Kakashi	23.76	125	69.6	5.6	24.0	0.8
scharkbite	23.73	73	84.93	0.0	15.07	0.0
NoMercy	23.08	32	87.5	0.0	12.5	0.0
Shos	21.98	111	98.2	0.0	1.8	0.0
Fireheart	21.43	102	77.45	8.82	12.75	0.98
Palomarias	20.0	24	100.0	0.0	0.0	0.0
Kyle	18.42	45	62.22	4.44	33.33	0.0
Valetta6789	18.18	39	56.41	0.0	43.59	0.0
Gazilli	15.0	23	100.0	0.0	0.0	0.0
Palomar	15.0	69	98.55	0.0	1.45	0.0
qqqq	12.5	36	58.33	5.56	36.11	0.0
indego	5.41	39	51.28	0.0	48.72	0.0
