Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Kowalski1337	300.0	4	100.0	0.0	0.0	0.0
sankala	300.0	4	50.0	0.0	50.0	0.0
baads	200.0	3	66.67	0.0	33.33	0.0
skyblueexo	200.0	6	100.0	0.0	0.0	0.0
oliana	166.67	8	100.0	0.0	0.0	0.0
Aluap	100.0	2	100.0	0.0	0.0	0.0
asdfasdf	100.0	2	100.0	0.0	0.0	0.0
caГ±a	100.0	2	100.0	0.0	0.0	0.0
coathanger	100.0	2	0.0	100.0	0.0	0.0
corys	100.0	4	100.0	0.0	0.0	0.0
Damian000	100.0	10	100.0	0.0	0.0	0.0
desymo99	100.0	2	100.0	0.0	0.0	0.0
diael	100.0	6	100.0	0.0	0.0	0.0
Doge	100.0	6	83.33	0.0	16.67	0.0
Donna	100.0	2	100.0	0.0	0.0	0.0
egerdm	100.0	2	100.0	0.0	0.0	0.0
fetusdeletus	100.0	2	0.0	100.0	0.0	0.0
finessa	100.0	2	100.0	0.0	0.0	0.0
hailey	100.0	2	100.0	0.0	0.0	0.0
jian01	100.0	2	100.0	0.0	0.0	0.0
katian	100.0	4	50.0	0.0	50.0	0.0
Kernel	100.0	2	100.0	0.0	0.0	0.0
LookAway	100.0	2	100.0	0.0	0.0	0.0
lotem	100.0	2	100.0	0.0	0.0	0.0
methmatics	100.0	2	100.0	0.0	0.0	0.0
mystus	100.0	2	100.0	0.0	0.0	0.0
pettzar	100.0	2	100.0	0.0	0.0	0.0
Smandon	100.0	2	100.0	0.0	0.0	0.0
Syrah	100.0	2	100.0	0.0	0.0	0.0
wina	100.0	2	0.0	100.0	0.0	0.0
xor	100.0	4	100.0	0.0	0.0	0.0
honzas	83.33	11	90.91	0.0	9.09	0.0
derekcheah	66.67	10	80.0	0.0	20.0	0.0
Hapotata	66.67	5	100.0	0.0	0.0	0.0
hughjanus	66.67	5	80.0	20.0	0.0	0.0
tezeteta	66.67	5	100.0	0.0	0.0	0.0
ebin_noob	62.5	13	100.0	0.0	0.0	0.0
scharkbite	60.0	8	62.5	0.0	37.5	0.0
Stinkydude63	57.14	11	54.55	0.0	45.45	0.0
ADrone	55.56	14	85.71	7.14	7.14	0.0
Pablo-	51.61	47	65.96	0.0	34.04	0.0
colton	50.0	24	66.67	0.0	33.33	0.0
dancherp	50.0	6	100.0	0.0	0.0	0.0
Feich59	50.0	9	77.78	0.0	22.22	0.0
honobu	50.0	3	100.0	0.0	0.0	0.0
kinkajusrevenge	50.0	24	91.67	0.0	8.33	0.0
kodomazer	50.0	3	33.33	0.0	66.67	0.0
louietyj	50.0	12	66.67	16.67	16.67	0.0
MathNoob	50.0	3	100.0	0.0	0.0	0.0
MKQ	50.0	3	100.0	0.0	0.0	0.0
plus	50.0	6	66.67	0.0	33.33	0.0
ReaverSe	50.0	3	100.0	0.0	0.0	0.0
TheDaniMan	50.0	3	33.33	0.0	66.67	0.0
timotree	50.0	45	77.78	0.0	22.22	0.0
veigar	50.0	3	100.0	0.0	0.0	0.0
orucsoraihc	48.89	67	86.57	0.0	13.43	0.0
robense	46.67	22	54.55	0.0	45.45	0.0
Fey	46.43	41	82.93	0.0	17.07	0.0
HelanaAshryvr	46.15	19	42.11	0.0	57.89	0.0
Arcee	44.44	13	76.92	0.0	23.08	0.0
kevincaseytdk1	43.75	23	56.52	0.0	43.48	0.0
macanek	43.75	23	100.0	0.0	0.0	0.0
tacobot5000	42.86	10	90.0	0.0	10.0	0.0
Kyle	41.94	44	59.09	0.0	40.91	0.0
Lel0uch	40.62	45	75.56	0.0	24.44	0.0
Isaac176	40.0	7	100.0	0.0	0.0	0.0
ricardodd	40.0	7	85.71	0.0	14.29	0.0
Jtjg	39.13	32	100.0	0.0	0.0	0.0
dobi	38.46	54	72.22	1.85	25.93	0.0
micerang	37.5	11	72.73	0.0	27.27	0.0
nwajfromoz	36.84	26	65.38	0.0	34.62	0.0
MangoPie	35.71	38	55.26	0.0	39.47	5.26
angel-a	34.38	43	93.02	2.33	4.65	0.0
4head	33.33	16	75.0	0.0	25.0	0.0
angie123	33.33	4	100.0	0.0	0.0	0.0
arnino	33.33	4	100.0	0.0	0.0	0.0
banonogon	33.33	4	100.0	0.0	0.0	0.0
brendonitis	33.33	4	100.0	0.0	0.0	0.0
capncook	33.33	4	100.0	0.0	0.0	0.0
Daryl	33.33	4	100.0	0.0	0.0	0.0
Div	33.33	8	50.0	0.0	50.0	0.0
eevee	33.33	4	100.0	0.0	0.0	0.0
frosty104	33.33	64	75.0	0.0	25.0	0.0
HariKrishnan	33.33	8	100.0	0.0	0.0	0.0
indego	33.33	68	72.06	0.0	27.94	0.0
kopen	33.33	12	33.33	0.0	66.67	0.0
lingomaniac88	33.33	4	100.0	0.0	0.0	0.0
lolthisnotderk	33.33	4	75.0	0.0	25.0	0.0
spbsuitmo	33.33	4	100.0	0.0	0.0	0.0
vjk	33.33	4	100.0	0.0	0.0	0.0
asaelr	31.58	25	60.0	0.0	40.0	0.0
Jake_Stiles	30.77	85	100.0	0.0	0.0	0.0
possum	30.3	43	69.77	0.0	30.23	0.0
DarthGandalf	30.0	13	76.92	0.0	7.69	15.38
nkkarpov	30.0	26	69.23	0.0	30.77	0.0
parrotdoxair	30.0	13	100.0	0.0	0.0	0.0
eljavi	29.17	62	88.71	0.0	11.29	0.0
banjoleb	28.57	9	100.0	0.0	0.0	0.0
ejwu	28.57	45	64.44	4.44	31.11	0.0
superbipbip	28.57	9	55.56	0.0	44.44	0.0
Wittvector	28.57	27	66.67	7.41	25.93	0.0
Lanvin	27.38	107	63.55	1.87	34.58	0.0
MarkusKahlsen	27.27	14	50.0	0.0	50.0	0.0
VipersOracle	27.27	14	100.0	0.0	0.0	0.0
XMIL	26.97	113	69.91	1.77	28.32	0.0
StKildaFan	26.83	52	90.38	0.0	9.62	0.0
pianoblook	26.67	19	63.16	0.0	36.84	0.0
rahsosprout	26.67	19	100.0	0.0	0.0	0.0
MarcLovesDogs	26.32	24	87.5	0.0	12.5	0.0
Sucubis	26.09	29	37.93	0.0	62.07	0.0
rz	25.82	463	72.35	3.02	24.62	0.0
antslayer23	25.0	5	100.0	0.0	0.0	0.0
bob65536	25.0	25	88.0	0.0	12.0	0.0
jack_0f_hearts	25.0	15	80.0	0.0	20.0	0.0
Nitrate2	25.0	20	60.0	0.0	40.0	0.0
otterful	25.0	5	80.0	0.0	20.0	0.0
PMP	25.0	10	80.0	0.0	20.0	0.0
sean1815	25.0	15	100.0	0.0	0.0	0.0
socerman	25.0	5	100.0	0.0	0.0	0.0
torp	25.0	15	53.33	0.0	46.67	0.0
ksfortson	23.93	435	85.98	0.69	13.33	0.0
swineherd	23.53	21	42.86	0.0	57.14	0.0
cockdestroyer	23.4	58	72.41	1.72	25.86	0.0
IsabeltheCat	22.22	55	58.18	0.0	41.82	0.0
nitawa	22.09	105	63.81	0.0	36.19	0.0
Carunty	21.54	158	80.38	0.63	18.99	0.0
jack67889	21.43	68	58.82	0.0	41.18	0.0
Onen	21.33	91	57.14	0.0	39.56	3.3
antitelharsic	20.59	41	82.93	0.0	17.07	0.0
jeff10	20.0	18	61.11	0.0	38.89	0.0
Jo_anne	20.0	6	100.0	0.0	0.0	0.0
knaphill	20.0	18	44.44	0.0	55.56	0.0
penisman	20.0	12	91.67	8.33	0.0	0.0
qqqq	20.0	12	33.33	0.0	66.67	0.0
Spieler42	20.0	6	66.67	0.0	33.33	0.0
vEnhance	20.0	6	83.33	0.0	16.67	0.0
doctorabi	19.78	109	68.81	0.0	30.28	0.92
griff77	18.97	69	53.62	2.9	43.48	0.0
Animex52	18.75	19	63.16	0.0	36.84	0.0
duckmedic	18.54	243	92.59	2.06	5.35	0.0
Bonja97	18.18	13	76.92	0.0	23.08	0.0
JackFrost	17.59	234	92.31	0.43	7.26	0.0
catula	17.24	34	64.71	0.0	35.29	0.0
newduke	17.24	68	54.41	16.18	29.41	0.0
Denchulitas	16.67	14	64.29	0.0	21.43	14.29
dhruvpillai6	16.67	7	100.0	0.0	0.0	0.0
FerKeth	16.67	7	71.43	0.0	28.57	0.0
rachyrules	16.67	35	68.57	0.0	31.43	0.0
will.i.am	16.67	7	57.14	0.0	42.86	0.0
bjnh	16.22	43	58.14	4.65	37.21	0.0
Nitrate	16.0	29	55.17	0.0	44.83	0.0
ChristopheAF	15.79	44	79.55	0.0	20.45	0.0
VerySloppyTwo	15.0	23	73.91	0.0	26.09	0.0
Puzzle	14.29	8	87.5	0.0	12.5	0.0
voss	12.5	27	40.74	0.0	59.26	0.0
CaitlinSmith	11.11	20	70.0	0.0	30.0	0.0
sin_faith	11.11	20	80.0	0.0	20.0	0.0
Galandria	10.0	11	100.0	0.0	0.0	0.0
wolfpack	10.0	11	81.82	0.0	18.18	0.0
sephiroth	9.09	12	83.33	0.0	16.67	0.0
Veexliat	9.09	12	50.0	0.0	50.0	0.0
esakach	7.69	14	85.71	0.0	14.29	0.0
melwen	7.69	28	17.86	3.57	78.57	0.0
Bot-Fiora	7.14	15	20.0	20.0	60.0	0.0
Pepepe	6.25	17	64.71	0.0	35.29	0.0
TimeHoodie	6.06	35	74.29	0.0	25.71	0.0
3luff	0.0	2	100.0	0.0	0.0	0.0
a1b2	0.0	2	100.0	0.0	0.0	0.0
adi1	0.0	1	100.0	0.0	0.0	0.0
alphabeta	0.0	5	100.0	0.0	0.0	0.0
AnnaTheNerd	0.0	2	100.0	0.0	0.0	0.0
anser	0.0	6	50.0	0.0	50.0	0.0
anusha2	0.0	1	100.0	0.0	0.0	0.0
aquarelle	0.0	6	50.0	0.0	50.0	0.0
arianaclark	0.0	1	100.0	0.0	0.0	0.0
ArualEIs	0	1	100.0	0.0	0.0	0.0
AshleyBridge	0.0	1	0.0	0.0	100.0	0.0
avanderwalde	0.0	6	16.67	0.0	83.33	0.0
benana	0.0	1	100.0	0.0	0.0	0.0
bfine	0.0	1	100.0	0.0	0.0	0.0
BillaVGC	0.0	2	100.0	0.0	0.0	0.0
boba	0.0	3	33.33	0.0	66.67	0.0
BraydonM	0.0	7	42.86	0.0	57.14	0.0
carpdiem	0.0	1	100.0	0.0	0.0	0.0
carrotstalker	0.0	1	100.0	0.0	0.0	0.0
CDC	0.0	4	100.0	0.0	0.0	0.0
CptAggro	0.0	1	100.0	0.0	0.0	0.0
Cration	0.0	2	100.0	0.0	0.0	0.0
crixy_osheal	0.0	4	100.0	0.0	0.0	0.0
CStryker	0.0	4	100.0	0.0	0.0	0.0
cute_girl	0.0	4	75.0	0.0	25.0	0.0
Darth_Calculus	0	3	100.0	0.0	0.0	0.0
dartheron	0.0	1	100.0	0.0	0.0	0.0
dj.narayanan	0.0	2	100.0	0.0	0.0	0.0
dmigor3	0	2	100.0	0.0	0.0	0.0
DMoney	0.0	3	66.67	0.0	33.33	0.0
DoubleJay	0.0	2	100.0	0.0	0.0	0.0
ds11	0.0	1	100.0	0.0	0.0	0.0
duckless	0.0	9	66.67	0.0	33.33	0.0
Dwu123	0.0	3	0.0	0.0	100.0	0.0
edens	0.0	1	100.0	0.0	0.0	0.0
