Words	Frequency	Number of vocabularies
f	111287	All
[f]	43842	29
cm	40965	30
[cm]	30845	29
5	20031	All
i	15756	All
kt	15454	30
this	14814	All
3	14485	All
4	13711	All
2	13275	All
not	11560	All
is	9051	All
r3	8609	All
b3	8423	All
g3	8178	All
r2	8090	All
b2	7919	All
g2	7672	All
1	7575	All
b4	7455	All
r4	7436	All
to	7351	All
a	7331	All
g4	7173	All
y3	6296	All
y2	6126	All
y4	5873	All
clue	5611	All
be	5591	All
play	5590	All
-->	5414	10
should	5027	All
maybe	4799	All
g	4662	29
b	4637	30
why	4565	30
or	4457	All
r	4441	29
if	4346	All
no	4223	All
it	4222	All
lol	4203	29
r1	4196	All
b1	4130	All
have	4064	All
the	4041	All
i3	3936	30
g1	3912	All
known	3850	All
i2	3780	All
fix	3765	30
m2	3661	All
y	3638	29
m3	3630	All
p3	3541	All
r5	3473	All
i4	3435	All
b5	3370	All
probably	3344	28
was	3301	All
p2	3299	All
as	3213	All
save	3182	All
p4	3161	All
y1	3150	All
but	3140	All
g5	3129	All
looks	3018	30
m4	2984	All
guess	2720	29
oh	2713	29
prio	2574	29
y5	2556	All
e	2546	11
for	2532	All
chop	2519	28
now	2497	30
discard	2479	29
trash	2464	All
just	2436	30
here	2326	30
think	2294	All
that	2290	29
bluff	2273	30
like	2261	30
so	2249	30
stall	2208	29
on	2207	30
m1	2194	All
you	2169	30
tcm	2136	18
i5	2048	All
m5	2040	All
p	1959	30
move	1946	23
gd	1900	21
->	1898	18
can	1891	30
from	1823	30
bomb	1806	30
of	1803	28
my	1789	30
?	1788	30
i1	1774	All
23	1771	28
me	1769	All
likely	1764	29
sdcm	1759	20
bc	1694	8
ocm	1685	23
red	1682	All
:	1639	16
don't	1629	25
elim	1614	26
n2	1588	All
what	1584	30
p1	1579	30
missed	1575	28
could	1540	All
m	1538	27
--->	1525	5: indego, MarkusKahlsen, pianoblook, sjdrodge, timotree
hmm	1514	22
fixme	1503	24
and	1473	All
playable	1473	All
bad	1458	29
might	1446	28
finesse	1418	29
n3	1409	All
p5	1391	All
do	1372	30
tccm	1369	29
o3	1357	30
after	1351	30
ok	1348	24
5cm	1346	22
in	1342	27
en	1319	4: Lanvin, pianoblook, piper, TimeHoodie
o2	1309	All
(	1305	10
+	1303	17
nvm	1260	22
i'm	1234	23
blue	1233	All
will	1228	30
=>	1204	6
he	1182	29
did	1180	29
o4	1177	30
we	1166	29
w	1163	25
would	1160	27
34	1156	24
n5	1154	30
hopefully	1148	27
how	1147	29
mb	1137	17
played	1124	30
nope	1122	25
prob	1109	16
thinks	1102	28
green	1083	All
w3	1069	29
n1	1066	28
nice	1059	29
it's	1040	20
mistake	1039	28
n4	1034	30
k2	1025	All
k3	1010	All
does	1006	28
then	995	29
wait	978	24
prompt	973	28
w2	965	30
with	964	All
k4	961	30
doesn't	951	26
know	935	29
promised	923	24
still	919	28
card	918	30
right	913	26
slot	911	27
by	909	30
w4	890	30
didn't	890	25
one	877	26
get	872	29
45	870	25
b[cm]	865	1: indego
yellow	828	30
sure	821	30
better	817	29
scream	814	27
rip	814	21
clued	813	29
oops	811	26
important	800	28
give	798	27
plays	792	29
has	780	27
really	760	26
o1	760	All
good	755	29
fixed	751	22
o5	748	30
off	744	29
at	743	27
exactly	740	26
sd[cm]	740	2: asaelr, indego
playing	724	26
instead	719	28
dda	705	29
:d	700	19
see	692	29
xd	686	10
t2	680	29
lhs	678	27
must	677	28
very	677	24
k	676	27
t3	675	29
double	674	26
are	672	29
knows	671	26
&	670	10
t4	667	30
sorry	662	22
pull	654	30
because	650	27
please	637	25
lpc	621	23
k1	589	27
about	577	24
!b	570	24
ambig	568	18
too	566	26
:(	565	24
pink	565	26
wtf	565	22
t[cm]	560	2: indego, timotree
since	559	26
!1	557	17
hand	542	26
5ce	536	27
1s	535	22
actually	530	24
oof	527	16
some	526	28
o	524	26
also	518	26
something	518	25
!g	518	23
