Username	W(%)	Total games
Cynas	34.14	249
dmigor3	27.59	464
corys	26.13	199
sjdrodge	25.2	4496
Fey	25.0	3372
piper	24.58	2502
Syrah	24.54	701
HariKrishnan	23.94	259
wortel	23.83	831
rkass	23.75	1718
micerang	23.35	4282
ADrone	23.12	1929
Daryl	22.81	263
MarkusKahlsen	22.28	2819
wump	22.02	1848
MathNoob	21.88	192
avanderwalde	21.86	1885
Smandon	21.85	357
Damian000	21.82	275
colton	21.5	758
asaelr	21.45	5789
hakha3	21.34	1162
orucsoraihc	21.27	1246
Nitrate2	21.07	2022
Nitrate	20.96	768
fishcat	20.88	934
Pablo-	20.8	3125
jack67889	20.55	1718
MasN	20.46	567
qqqq	20.4	1451
aquarelle	20.29	759
Floriman	20.13	3899
possum	20.11	935
Instantiation	20.09	906
wolfpack	19.89	357
boba	19.72	1557
pianoblook	19.64	4069
Kernel	19.6	403
Zakisan	19.49	1052
emilyzhao	19.44	1404
bjnh	19.07	1122
rachyrules	18.96	1973
rz	18.96	1651
vEnhance	18.95	818
StKildaFan	18.95	2370
Sucubis	18.85	2069
ksfortson	18.74	1281
Asddsa76	18.69	1097
BlueNovember	18.47	1662
TimeHoodie	18.46	4024
timotree	18.37	2613
Valetta6789	18.25	6497
MangoPie	18.22	1383
derekcheah	18.21	2844
dobi	18.05	1496
scharkbite	17.86	7274
nitawa	17.56	1896
cockdestroyer	17.55	1282
Denchulitas	17.48	778
invarse	17.43	1469
Bonja97	17.37	1589
Pimak	17.37	570
kopen	17.31	1583
Bot-Fiora	17.29	457
antitelharsic	17.22	2090
eliclax	17.21	488
nkkarpov	17.12	736
Anax	17.11	374
Kyle	16.88	6983
swineherd	16.87	1666
melwen	16.86	6927
skyblueexo	16.67	588
Livia	16.62	3441
Wittvector	16.49	2244
methmatics	16.48	898
DarthGandalf	16.27	504
Animex52	16.25	1243
sephiroth	16.19	4020
ChristopheAF	16.04	1845
Aluap	15.83	1421
HelanaAshryvr	15.75	3879
anser	15.75	2375
catula	15.73	1208
duckmedic	15.68	338
Lel0uch	15.68	6411
Jake_Stiles	15.65	4096
VerySloppyTwo	15.65	1828
katian	15.61	1057
Fireheart	15.6	9140
Spieler42	15.54	811
Div	15.48	704
Lanvin	15.34	4902
IsabeltheCat	15.23	1642
rs1	15.2	375
duckmammal	15.0	660
qwertyelmer	14.97	768
kimbifille	14.86	6516
willwin4sure	14.8	1392
FerKeth	14.68	252
TheDaniMan	14.68	5458
sin_faith	14.65	2703
IAMJEFF	14.32	7421
padi	14.23	1497
Durandal	13.69	2359
Dr_Kakashi	13.62	9689
jeff10	13.45	1502
duckless	12.69	197
will.i.am	12.68	1971
squirrel1988	12.15	1449
CaitlinSmith	11.97	1053
dj.narayanan	11.9	1975
newduke	11.29	2649
duckington	10.56	142
indego	10.55	5318
sankala	10.54	1527
Zamiel	10.5	13149
NoMercy	10.17	3785
RaKXeR	7.54	7174
Razvogor	7.04	2769
Libster	6.02	21564
florrat2	5.45	20493
