Username	W(%)	Total games
corys	41.67	24
Syrah	38.67	75
Cynas	36.23	207
MarkusKahlsen	33.96	371
duckington	33.33	21
jack67889	33.02	212
aquarelle	32.1	81
Fey	30.94	779
avanderwalde	30.82	305
ADrone	30.06	326
wortel	29.91	214
dmigor3	29.87	298
HariKrishnan	29.51	183
colton	29.29	140
MangoPie	29.21	89
boba	28.94	463
sjdrodge	28.8	1146
rkass	28.4	331
piper	28.2	305
ChristopheAF	27.98	168
nkkarpov	27.84	176
VerySloppyTwo	27.78	396
kimbifille	27.6	221
Daryl	27.5	120
dobi	27.27	55
pianoblook	27.2	533
micerang	27.12	907
Floriman	27.03	592
Smandon	26.76	71
hakha3	26.51	166
Kernel	26.47	136
asaelr	26.36	1506
bjnh	26.28	137
qqqq	26.23	446
ksfortson	26.03	438
Durandal	25.76	264
invarse	25.73	206
possum	25.64	312
Anax	25.58	215
StKildaFan	25.38	721
orucsoraihc	25.23	444
Nitrate	25.11	227
fishcat	25.07	343
Damian000	25.0	164
sephiroth	24.95	481
swineherd	24.82	282
Kyle	24.76	1042
wump	24.57	525
Pablo-	24.41	508
scharkbite	24.33	1311
Bot-Fiora	24.32	74
Livia	24.16	269
Instantiation	24.08	569
Asddsa76	24.04	441
catula	23.53	408
FerKeth	23.33	60
melwen	23.24	964
Nitrate2	23.0	413
cockdestroyer	22.96	331
Zakisan	22.84	289
Jake_Stiles	22.6	593
HelanaAshryvr	22.51	342
rs1	22.43	107
Denchulitas	22.38	210
kopen	22.31	251
Sucubis	22.22	279
Lel0uch	21.76	455
TimeHoodie	21.74	506
duckmedic	21.52	158
duckmammal	21.34	164
will.i.am	20.74	270
Bonja97	20.73	381
timotree	20.68	1228
IsabeltheCat	20.65	397
vEnhance	20.38	314
squirrel1988	20.27	74
katian	20.2	198
methmatics	20.17	461
MasN	20.06	309
rz	20.0	230
Animex52	19.91	467
antitelharsic	19.86	866
BlueNovember	19.8	687
MathNoob	19.57	138
skyblueexo	19.47	190
Aluap	19.37	537
padi	19.36	346
derekcheah	19.2	349
emilyzhao	19.19	198
Fireheart	19.17	918
Wittvector	19.1	267
Pimak	18.47	249
rachyrules	18.33	993
Spieler42	18.01	372
DarthGandalf	17.92	173
wolfpack	17.39	138
eliclax	16.58	193
Dr_Kakashi	16.04	1384
sin_faith	15.94	828
duckless	15.38	13
TheDaniMan	14.87	834
indego	14.77	386
nitawa	14.66	457
newduke	14.59	418
CaitlinSmith	14.0	557
Lanvin	13.98	236
Valetta6789	13.69	869
Zamiel	13.16	4216
jeff10	13.16	228
Div	13.04	230
NoMercy	12.8	1469
willwin4sure	12.62	309
sankala	11.45	978
qwertyelmer	10.39	414
RaKXeR	10.27	3076
anser	9.33	1265
dj.narayanan	9.23	379
Razvogor	7.02	1054
florrat2	6.77	9892
Libster	6.61	10028
IAMJEFF	6.36	440
