Username	W(%)	Total games
Cynas	26.67	30
MathNoob	25.58	43
sjdrodge	24.59	3225
piper	24.55	2130
dmigor3	24.49	147
Syrah	23.8	584
anser	23.69	1047
corys	23.56	174
Fey	23.53	2512
rkass	23.37	1318
wolfpack	23.16	177
micerang	22.95	3198
Smandon	22.1	267
wortel	21.85	595
wump	21.77	1208
ADrone	21.63	1530
MasN	21.19	236
MarkusKahlsen	21.12	2211
Valetta6789	21.09	4837
Nitrate2	21.05	1544
avanderwalde	20.95	1489
qwertyelmer	20.88	297
rachyrules	20.87	896
hakha3	20.83	941
Pablo-	20.83	2463
asaelr	20.46	4018
Daryl	20.3	133
colton	20.14	581
emilyzhao	20.06	982
nitawa	19.59	1312
Nitrate	19.52	497
orucsoraihc	19.47	760
jack67889	19.37	1435
sankala	19.17	120
rz	19.1	1330
Floriman	19.05	3144
aquarelle	19.02	652
Sucubis	19.01	1683
Zakisan	18.99	711
vEnhance	18.88	466
BlueNovember	18.81	877
pianoblook	18.66	3397
qqqq	18.4	864
eliclax	18.25	285
derekcheah	18.19	2425
Damian000	18.18	99
bjnh	18.12	955
TimeHoodie	18.11	3429
possum	18.03	588
dobi	17.94	1366
fishcat	17.92	558
MangoPie	17.42	1269
timotree	17.17	1293
florrat2	16.98	1431
Div	16.96	460
Kernel	16.8	250
kopen	16.8	1292
Pimak	16.72	305
scharkbite	16.72	5532
Libster	16.69	2456
StKildaFan	16.69	1564
Bonja97	16.65	1153
padi	16.54	810
DarthGandalf	16.5	297
invarse	16.39	1184
melwen	16.38	5603
Bot-Fiora	16.35	373
cockdestroyer	16.34	869
Wittvector	16.29	1897
Livia	16.1	3055
Kyle	16.05	5589
Denchulitas	16.02	512
IAMJEFF	15.86	6424
swineherd	15.86	1305
boba	15.86	1028
Asddsa76	15.68	555
antitelharsic	15.67	1174
ksfortson	15.61	788
skyblueexo	15.59	372
Lanvin	15.47	4569
sephiroth	15.42	3365
TheDaniMan	15.41	4322
HelanaAshryvr	15.39	3399
Fireheart	15.36	8053
Animex52	15.34	678
willwin4sure	15.34	1056
nkkarpov	15.34	476
Jake_Stiles	15.3	3170
Lel0uch	15.14	5721
NoMercy	15.02	1112
ChristopheAF	14.95	1632
katian	14.71	802
kimbifille	14.35	6204
sin_faith	14.35	1805
Spieler42	14.29	413
rs1	14.22	225
Instantiation	14.17	240
RaKXeR	14.03	991
IsabeltheCat	14.02	1120
Razvogor	13.92	776
Aluap	13.86	844
dj.narayanan	13.7	1423
jeff10	13.63	1240
Dr_Kakashi	13.44	7934
duckmammal	13.21	477
methmatics	12.99	408
VerySloppyTwo	12.95	1328
FerKeth	12.78	180
HariKrishnan	12.7	63
duckless	12.64	182
catula	12.57	716
Durandal	12.27	2037
squirrel1988	11.65	1356
Zamiel	11.42	6752
will.i.am	11.29	1665
newduke	10.78	2161
duckmedic	10.4	173
Anax	10.34	29
indego	10.15	4846
CaitlinSmith	10.13	464
duckington	5.88	119
