Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ADrone	45.16% (135)	39.22% (142)	36.63% (138)	18.26% (136)	24.36% (97)	27.66% (60)	42.11% (27)	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	75.0% (7)	20.0% (30)	34.52% (113)	30.13% (203)	32.02% (268)	41.13% (175)	26.42% (134)	30.0% (104)	34.94% (112)	21.77% (151)	27.19% (145)
Aluap	24.68% (96)	12.04% (121)	22.22% (143)	23.86% (109)	20.83% (116)	18.56% (115)	25.81% (117)	28.36% (86)	16.9% (83)	14.71% (39)	25.0% (20)	17.65% (20)	10.0% (33)	25.81% (39)	14.58% (55)	9.38% (35)	31.25% (21)	13.33% (34)	14.58% (55)	22.81% (70)	18.64% (70)	17.24% (68)	17.19% (75)	23.4% (58)
Anax	50.0% (6)	0% (1)	16.67% (14)	41.67% (17)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	20.0% (18)	20.0% (24)	40.0% (28)	38.46% (18)	27.27% (28)	7.14% (15)	12.5% (18)	7.69% (28)	12.82% (44)	20.0% (42)	25.0% (30)	33.33% (20)	0.0% (20)
Animex52	17.65% (40)	17.14% (41)	20.75% (64)	15.79% (88)	18.33% (71)	22.22% (55)	26.19% (53)	19.44% (43)	14.0% (57)	22.41% (71)	17.39% (81)	12.87% (114)	27.0% (127)	13.83% (107)	12.12% (74)	41.67% (51)	21.43% (51)	26.67% (19)	15.38% (15)	30.0% (13)	14.29% (8)	30.0% (13)	14.29% (32)	7.69% (42)
anser	23.08% (160)	18.57% (249)	22.58% (190)	16.18% (158)	14.97% (338)	17.47% (195)	14.63% (47)	0.0% (2)	16.67% (7)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (2)	44.44% (13)	26.09% (29)	16.28% (50)	7.63% (141)	19.28% (99)	15.87% (146)	23.36% (132)	18.14% (254)	19.39% (197)	21.53% (175)
antitelharsic	19.81% (127)	14.67% (172)	20.83% (203)	22.08% (188)	20.33% (148)	16.44% (170)	24.87% (246)	20.79% (244)	28.83% (210)	19.83% (139)	57.14% (44)	57.14% (11)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	66.67% (5)	19.35% (37)	23.68% (94)	21.05% (138)	16.36% (128)	21.52% (96)	16.28% (100)
aquarelle	26.51% (105)	19.67% (73)	28.85% (134)	29.25% (137)	23.53% (105)	34.38% (43)	15.38% (30)	25.0% (5)	0% (0)	0% (0)	0% (0)	0.0% (7)	0.0% (3)	12.5% (27)	20.0% (24)	43.33% (43)	27.03% (47)	33.33% (24)	25.81% (39)	26.67% (19)	10.34% (32)	34.78% (31)	36.11% (49)	19.67% (73)
asaelr	22.18% (336)	28.15% (173)	18.75% (57)	0.0% (8)	0.0% (3)	100.0% (2)	22.73% (27)	33.98% (138)	31.25% (168)	40.16% (171)	22.42% (344)	31.6% (379)	26.81% (350)	34.1% (409)	33.68% (254)	27.78% (207)	22.92% (236)	31.32% (348)	31.7% (349)	26.32% (336)	25.0% (370)	27.33% (396)	26.96% (485)	20.24% (493)
Asddsa76	23.53% (63)	19.15% (56)	23.19% (85)	30.51% (77)	29.79% (61)	19.05% (50)	8.7% (50)	26.92% (33)	11.76% (19)	33.33% (20)	30.0% (13)	27.27% (14)	20.0% (12)	18.18% (13)	33.33% (8)	57.14% (11)	23.08% (32)	6.45% (33)	28.57% (45)	17.31% (61)	14.47% (87)	29.51% (79)	27.03% (94)	28.57% (81)
avanderwalde	31.27% (361)	30.82% (433)	30.57% (299)	26.72% (166)	31.11% (59)	28.57% (18)	0.0% (4)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (4)	133.33% (7)	41.67% (17)	50.0% (30)	17.24% (34)	29.63% (35)	34.09% (59)	19.39% (117)	29.67% (118)	30.91% (72)	18.75% (133)
BlueNovember	24.42% (377)	19.44% (301)	29.3% (203)	25.93% (102)	30.0% (52)	36.36% (30)	37.5% (11)	75.0% (7)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	20.0% (6)	6.67% (16)	25.0% (35)	35.29% (46)	25.0% (60)	24.44% (56)	18.67% (89)	22.33% (126)	17.2% (293)
bjnh	19.72% (85)	8.33% (65)	29.17% (62)	24.56% (71)	29.73% (96)	23.77% (151)	25.71% (132)	25.42% (74)	25.0% (25)	11.11% (10)	100.0% (2)	0% (0)	0% (0)	0% (0)	100.0% (2)	0.0% (8)	45.45% (32)	32.0% (99)	26.19% (106)	31.65% (104)	20.88% (110)	25.93% (102)	22.37% (93)	31.34% (88)
boba	28.17% (91)	25.74% (127)	22.03% (144)	17.74% (146)	25.45% (69)	22.41% (71)	24.58% (147)	20.37% (130)	23.46% (100)	30.23% (112)	14.1% (89)	9.26% (59)	29.41% (110)	19.51% (98)	21.92% (89)	48.28% (43)	26.98% (80)	31.82% (29)	20.0% (6)	0.0% (6)	0.0% (4)	0.0% (5)	50.0% (3)	17.39% (27)
Bonja97	21.05% (115)	18.52% (160)	14.85% (116)	13.33% (68)	16.67% (91)	19.12% (81)	16.42% (78)	35.56% (61)	13.46% (59)	26.09% (58)	30.77% (34)	11.43% (39)	25.93% (34)	56.25% (25)	19.35% (37)	37.5% (55)	41.94% (44)	44.0% (36)	28.85% (67)	13.85% (74)	16.25% (93)	11.27% (79)	23.53% (63)	15.38% (60)
Bot-Fiora	20.0% (24)	20.83% (29)	11.9% (47)	21.15% (63)	15.0% (69)	29.55% (57)	28.0% (32)	13.33% (17)	0.0% (4)	0.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	16.67% (7)	18.18% (13)	31.82% (29)	34.62% (35)	19.05% (25)	9.38% (35)	21.05% (23)	17.39% (27)	42.11% (27)
CaitlinSmith	7.14% (15)	16.28% (50)	12.79% (97)	11.11% (80)	16.22% (43)	9.52% (23)	20.0% (6)	0.0% (3)	0.0% (4)	6.67% (16)	33.33% (16)	16.67% (21)	16.67% (21)	8.33% (13)	20.0% (12)	14.29% (8)	21.05% (23)	13.64% (50)	23.75% (99)	12.15% (120)	9.45% (139)	10.89% (112)	16.0% (58)	9.09% (24)
catula	5.56% (19)	11.76% (19)	20.0% (12)	71.43% (12)	43.75% (23)	9.09% (36)	19.3% (68)	20.37% (65)	21.05% (69)	16.13% (108)	18.56% (198)	19.09% (287)	21.53% (254)	20.18% (137)	5.88% (36)	50.0% (3)	0% (0)	0.0% (1)	0% (0)	0% (0)	25.0% (5)	0% (1)	0.0% (3)	50.0% (3)
ChristopheAF	50.0% (48)	37.5% (11)	0.0% (11)	40.0% (7)	0.0% (1)	33.33% (4)	0.0% (1)	0% (0)	0.0% (6)	66.67% (5)	28.57% (9)	0.0% (15)	25.0% (40)	21.54% (79)	25.0% (135)	18.99% (188)	17.35% (230)	26.04% (242)	22.06% (249)	17.44% (229)	19.63% (195)	16.32% (221)	15.62% (222)	13.87% (156)
Amy2	19.05% (75)	22.45% (60)	31.25% (63)	22.37% (93)	20.79% (122)	23.85% (135)	18.42% (90)	23.21% (69)	25.0% (80)	20.19% (125)	24.39% (102)	29.63% (70)	18.6% (51)	21.95% (50)	10.2% (54)	17.86% (33)	44.44% (39)	36.36% (30)	33.33% (36)	18.57% (83)	28.92% (107)	17.14% (82)	18.28% (110)	15.12% (99)
colton	22.73% (54)	33.33% (36)	39.39% (46)	28.95% (49)	34.0% (67)	31.58% (50)	20.51% (47)	45.45% (16)	25.0% (10)	0.0% (3)	0% (0)	100.0% (2)	0% (0)	0.0% (3)	20.0% (6)	14.29% (8)	28.57% (18)	25.0% (25)	24.32% (46)	21.31% (74)	33.33% (72)	29.27% (53)	22.64% (65)	16.67% (56)
corys	22.22% (22)	11.11% (10)	0.0% (3)	42.11% (27)	41.86% (61)	29.76% (109)	35.0% (81)	55.56% (14)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (1)	50.0% (3)	15.38% (15)	25.0% (5)	0.0% (7)	33.33% (12)
Cynas	28.57% (9)	66.67% (15)	78.95% (34)	48.98% (73)	62.5% (65)	60.61% (53)	36.36% (30)	66.67% (10)	0% (0)	0% (1)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (3)	0.0% (2)
Damian000	14.29% (16)	16.67% (21)	15.38% (15)	10.0% (11)	0.0% (11)	50.0% (6)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	40.0% (14)	41.67% (34)	26.92% (33)	27.78% (23)	23.53% (21)	28.57% (27)	30.0% (26)	63.64% (18)
DarthGandalf	11.54% (29)	0.0% (9)	33.33% (4)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (2)	33.33% (20)	22.22% (44)	25.0% (15)	37.5% (11)	16.0% (29)	20.0% (18)	30.0% (13)	4.35% (24)	12.5% (27)	23.08% (16)	15.38% (30)	11.76% (38)	20.34% (71)	19.28% (99)	23.08% (112)	20.24% (101)
Daryl	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (2)	0% (0)	33.33% (4)	30.0% (13)	55.56% (14)	33.33% (12)	100.0% (8)	25.0% (5)	40.0% (7)	60.0% (8)	25.0% (10)	16.67% (14)	22.22% (33)	25.0% (50)	33.33% (52)	19.23% (31)	40.0% (7)
